MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
225,0.965991,0.163221,0.273464,0.00779372
226,0.971098,0.216523,0.325089,0.00251612
227,0.966017,0.15671,0.279512,0.00245303
228,0.967478,0.179637,0.233126,0.00383194
229,0.967789,0.0742688,0.196044,0.00406666
230,0.974813,0.0241676,0.242808,0.00425774
231,0.970263,0.105344,0.214003,0.00166314
232,0.970263,0.105344,0.214003,0.00166314
233,0.967141,0.178309,0.174427,0.00591117
234,0.959552,0.162028,0.133418,0.0054172
235,0.958484,0.13852,0.135856,0.00859574
236,0.96352,0.0998698,0.195776,0.00250122
237,0.962004,0.075797,0.109753,0.0067996
238,0.966308,0.0527106,0.126434,0.00221767
239,0.969918,0.0789231,0.140666,0.00565663
240,0.968528,0.0416118,0.129788,0.00481104
241,0.968528,0.0416118,0.129788,0.00481104
242,0.965754,0.0677114,0.135795,0.00795472
243,0.955984,0.0627084,0.0787293,0.00710041
244,0.955984,0.0627084,0.0787293,0.00710041
245,0.957644,0.0874838,0.0604784,0.00403033
246,0.956676,0.111051,0.0668515,0.00527935
247,0.955187,0.0936225,0.037481,0.00273811
248,0.95385,0.0603373,0.0646743,0.00935619
249,0.950361,0.112775,0.0464739,0.00766411
250,0.957319,0.108411,0.0500754,0.00409238
251,0.958458,0.0870672,0.028229,0.00555585
252,0.95841,0.129416,0.0673005,0.00677475
253,0.96522,0.098647,0.0322329,0.00140435
254,0.963933,0.132748,0.0878661,0.00820525
255,0.965621,0.10737,0.0790952,0.0045962
256,0.965787,0.0844781,0.132957,0.00635233
257,0.965787,0.0844781,0.132957,0.00635233
258,0.965601,0.132507,0.0976705,0.00208609
259,0.97465,0.114143,0.104605,0.00366526
260,0.971813,0.110369,0.175678,0.00418891
261,0.972669,0.277989,0.136944,0.00250654
262,0.972669,0.277989,0.136944,0.00250654
263,0.972669,0.277989,0.136944,0.00250654
264,0.970065,0.166752,0.0907851,0.00525187
265,0.969535,0.12574,0.120132,0.0116104
266,0.965706,0.0799033,0.142413,0.00193962
267,0.963597,0.129113,0.125285,0.00753439
268,0.962769,0.135527,0.184677,0.00324041
269,0.961795,0.116907,0.122338,0.00467033
270,0.963139,0.0512773,0.125582,0.00305535
271,0.958866,0.100068,0.123988,0.000290708
272,0.962374,0.106841,0.112069,0.00475925
273,0.968898,0.0292721,0.105436,0.00555473
274,0.970136,0.0735736,0.145702,0.0062222
275,0.968733,0.0979983,0.125061,0.00390564
276,0.964886,0.0729719,0.0673711,0.0035375
277,0.965426,0.0728712,0.131838,0.00387733
278,0.961373,0.0831912,0.055153,0.00508532
279,0.961373,0.0831912,0.055153,0.00508532
280,0.966383,0.0913266,0.0328182,0.00363827
281,0.966514,0.0457985,0.0683831,0.00360487
282,0.965501,0.103072,0.144028,0.00284892
283,0.969657,0.0260708,0.117893,0.00552413
284,0.967714,0.0603406,0.115869,0.00875071
285,0.968931,0.0656663,0.143881,0.0069851
286,0.969366,0.0573991,0.120372,0.00677219
287,0.977326,0.0407604,0.0768311,0.00557592
288,0.976316,0.0499862,0.134898,0.0112377
289,0.970121,0.129278,0.135697,0.0110786
290,0.967729,0.125253,0.0873337,0.00511274
291,0.97081,0.0207281,0.134887,0.00271135
292,0.965347,0.093155,0.103595,0.00491335
293,0.961985,0.0876263,0.144657,0.0057282
294,0.964638,0.0767396,0.115712,0.00656066
295,0.964638,0.0767396,0.115712,0.00656066
296,0.96827,0.0396619,0.111808,0.00861641
297,0.96534,0.0427616,0.137154,0.00705611
298,0.96534,0.0427616,0.137154,0.00705611
299,0.970363,0.10471,0.118952,0.00404825
300,0.97005,0.0184529,0.0917629,0.00702929
301,0.97005,0.0184529,0.0917629,0.00702928
302,0.966121,0.0219521,0.102968,0.00521782
303,0.960576,0.0979084,0.111205,0.00596176
304,0.960576,0.0979084,0.111205,0.00596176
305,0.961018,0.0385633,0.17371,0.011154
306,0.955033,0.131373,0.177415,0.0112528
307,0.955001,0.118759,0.230644,0.00765097
308,0.964286,0.12544,0.0944776,0.00599235
309,0.963869,0.121457,0.121277,0.000338565
310,0.963869,0.121457,0.121277,0.000338565
311,0.964782,0.133452,0.0961279,0.00847016
312,0.964782,0.133452,0.0961279,0.00847016
313,0.964782,0.133452,0.0961279,0.00847016
314,0.969532,0.0969815,0.159667,0.00579121
315,0.968949,0.0950841,0.105871,0.00493508
