MDTU,plaq,Re(det),Im(det),link
6030,0.980634,1.33692,0.312534,0.102927
6031,0.980634,1.33692,0.312534,0.102927
6032,1.01263,1.35457,0.318327,0.107423
6033,1.00644,1.3586,0.319884,0.10681
6034,0.955373,1.24736,0.299916,0.101308
6035,0.930614,1.25799,0.303179,0.0977616
6036,0.958946,1.25477,0.302229,0.101555
6037,0.968978,1.33427,0.313954,0.101913
6038,0.968978,1.33427,0.313954,0.101913
6039,0.968978,1.33427,0.313954,0.101913
6040,0.941609,1.28037,0.298086,0.0986353
6041,0.958592,1.28853,0.300043,0.100737
6042,0.958592,1.28853,0.300043,0.100737
6043,0.921705,1.19738,0.288714,0.0970773
6044,0.921705,1.19738,0.288714,0.0970773
6045,0.918381,1.16933,0.285087,0.0970357
6046,0.918381,1.16933,0.285087,0.0970357
6047,0.915038,1.18078,0.284951,0.0962905
6048,0.915038,1.18078,0.284951,0.0962905
6049,0.913238,1.14146,0.279915,0.0966085
6050,0.913774,1.09657,0.268923,0.0972612
6051,0.913774,1.09657,0.268923,0.0972612
6052,0.913774,1.09657,0.268923,0.0972612
6053,0.915647,1.06668,0.26584,0.0979264
6054,0.945807,1.07028,0.262156,0.101972
6055,0.921415,1.05194,0.263399,0.0989933
6056,0.921415,1.05194,0.263399,0.0989933
6057,0.910741,1.01774,0.258907,0.0981103
6058,0.910741,1.01774,0.258907,0.0981103
6059,0.908942,1.00003,0.254969,0.0975819
6060,0.909256,1.0496,0.265852,0.0972573
6061,0.886699,1.03207,0.256189,0.0943062
6062,0.883929,0.991998,0.250985,0.0945762
6063,0.883929,0.991998,0.250985,0.0945762
6064,0.872976,0.995464,0.251113,0.0925327
6065,0.872976,0.995464,0.251113,0.0925327
6066,0.861692,1.01224,0.255149,0.0907674
6067,0.854032,1.00353,0.24989,0.0901335
6068,0.846869,1.01895,0.254456,0.0890431
6069,0.877253,1.04652,0.263733,0.0926423
6070,0.872527,1.06964,0.267109,0.091488
6071,0.872527,1.06964,0.267109,0.091488
6072,0.875853,1.06577,0.270022,0.0924639
6073,0.885723,1.12449,0.281391,0.0931806
6074,0.832897,1.01911,0.266802,0.0874993
6075,0.842373,1.00482,0.265487,0.0893661
6076,0.842373,1.00482,0.265487,0.0893661
6077,0.868222,1.01896,0.264406,0.0930319
6078,0.863257,0.980292,0.258255,0.0927017
6079,0.830848,0.912213,0.244174,0.0894167
6080,0.830848,0.912213,0.244174,0.0894167
6081,0.839196,0.922274,0.247919,0.0904307
6082,0.839196,0.922274,0.247919,0.0904307
6083,0.826721,0.879844,0.236374,0.0892302
6084,0.826721,0.879844,0.236374,0.0892302
6085,0.828287,0.882482,0.235124,0.089492
6086,0.828287,0.882482,0.235124,0.089492
6087,0.832875,0.847142,0.224542,0.0906762
6088,0.841666,0.85624,0.227735,0.0917468
6089,0.841666,0.85624,0.227735,0.0917468
6090,0.841666,0.85624,0.227735,0.0917468
6091,0.841666,0.85624,0.227735,0.0917468
6092,0.836286,0.834301,0.224748,0.0915015
6093,0.834427,0.818426,0.218154,0.0909954
6094,0.834427,0.818426,0.218154,0.0909954
6095,0.83261,0.833461,0.228038,0.0909033
6096,0.868137,0.878645,0.230536,0.0944985
6097,0.867207,0.900549,0.233127,0.0943065
6098,0.879109,0.906906,0.237583,0.0959334
6099,0.879109,0.906906,0.237583,0.0959334
6100,0.895029,0.958089,0.245772,0.0971015
6101,0.895029,0.958089,0.245772,0.0971015
6102,0.882318,0.943113,0.245524,0.0955333
6103,0.844985,0.888171,0.235227,0.0915322
6104,0.834548,0.868058,0.233099,0.0906645
6105,0.834548,0.868058,0.233099,0.0906645
6106,0.845649,0.858576,0.230253,0.0922691
6107,0.835205,0.833946,0.224216,0.0911402
6108,0.800973,0.7893,0.217826,0.0873659
6109,0.811553,0.787693,0.213451,0.0887316
6110,0.838437,0.84626,0.226405,0.0909983
6111,0.862874,0.923523,0.241126,0.0929752
6112,0.881891,0.94092,0.243615,0.0953466
6113,0.915512,0.997642,0.253211,0.0993499
6114,0.915039,1.00753,0.258843,0.099195
6115,0.926391,1.0297,0.264526,0.100632
6116,0.926391,1.0297,0.264526,0.100632
6117,0.931646,1.08359,0.271969,0.100116
6118,0.931646,1.08359,0.271969,0.100116
6119,0.934447,1.09565,0.275635,0.100639
6120,0.934447,1.09565,0.275635,0.100639
6121,0.99041,1.16753,0.286827,0.106865
6122,0.99041,1.16753,0.286827,0.106865
6123,0.99041,1.16753,0.286827,0.106865
6124,0.99041,1.16753,0.286827,0.106865
6125,0.947218,1.08688,0.271784,0.102417
6126,0.949197,1.10771,0.276756,0.102593
6127,0.949197,1.10771,0.276756,0.102593
6128,0.949197,1.10771,0.276756,0.102593
6129,0.960998,1.09281,0.271991,0.104162
6130,0.960998,1.09281,0.271991,0.104162
6131,0.960998,1.09281,0.271991,0.104162
6132,0.973455,1.15979,0.287308,0.104914
6133,0.96278,1.11038,0.273055,0.104107
6134,0.966277,1.09738,0.273321,0.104626
6135,0.953418,1.10271,0.271818,0.102741
6136,0.972032,1.16482,0.27885,0.104321
6137,0.972032,1.16482,0.27885,0.104321
6138,0.950678,1.12657,0.278306,0.102146
6139,0.935533,1.14035,0.279711,0.0995833
6140,0.947359,1.14799,0.281358,0.1012
6141,0.938011,1.17146,0.2846,0.0989091
