t,walltime
7630,353
7640,350.2
7650,354.9
7660,348.2
7670,350.6
7680,347.6
7690,346.8
7700,349.7
7710,348.2
7720,354.3
7730,355.1
7740,360.5
7750,360.2
7760,359.9
7770,364.9
7780,348.8
7790,347.6
7800,348.5
7810,349.6
7820,343
7830,342.7
7840,346.3
7850,344.8
7860,351.2
7870,350.8
7880,350.9
7890,351.4
7900,351.5
7910,341.6
7920,341.7
7930,342
7940,341.2
7950,343.3
7960,344.8
7970,345
7980,343.8
7990,343.7
8000,338.7
8010,341.9
8020,344.5
8030,342.3
8040,339.6
8050,335.1
8060,337.3
8070,338.1
8080,341.5
8090,350.7
8100,372.8
8110,372.8
8120,332.8
8130,337.7
8140,340.8
8150,335.6
8160,338.8
8170,344
8180,338.3
8190,342.8
8200,335.5
8210,344.8
8220,352.6
8230,351
8240,348.4
8250,348.3
8260,339.6
8270,349.6
8280,335.8
8290,365.6
8300,349.2
8310,358.2
8320,361.9
8330,364.1
8340,361.2
8350,359.8
8360,355
8370,364.1
8380,364.3
8390,363.9
8400,364
8410,365.7
8420,365.6
8430,365.9
8440,361.5
8450,361.1
8460,353.5
8470,355.4
8480,356.5
8490,354.8
8500,355.9
8510,358.2
8520,355.5
8530,357.5
8540,353.8
8550,354.1
8560,353.2
8570,349.9
8580,348.6
8590,352.1
8600,351
8610,349.5
8620,355.7
8630,352.2
8640,354.3
8650,353.5
8660,352.7
8670,354.4
8680,353.6
8690,360.3
8700,360.6
8710,360.5
8720,359.5
8730,360.9
8740,357.2
8750,362.9
8760,362.4
8770,358.5
8780,360.7
8790,365.4
8800,364.1
8810,361
8820,361
8830,359.2
8840,364
8850,360.4
8860,362.3
8870,327
8880,329.4
8890,351.8
8900,354.6
8910,354.3
8920,353.2
8930,352.9
8940,351.9
8950,348.8
8960,349
8970,350.1
8980,354.7
8990,326.7
9000,323.3
