MDTU,min_width,max_width
442,0.0329231,0.0231769
443,0.0329231,0.0231769
444,0.0339496,0.0239075
445,0.0339104,0.0237564
446,0.0341685,0.0236439
447,0.0341685,0.0236439
448,0.0335993,0.0237018
449,0.03365,0.0236699
450,0.0337413,0.0241324
451,0.0337413,0.0241324
452,0.0336018,0.023781
453,0.0336257,0.0235691
454,0.0336257,0.0235691
455,0.0335384,0.0236104
456,0.034015,0.0241576
457,0.0342873,0.0242751
458,0.0342873,0.0242751
459,0.0334253,0.0238083
460,0.0333487,0.0236985
461,0.0335314,0.0238411
462,0.0335314,0.0238411
463,0.0335314,0.0238411
464,0.0336384,0.0241019
465,0.0332024,0.0235956
466,0.0334447,0.0237787
467,0.0328573,0.0233724
468,0.0328573,0.0233724
469,0.0323967,0.0229593
470,0.0327359,0.0232368
471,0.0327359,0.0232368
472,0.0327359,0.0232368
473,0.0327359,0.0232368
474,0.0324912,0.0230159
475,0.0324912,0.0230159
476,0.0324525,0.0232455
477,0.0315981,0.0227426
478,0.0315981,0.0227426
479,0.0315981,0.0227426
480,0.0315981,0.0227426
481,0.0315981,0.0227426
482,0.0316651,0.0222989
483,0.0332499,0.0235448
484,0.0329896,0.0232034
485,0.0329896,0.0232034
486,0.0322142,0.022574
487,0.0328402,0.0233322
488,0.0328402,0.0233322
489,0.0330585,0.0236772
490,0.0330585,0.0236772
491,0.0328532,0.0234721
492,0.0328532,0.0234721
493,0.0327221,0.0235294
494,0.0327221,0.0235294
495,0.0327221,0.0235294
496,0.0328172,0.0233059
497,0.0326618,0.0230408
498,0.0328145,0.0233471
499,0.0328145,0.0233471
500,0.0328145,0.0233471
501,0.0328145,0.0233471
502,0.0331613,0.0235447
503,0.0328885,0.0232159
504,0.0323252,0.0229477
505,0.0333997,0.0235558
506,0.0333997,0.0235558
507,0.032451,0.022865
508,0.0334988,0.0232924
509,0.0325227,0.023149
510,0.0325227,0.023149
511,0.0325227,0.023149
512,0.0321511,0.0229728
513,0.0324313,0.0232027
514,0.0325771,0.0234473
515,0.0325771,0.0234473
516,0.032236,0.0227322
517,0.032236,0.0227322
518,0.032236,0.0227322
519,0.032236,0.0227322
520,0.0326743,0.0230922
521,0.0330959,0.0234853
522,0.0337824,0.0240662
523,0.0337824,0.0240662
524,0.0337824,0.0240662
525,0.0337824,0.0240662
526,0.0331597,0.0234971
