t,e^(-dS)
691,0.843665
692,0.454935
693,0.754802
694,0.204743
695,0.837277
696,0.375386
697,0.174645
698,2.1274
699,0.947944
700,0.420547
701,0.898885
702,0.230386
703,0.727603
704,0.169823
705,0.883203
706,2.78988
707,1.93054
708,1.24284
709,0.405473
710,0.513195
711,0.566601
712,1.40382
713,2.31035
714,0.395502
715,1.98774
716,0.475542
717,1.68321
718,2.34738
719,0.851547
720,2.75385
721,0.626755
722,0.498476
723,0.925612
724,0.253346
725,0.58649
726,0.410861
727,0.868576
728,0.53886
729,1.63706
730,1.14901
731,0.767666
732,1.7519
733,0.902939
734,1.7984
735,0.305441
736,0.267135
737,0.085435
738,0.155051
739,0.649859
740,0.578799
741,3.49733
742,0.567395
743,0.749687
744,0.500674
745,0.327915
746,1.49123
747,2.93586
748,1.33109
749,1.37328
750,0.409835
751,1.10268
752,2.25128
753,1.03093
754,0.250324
755,0.227183
756,0.683041
757,0.866494
758,1.31285
759,0.615944
760,1.46038
761,0.600255
762,0.350288
763,0.624877
764,0.223801
765,0.677531
766,4.30166
767,1.95365
768,0.582049
769,0.724336
770,0.178708
771,1.60753
772,0.282522
773,0.929675
774,0.44357
775,0.289384
776,0.566771
777,0.358796
778,0.0758498
779,1.0525
780,0.614528
781,0.378099
782,0.240749
783,2.50177
784,0.285932
785,1.95893
786,1.52974
787,2.89215
788,0.535797
789,0.633497
790,1.32936
791,0.994606
792,1.21034
793,0.976344
794,0.218712
795,0.417071
796,0.870228
797,0.315058
798,0.376213
799,2.46231
800,1.30239
801,0.51711
802,0.198493
803,1.04493
804,0.879765
805,2.10644
806,1.92534
807,1.43261
808,0.13239
809,1.51938
810,0.247833
811,0.700333
812,0.397206
813,0.85274
814,0.218493
815,0.218712
816,0.20413
817,0.332538
818,0.31918
819,0.176577
820,2.82639
821,0.591674
822,0.572067
823,0.220028
824,0.345764
825,0.627947
826,2.85765
827,2.68344
828,0.26767
829,0.456348
830,0.367879
831,1.53741
832,0.340275
833,1.16579
834,0.940428
835,0.694336
836,0.305746
837,0.703984
838,0.247091
839,0.900234
840,1.43175
841,1.95835
842,1.27405
843,1.19698
844,0.276927
845,0.220689
846,2.00211
847,0.482681
848,0.494405
849,0.0961352
850,1.60176
851,0.503939
852,1.22519
853,0.257432
854,0.510329
855,1.34824
856,0.0798984
857,1.78033
858,0.291709
859,0.157867
860,0.618598
861,0.258205
862,0.716412
863,1.03486
864,1.49212
865,0.158342
866,1.53342
867,0.976432
868,0.384851
869,0.605743
870,1.19997
871,1.62547
872,1.44398
873,0.701384
874,0.412178
875,0.516283
876,0.382395
877,10.2267
878,0.525082
879,1.30643
880,0.586138
881,0.0766121
882,0.298496
883,0.51649
884,1.29499
885,1.20671
886,2.14063
887,0.406041
888,0.494504
889,4.08777
890,1.20913
891,0.409589
892,0.761778
893,0.401841
894,0.277204
895,0.394988
896,1.28377
897,0.300893
898,1.56346
899,1.56205
900,0.750362
901,2.42929
902,0.415489
903,2.82922
904,1.81158
905,1.1378
906,0.400957
907,0.0834089
908,0.611341
909,1.14603
910,0.53089
911,1.00466
912,1.3275
913,0.281957
914,0.57304
915,1.15777
916,0.477639
917,0.526555
918,0.53569
919,0.977741
920,2.83205
921,0.569612
922,0.996179
923,0.205153
924,0.811801
925,0.792788
926,2.78153
927,0.79152
928,0.721589
929,0.45321
930,1.07425
931,0.532272
932,1.60079
933,0.300592
934,1.06825
935,1.46888
936,2.07965
937,0.419455
938,0.186374
939,0.201897
940,3.43838
941,0.535476
942,0.383008
943,0.149121
944,2.23245
945,0.131336
946,0.881879
947,1.0774
948,0.400877
949,0.510533
950,0.654489
951,0.757751
952,0.674421
953,0.884264
954,0.431107
955,0.809693
956,0.286791
957,1.53757
958,0.27009
959,0.757373
960,0.372879
961,0.194952
962,0.250074
963,0.160093
964,0.340957
965,0.425794
966,1.81757
967,0.583215
968,1.01259
969,1.2452
970,0.255381
971,0.501977
972,0.403936
973,2.14663
974,0.240508
975,0.566998
976,1.14351
977,1.75593
978,1.8011
979,0.350989
980,1.01635
981,0.450003
982,0.213312
983,0.771977
984,2.35608
985,1.19077
986,1.83841
987,0.277759
988,0.325954
989,0.714981
990,0.375499
991,0.334205
992,1.80237
993,0.562367
994,0.100159
995,0.26767
996,0.9918
997,0.0921811
998,6.03153
999,1.56847
