MDTU,plaq_ss,plaq_st
441,0.952133,1.0458
442,0.952133,1.0458
443,0.944905,1.05114
444,0.944905,1.05114
445,0.953058,1.05103
446,0.953058,1.05103
447,0.955315,1.05555
448,0.955315,1.05555
449,0.954042,1.05847
450,0.957688,1.05793
451,0.956749,1.05962
452,0.953502,1.05551
453,0.952891,1.05493
454,0.952891,1.05493
455,0.955331,1.06081
456,0.960655,1.07288
457,0.965847,1.06593
458,0.962335,1.06011
459,0.961748,1.05786
460,0.961748,1.05786
461,0.959572,1.05614
462,0.961374,1.05538
463,0.961374,1.05538
464,0.961374,1.05538
465,0.961374,1.05538
466,0.961374,1.05538
467,0.950238,1.05514
468,0.948409,1.04268
469,0.951067,1.04961
470,0.950792,1.04561
471,0.951903,1.04416
472,0.951903,1.04416
473,0.949544,1.04065
474,0.948266,1.04378
475,0.945438,1.04463
476,0.945438,1.04463
477,0.944095,1.04035
478,0.950278,1.04214
479,0.944049,1.03873
480,0.947194,1.03696
481,0.947194,1.03696
482,0.947194,1.03696
483,0.947194,1.03696
484,0.945136,1.03352
485,0.945136,1.03352
486,0.945847,1.03917
487,0.945847,1.03917
488,0.944612,1.04011
489,0.946828,1.04606
490,0.944468,1.04047
491,0.944882,1.03395
492,0.944882,1.03395
493,0.9473,1.0344
494,0.9473,1.0344
495,0.948272,1.03701
496,0.948272,1.03701
497,0.948272,1.03701
498,0.94432,1.03957
499,0.946616,1.04134
500,0.946616,1.04134
501,0.942771,1.04256
502,0.93734,1.04323
503,0.93734,1.04323
504,0.93734,1.04323
505,0.942185,1.04687
506,0.942927,1.04517
507,0.952564,1.04467
508,0.952988,1.04564
509,0.948122,1.0374
510,0.942669,1.04112
511,0.942669,1.04112
512,0.940618,1.03277
513,0.946881,1.03304
514,0.952812,1.03269
515,0.944824,1.03273
516,0.942619,1.02796
517,0.94167,1.03267
518,0.94167,1.03267
519,0.94167,1.03267
520,0.941821,1.03061
521,0.941821,1.03061
522,0.941821,1.03061
523,0.945808,1.02968
524,0.946671,1.03867
525,0.94061,1.03628
526,0.939582,1.04082
527,0.938715,1.04488
528,0.937137,1.03889
529,0.944388,1.03345
530,0.947301,1.03894
531,0.953049,1.0403
532,0.953049,1.0403
533,0.951112,1.0449
534,0.947977,1.03575
