MDTU,min_min,min_max,max_min,max_max5
191,-0.386789,-0.0196406,0.0763899,0.305639
192,-0.385889,-0.00519174,0.0832607,0.316587
193,-0.400448,-0.0232477,0.0734524,0.312761
194,-0.417634,-0.02445,0.0755079,0.307833
195,-0.432822,-0.0308454,0.0781182,0.309768
196,-0.378616,-0.0278301,0.0857813,0.318611
197,-0.414132,-0.0285387,0.0634162,0.303528
198,-0.414132,-0.0285387,0.0634162,0.303528
199,-0.382779,-0.0248301,0.0774062,0.308584
200,-0.398359,-0.0300593,0.0747529,0.296938
201,-0.398359,-0.0300593,0.0747529,0.296938
202,-0.43855,-0.0256545,0.0707804,0.297562
203,-0.381269,-0.0319761,0.0600599,0.296914
204,-0.406504,-0.0269937,0.0833527,0.303777
205,-0.401789,-0.0185204,0.0773229,0.309637
206,-0.384138,-0.0321754,0.0837256,0.305485
207,-0.383226,-0.02645,0.0843293,0.308866
208,-0.377341,-0.0235484,0.0672474,0.340701
209,-0.396693,-0.0234461,0.0771642,0.303452
210,-0.38775,-0.0285279,0.0871872,0.301995
211,-0.38775,-0.0285279,0.0871872,0.301995
212,-0.410338,-0.0242169,0.0797136,0.295947
213,-0.413876,-0.00242687,0.0864038,0.305265
214,-0.377853,-0.00963972,0.066149,0.307419
215,-0.395013,-0.0221829,0.0791354,0.310639
216,-0.383455,-0.0291933,0.0761576,0.306385
217,-0.401045,-0.0158586,0.0751029,0.307724
218,-0.401045,-0.0158586,0.0751029,0.307724
219,-0.406983,-0.00278552,0.0709524,0.299731
220,-0.406983,-0.00278552,0.0709524,0.299731
221,-0.406983,-0.00278551,0.0709524,0.299731
222,-0.406983,-0.00278551,0.0709524,0.299731
223,-0.406983,-0.00278551,0.0709524,0.299731
224,-0.406983,-0.00278551,0.0709524,0.299731
225,-0.39357,-0.0113827,0.0722621,0.304003
226,-0.41301,-0.0217928,0.0611375,0.308984
227,-0.41301,-0.0217928,0.0611375,0.308984
228,-0.406959,-0.0213886,0.0658406,0.312597
229,-0.382068,-0.0133743,0.0728506,0.307818
230,-0.405443,-0.0189797,0.0628539,0.310056
231,-0.39755,-0.0124038,0.0586016,0.304743
232,-0.388726,-0.0201407,0.0613684,0.319729
233,-0.395766,-0.0174731,0.0707073,0.314308
234,-0.395766,-0.0174731,0.0707073,0.314308
235,-0.395766,-0.0174731,0.0707073,0.314308
236,-0.393517,-0.0310328,0.0607198,0.303255
237,-0.40404,-0.0319502,0.0604386,0.313063
238,-0.408352,-0.0311108,0.0646326,0.328831
239,-0.377349,-0.0295895,0.0610429,0.300798
240,-0.391394,-0.0238402,0.0606641,0.304499
241,-0.391394,-0.0238402,0.060664,0.304499
242,-0.410273,-0.0182386,0.0634534,0.298458
243,-0.410273,-0.0182386,0.0634534,0.298458
244,-0.40501,-0.0336934,0.0680664,0.313602
245,-0.404813,-0.0286279,0.0694611,0.301103
246,-0.363809,-0.0287473,0.0742278,0.304248
247,-0.425005,-0.0150801,0.0758015,0.300118
248,-0.425005,-0.0150801,0.0758015,0.300118
249,-0.413683,-0.0209152,0.0662633,0.3048
250,-0.416908,-0.0237926,0.0603391,0.310486
251,-0.438258,-0.0238238,0.0709915,0.313361
252,-0.438258,-0.0238238,0.0709915,0.313361
253,-0.385109,-0.0223725,0.0753955,0.309924
254,-0.433851,-0.011224,0.0715148,0.308142
255,-0.406126,-0.0239637,0.0749328,0.311613
256,-0.397492,0.00594439,0.0563341,0.313064
257,-0.445809,-0.0160398,0.0701271,0.302817
258,-0.444887,-0.0252392,0.0781467,0.296625
259,-0.390903,-0.032254,0.0727058,0.306756
260,-0.412632,-0.0232019,0.0735193,0.31913
261,-0.412632,-0.0232019,0.0735193,0.31913
262,-0.412632,-0.0232019,0.0735193,0.31913
263,-0.41134,-0.0182075,0.0775649,0.309794
264,-0.41134,-0.0182075,0.0775649,0.309794
265,-0.404778,-0.0248596,0.0614631,0.305264
266,-0.404778,-0.0248596,0.0614631,0.305264
267,-0.40173,-0.0321808,0.0705742,0.30107
268,-0.464638,-0.0284026,0.0716354,0.302482
269,-0.464638,-0.0284026,0.0716354,0.302482
