MDTU,S_F
847,1.03328e-05
848,1.04681e-05
849,1.04681e-05
850,1.04681e-05
851,1.03604e-05
852,1.03604e-05
853,1.03604e-05
854,1.04116e-05
855,1.04011e-05
856,1.04153e-05
857,1.04439e-05
858,1.04439e-05
859,1.05167e-05
860,1.05167e-05
861,1.05167e-05
862,1.05167e-05
863,1.04064e-05
864,1.04064e-05
865,1.029e-05
866,1.01754e-05
867,1.0303e-05
868,1.0303e-05
869,1.0303e-05
870,1.04008e-05
871,1.03252e-05
872,1.03851e-05
873,1.03851e-05
874,1.05127e-05
875,1.05127e-05
876,1.04353e-05
877,1.04993e-05
878,1.04953e-05
879,1.04438e-05
880,1.04691e-05
881,1.04691e-05
882,1.04136e-05
883,1.04304e-05
884,1.02204e-05
885,1.03747e-05
886,1.01748e-05
887,1.01565e-05
888,1.01565e-05
889,1.0148e-05
890,1.0148e-05
891,1.0148e-05
892,1.0148e-05
893,1.02316e-05
894,1.01128e-05
895,1.01067e-05
896,1.01067e-05
897,1.02366e-05
898,1.02366e-05
899,1.03687e-05
900,1.02819e-05
901,1.04309e-05
902,1.05121e-05
903,1.05121e-05
904,1.05843e-05
905,1.05843e-05
906,1.05843e-05
907,1.06266e-05
908,1.04148e-05
909,1.04033e-05
910,1.04033e-05
911,1.05307e-05
912,1.05106e-05
913,1.05106e-05
914,1.05106e-05
915,1.05784e-05
916,1.06516e-05
917,1.05646e-05
918,1.04963e-05
919,1.0419e-05
920,1.0419e-05
921,1.03614e-05
922,1.02791e-05
923,1.02791e-05
924,1.03089e-05
925,1.01973e-05
926,1.01973e-05
927,1.01973e-05
928,1.01813e-05
929,1.02628e-05
930,1.02224e-05
931,1.00467e-05
932,1.00137e-05
933,1.00137e-05
934,1.00137e-05
935,9.95864e-06
936,9.86705e-06
937,1.00395e-05
938,9.98267e-06
939,1.02704e-05
940,1.02662e-05
941,1.03612e-05
942,1.0429e-05
943,1.0429e-05
944,1.0429e-05
945,1.0429e-05
946,1.0429e-05
947,1.02857e-05
948,1.02101e-05
949,1.00607e-05
950,1.00607e-05
951,1.0079e-05
952,9.95075e-06
953,9.96086e-06
954,1.00923e-05
955,1.02058e-05
956,1.0232e-05
957,1.0232e-05
958,1.0232e-05
959,1.01916e-05
