MDTU,susyTrans,Im(bilin)
2670,4.94455e-05,0.000205326
2680,0.0012215,0.000553687
2690,-0.00452721,0.000218958
2700,-0.0028584,0.000359312
2710,-0.00408816,0.000133541
2720,9.09306e-06,-0.000477865
2730,-0.00142765,-0.00076537
2740,-0.000718116,-0.000254875
2750,0.0025221,0.000280639
2760,-0.00139866,0.000446591
2770,-0.00468192,1.78402e-05
2780,-0.00153845,-0.000331493
2790,0.00356334,0.000473963
2800,-0.00199971,0.000185945
2810,-0.00241179,8.66979e-05
2820,-0.0051961,7.72565e-05
2830,-0.00144548,-0.000386599
2840,0.00294857,0.00035335
2850,-0.000653075,0.000206609
2860,-0.00698346,0.000351794
2870,0.00187549,-0.000474524
2880,-0.00133538,0.000696202
2890,-0.000943943,-0.000895658
2900,0.00131934,-0.000166159
2910,-0.00289465,-0.000521941
2920,-0.0001901,0.000137217
2930,-0.00108363,-0.000221291
2940,-0.0018665,0.000801034
2950,-0.00469775,-0.000376417
2960,-0.0021629,0.000257203
2970,0.00147264,0.000710937
2980,-0.00336383,-0.000657244
2990,0.00250409,-0.000787096
3000,0.00159721,-0.00035048
3010,-0.000662168,-5.98729e-05
3020,-0.00326414,-0.000395714
3030,-0.00247161,-0.000335989
3040,-0.00190388,0.000542117
3050,-0.000829072,-3.38482e-05
3060,0.00270208,-0.000728795
3070,9.68706e-05,-0.000296617
3080,0.000378028,-0.00109244
3090,-0.000187081,-0.000121527
3100,-0.00397295,-0.000225712
3110,0.00267262,-0.000344949
3120,-0.000175738,7.10858e-05
3130,0.00614562,-0.000886738
3140,-0.00117234,0.00042009
3150,0.00059566,-0.000252141
3160,0.000631135,-0.000100035
3170,0.00258831,8.17768e-05
3180,0.00186744,-0.00059807
3190,-0.000837161,0.000683073
3200,0.000352954,0.000110615
3210,-0.00336434,-0.00011615
3220,-0.00421941,0.000128214
3230,-0.00416135,-0.000281296
3240,0.00218125,0.000134969
3250,-0.00196138,-3.18407e-05
3260,0.00268605,-0.000927038
3270,-0.00215067,-0.000165566
3280,0.00170961,0.000232828
3290,0.000564633,-0.000861244
3300,-0.00102151,-0.000772984
3310,0.00270701,-0.000388851
3320,-0.000652915,0.000142988
3330,-0.00423651,0.000205751
3340,-0.000783762,1.89906e-06
3350,-0.000619542,-0.000175168
3360,-0.00181868,-0.000647722
3370,-0.00122097,0.000436941
3380,-0.00319839,-0.000570727
3390,-0.00260743,-0.000415024
3400,0.000262545,0.000403746
3410,-0.000673199,-1.28955e-05
3420,0.00391577,0.000610736
3430,0.00168975,-0.00111573
3440,-0.00592272,0.000549952
3450,-0.00116483,2.40149e-05
3460,0.000812305,-8.25775e-05
3470,-0.00429752,-0.000344188
3480,-0.00353444,-0.000451076
3490,0.000979901,3.04146e-06
3500,0.000658847,-0.000252609
3510,-0.0063594,-0.000340341
3520,0.00272638,0.000345657
3530,0.0016856,-0.00043355
3540,-0.00509985,0.000319859
3550,0.00160454,1.83911e-05
3560,-0.00354842,-0.000485829
3570,-0.00453883,-0.000658728
3580,-0.00316295,-0.00018983
3590,-0.00268029,-0.000232901
3600,1.21151e-05,-0.000620636
3610,-0.00245971,-0.000168096
3620,-0.000858273,-0.000353821
3630,0.00527257,0.000604996
3640,0.000625625,0.000105938
3650,0.00146834,0.000332806
3660,0.00196385,-2.65632e-05
3670,-0.00256688,0.00019256
3680,-0.00482955,-7.02547e-05
3690,0.00159545,-4.50867e-05
3700,-0.000389042,-0.000301645
3710,-0.000257642,0.000718293
3720,-0.00222519,-0.000754762
3730,-0.00243732,-4.59262e-06
3740,0.00149308,0.000396225
3750,-0.00581896,0.0008385
3760,0.00229845,-1.97462e-05
3770,-0.00767174,-0.000335057
3780,-0.00866593,0.00022758
3790,-0.000757425,-0.00018053
3800,0.00319397,0.000263675
3810,0.000973788,0.000376264
3820,-0.00238915,-3.51745e-06
3830,0.00235179,-0.00025824
3840,-0.00396094,7.3097e-05
3850,-0.00369854,0.000755341
3860,-0.00271589,3.37238e-05
3870,0.000534632,-0.00038277
3880,-0.00183905,-0.000789212
3890,0.00187827,-7.37453e-05
3900,-0.00253529,-0.00013324
3910,-0.000146362,4.54002e-05
3920,-0.000727493,0.000243008
3930,0.00105038,0.000136415
3940,0.000587667,0.00025039
3950,-0.00351333,7.80853e-05
3960,0.00193443,0.000449256
3970,-0.00105649,-0.000570909
3980,-0.00373196,0.000971861
3990,0.00121019,-0.000153939
4000,0.00311849,-0.000538275
4010,0.00610044,8.28847e-05
4020,0.00261155,-0.000320811
4030,0.00247143,4.32883e-05
4040,-0.000115198,0.000322657
4050,0.00436334,8.29825e-05
4060,-0.00144101,0.000155949
4070,-0.00155288,0.000126634
4080,-0.000701378,-0.000312184
4090,-0.0053733,-0.000320074
4100,0.000587642,0.00070611
4110,-0.00106623,-0.00085196
4120,0.00577357,-0.000680187
4130,-0.00104715,-0.00059663
4140,0.0015327,0.000431517
4150,-0.00265817,0.000113146
4160,0.00051329,-0.000202408
4170,0.0052395,-0.000385428
4180,0.00152145,-0.000142989
4190,-0.0015929,-0.000153158
4200,-0.000516549,0.000168425
4210,-0.00576351,-0.000470459
4220,-0.00155947,-0.000291068
4230,0.00132561,0.000179361
4240,-0.00327158,0.000253422
4250,-0.000180018,0.000225647
4260,-0.0024685,0.000436424
4270,-0.00129159,-0.000662824
4280,-0.00249104,0.000338576
4290,-0.00060532,-0.000351035
4300,-0.000833034,0.000120805
4310,0.00415898,6.05801e-05
4320,-0.00297325,-0.000901843
4330,-0.00523572,3.53619e-05
4340,-0.00115711,0.00121462
4350,0.0050425,0.000246936
4360,0.00167054,0.000347786
4370,0.00266307,0.000731935
4380,-0.00404675,-5.50228e-05
4390,-0.0037396,-0.000292965
4400,-0.000887878,-0.000361523
4410,0.00131746,0.000261068
4420,-0.00122656,0.00026342
4430,-0.00146941,0.000120568
4440,-0.000769977,0.000445734
4450,-0.000647066,0.000270865
4460,0.00423474,-0.000303306
4470,0.000461188,-0.000506869
4480,0.00439929,-0.000154107
4490,0.00341826,0.000947992
4500,-0.00295457,-0.000388404
4510,0.00285868,-0.000221053
4520,-0.00215265,-0.000273235
4530,0.000264437,0.000437608
4540,-0.000238338,5.48744e-05
4550,-0.00626031,0.000583064
4560,0.00101322,0.000321794
4570,-0.00133849,-1.63958e-05
4580,-0.0025704,0.000206087
4590,-0.00650409,0.000720918
4600,-0.00524801,5.02758e-05
4610,0.000964444,-0.000137627
4620,-0.00404847,-0.000163864
4630,-9.07671e-06,-0.000245118
4640,-0.0012969,-0.000139807
4650,0.00292164,8.53874e-05
4660,0.00638591,-0.000858583
