MDTU,link
675,1.01882
676,1.01803
677,1.01899
678,1.01729
679,1.01612
680,1.01591
681,1.01591
682,1.01591
683,1.01591
684,1.01591
685,1.01591
686,1.01867
687,1.01897
688,1.016
689,1.016
690,1.01714
691,1.01518
692,1.01638
693,1.01638
694,1.0168
695,1.01615
696,1.01575
697,1.01589
698,1.01422
699,1.01426
700,1.01426
701,1.01426
702,1.01609
703,1.01572
704,1.01572
705,1.01543
706,1.01603
707,1.01603
708,1.01603
709,1.01603
710,1.01603
711,1.01621
712,1.01508
713,1.01508
714,1.01343
715,1.01406
716,1.01381
717,1.01438
718,1.0133
719,1.01294
720,1.01291
721,1.01291
722,1.01229
723,1.01092
724,1.01009
725,1.01009
726,1.01009
727,1.01009
728,1.01009
729,1.01009
730,1.00957
731,1.00957
732,1.01022
733,1.00996
734,1.00996
735,1.00996
736,1.00996
737,1.01117
738,1.01117
739,1.01189
740,1.01189
741,1.01124
742,1.01124
743,1.01113
744,1.01074
745,1.01074
746,1.00728
747,1.00728
748,1.00989
749,1.01036
750,1.01145
751,1.01145
752,1.01145
753,1.01038
754,1.01147
755,1.01147
756,1.01056
757,1.01191
758,1.00976
759,1.01047
760,1.00965
761,1.011
762,1.01203
763,1.01212
764,1.01125
765,1.01166
766,1.01015
767,1.01015
768,1.01015
769,1.01015
770,1.01111
771,1.01111
772,1.00953
773,1.00937
774,1.00937
775,1.00947
776,1.00775
777,1.00854
778,1.01025
779,1.0084
780,1.00945
781,1.00945
782,1.00904
783,1.00904
784,1.00843
785,1.0077
786,1.00668
787,1.00665
788,1.00665
789,1.00617
790,1.00645
791,1.00645
792,1.00645
793,1.00561
794,1.00561
795,1.00574
796,1.00574
797,1.00541
798,1.00371
799,1.00436
800,1.00445
801,1.00461
802,1.00461
803,1.00374
804,1.0061
805,1.00387
806,1.00387
807,1.00387
808,1.00387
809,1.00387
810,1.0041
811,1.00535
812,1.00721
813,1.00721
814,1.00682
815,1.00682
816,1.00819
817,1.00866
818,1.00856
819,1.00985
820,1.00985
821,1.0095
822,1.00945
823,1.00932
824,1.01056
825,1.01056
826,1.00967
827,1.00929
828,1.00929
829,1.0107
830,1.01106
831,1.01121
832,1.01124
833,1.01053
834,1.00984
835,1.01009
836,1.0096
837,1.0096
838,1.0096
839,1.01092
840,1.01042
841,1.01081
842,1.00872
843,1.00872
844,1.00872
845,1.00872
846,1.00872
847,1.00872
848,1.00872
849,1.00872
850,1.00812
851,1.00812
852,1.00623
853,1.00623
854,1.00667
855,1.00744
856,1.00744
857,1.00778
858,1.00778
859,1.00738
860,1.00786
861,1.00783
862,1.00685
863,1.00827
864,1.00696
865,1.00696
866,1.00664
867,1.00491
868,1.00491
869,1.00821
870,1.00586
871,1.00586
872,1.00526
873,1.00526
874,1.00427
875,1.00372
876,1.0033
877,1.0033
878,1.00373
879,1.00216
880,1.00216
881,1.00216
882,1.00318
883,1.00379
884,1.00423
885,1.005
886,1.005
887,1.005
888,1.00259
889,1.00259
890,1.00375
891,1.00375
892,1.00375
893,1.0052
894,1.00582
895,1.00633
896,1.00633
897,1.00632
898,1.00632
899,1.00639
900,1.00499
901,1.00453
902,1.00392
903,1.00392
904,1.00389
905,1.00544
906,1.00544
907,1.00585
908,1.00585
909,1.00583
910,1.00491
911,1.00539
912,1.0048
913,1.00591
914,1.0066
915,1.0066
916,1.00618
917,1.00524
918,1.00525
919,1.00525
920,1.00525
921,1.00549
922,1.00437
923,1.00388
924,1.00388
925,1.00441
926,1.005
927,1.005
928,1.005
929,1.0048
930,1.0051
931,1.0051
932,1.00591
933,1.00588
934,1.00588
935,1.00588
936,1.00589
937,1.00589
938,1.00449
939,1.00553
940,1.00469
941,1.00469
942,1.00469
943,1.00469
944,1.00497
945,1.00451
946,1.00386
947,1.00386
948,1.00386
949,1.00418
950,1.00418
951,1.00418
952,1.00418
953,1.00418
954,1.00288
955,1.00208
956,1.00208
957,1.00208
958,1.00208
959,1.00208
960,1.00244
961,1.00244
962,1.00244
963,1.00228
964,1.00224
965,1.00224
966,1.00281
967,1.00281
968,1.0038
969,1.00441
970,1.00406
971,1.00505
972,1.00507
973,1.00267
974,1.00403
975,1.00271
976,1.00394
977,1.00291
978,1.00291
979,1.00291
980,1.00291
981,1.00291
982,1.00291
983,1.00291
984,1.00311
985,1.00264
986,1.00218
987,1.00327
988,1.00327
989,1.00304
990,1.00263
991,1.00431
992,1.00431
993,1.00431
994,1.00392
995,1.00334
996,1.00334
997,1.00327
998,1.00596
999,1.00582
1000,1.00582
1001,1.00582
1002,1.00582
1003,1.00465
1004,1.00465
1005,1.00538
1006,1.0051
1007,1.00433
1008,1.00433
1009,1.00638
1010,1.00638
1011,1.00555
1012,1.00555
1013,1.00503
1014,1.00503
1015,1.00503
1016,1.00503
1017,1.00407
1018,1.00407
1019,1.00399
1020,1.00399
1021,1.00645
1022,1.00625
