MDTU,0,2,4,6,8,10
1910,17.2323,17.2201,17.2159,17.2064,17.2015,17.1994
1920,17.2211,17.1997,17.196,17.1897,17.1869,17.1789
1930,17.2608,17.2406,17.2373,17.228,17.2241,17.2129
1940,17.2986,17.2818,17.2774,17.2673,17.2652,17.259
1950,17.2548,17.2371,17.2291,17.2128,17.2032,17.188
1960,17.2461,17.2383,17.2301,17.2208,17.2189,17.2149
1970,17.3499,17.3326,17.3303,17.321,17.3132,17.3092
1980,17.428,17.4085,17.4048,17.3943,17.3899,17.3829
1990,17.4242,17.4055,17.3986,17.3943,17.39,17.3854
2000,17.3555,17.3432,17.3363,17.3242,17.3155,17.3059
2010,17.5096,17.4908,17.4867,17.4827,17.479,17.4746
2020,17.3813,17.3659,17.3598,17.3502,17.3424,17.3386
2030,17.4334,17.42,17.4141,17.4084,17.403,17.3951
2040,17.3612,17.3427,17.3247,17.3179,17.3119,17.292
2050,17.234,17.2222,17.2173,17.2147,17.2091,17.2074
2060,17.2889,17.2711,17.266,17.2519,17.2475,17.2352
2070,17.2684,17.2584,17.253,17.2448,17.2405,17.2396
2080,17.3853,17.3707,17.3584,17.3433,17.3377,17.3236
2090,17.2203,17.2099,17.2004,17.1964,17.1935,17.1894
2100,17.3296,17.3134,17.3092,17.2994,17.2927,17.2859
2110,17.2831,17.2716,17.2627,17.2559,17.2485,17.2435
2120,17.3684,17.3515,17.3406,17.332,17.3283,17.3237
2130,17.4317,17.4122,17.408,17.4041,17.3987,17.3958
2140,17.2891,17.2744,17.2681,17.2649,17.26,17.2552
2150,17.2985,17.2806,17.2785,17.2695,17.2676,17.2591
2160,17.3597,17.3432,17.3356,17.3227,17.3128,17.305
2170,17.4775,17.4593,17.4513,17.4441,17.4329,17.4235
2180,17.2572,17.2401,17.2369,17.2266,17.2222,17.218
2190,17.3292,17.3138,17.3066,17.2961,17.2907,17.2809
2200,17.2298,17.2074,17.2014,17.197,17.1943,17.1888
2210,17.339,17.3204,17.3177,17.3076,17.3018,17.2962
2220,17.508,17.4904,17.4864,17.4785,17.4714,17.4676
2230,17.4648,17.4495,17.4433,17.4346,17.4261,17.4167
2240,17.4438,17.4279,17.4269,17.4232,17.4181,17.4154
2250,17.4215,17.4073,17.402,17.3949,17.3888,17.3806
2260,17.6837,17.6683,17.6646,17.6545,17.6486,17.6431
2270,17.6774,17.6582,17.6531,17.6404,17.6371,17.6253
2280,17.5811,17.5664,17.5625,17.5526,17.5499,17.5443
2290,17.5162,17.5016,17.4986,17.4885,17.4822,17.4775
2300,17.5976,17.5818,17.5785,17.5702,17.5652,17.5614
2310,17.4748,17.4595,17.4481,17.4424,17.44,17.4379
2320,17.3651,17.3548,17.3514,17.3445,17.3394,17.3372
2330,17.3094,17.2932,17.2916,17.2852,17.2776,17.2733
2340,17.4142,17.3953,17.3884,17.3788,17.3721,17.3619
2350,17.4592,17.4333,17.4301,17.4232,17.4205,17.4116
2360,17.3821,17.3656,17.3629,17.3555,17.3505,17.3452
2370,17.2021,17.1985,17.1832,17.1808,17.1776,17.1729
2380,17.1645,17.1498,17.1448,17.1329,17.129,17.1251
2390,17.1346,17.1145,17.1094,17.1049,17.0941,17.0899
2400,17.344,17.3267,17.3207,17.316,17.3074,17.2976
2410,17.1952,17.1768,17.1746,17.1687,17.1627,17.1597
2420,17.4154,17.4015,17.3909,17.3821,17.3746,17.368
2430,17.3702,17.3614,17.3507,17.3344,17.3294,17.3207
2440,17.3027,17.2853,17.283,17.2771,17.2732,17.2634
2450,17.3876,17.3688,17.3602,17.3472,17.3401,17.3291
2460,17.4033,17.3882,17.379,17.3647,17.3536,17.3483
2470,17.1953,17.1768,17.1648,17.153,17.142,17.1351
2480,17.1845,17.167,17.1583,17.1531,17.143,17.135
2490,17.1862,17.1762,17.1678,17.1633,17.1593,17.154
2500,17.2585,17.24,17.2314,17.2198,17.2156,17.1964
2510,17.2901,17.2732,17.2689,17.2683,17.2486,17.2432
2520,17.4058,17.3914,17.3774,17.3619,17.3515,17.3446
2530,17.288,17.2715,17.2683,17.2604,17.2578,17.2557
