t,cond_num
6120,6.38953
6130,6.32928
6140,6.35746
6150,6.37679
6160,6.39033
6170,6.43653
6180,6.36658
6190,6.35556
6200,6.33635
6210,6.31715
6220,6.35369
6230,6.3629
6240,6.33806
6250,6.36852
6260,6.33204
6270,6.3494
6280,6.3762
6290,6.33384
6300,6.34627
6310,6.40526
6320,6.40043
6330,6.33057
6340,6.33187
6350,6.38076
6360,6.34645
6370,6.37301
6380,6.35101
6390,6.3849
6400,6.30608
6410,6.32124
6420,6.39359
6430,6.36712
6440,6.35339
6450,6.3466
6460,6.35451
6470,6.33964
6480,6.34481
6490,6.36526
6500,6.30585
6510,6.36985
6520,6.38179
6530,6.44045
6540,6.43092
6550,6.40346
6560,6.36379
6570,6.36024
6580,6.40705
6590,6.33211
6600,6.36684
6610,6.35519
6620,6.37729
6630,6.3497
6640,6.3565
6650,6.35938
6660,6.32989
6670,6.34421
6680,6.39886
6690,6.3936
6700,6.37004
6710,6.35791
6720,6.3635
6730,6.41176
6740,6.34212
6750,6.3382
6760,6.37543
6770,6.36732
6780,6.34618
6790,6.35868
6800,6.33826
6810,6.35543
6820,6.3416
6830,6.38816
6840,6.32895
6850,6.34361
6860,6.34366
6870,6.38242
6880,6.36979
6890,6.3724
6900,6.37602
6910,6.35492
6920,6.37765
6930,6.37106
6940,6.38608
6950,6.36468
6960,6.3598
6970,6.35313
6980,6.35705
6990,6.3915
7000,6.34807
7010,6.34161
7020,6.30668
7030,6.32707
7040,6.38056
7050,6.374
7060,6.3829
7070,6.36673
7080,6.3079
7090,6.3825
7100,6.34404
7110,6.32678
7120,6.35203
7130,6.36382
7140,6.34178
7150,6.40991
7160,6.36036
7170,6.34446
7180,6.38352
7190,6.38416
7200,6.38448
7210,6.36918
7220,6.3819
7230,6.38316
7240,6.34688
7250,6.36692
7260,6.34092
7270,6.35629
7280,6.34537
7290,6.37118
7300,6.3564
7310,6.33566
7320,6.37888
7330,6.33258
7340,6.32056
7350,6.38139
7360,6.40241
7370,6.3677
7380,6.37324
7390,6.39439
7400,6.38101
7410,6.36687
7420,6.3876
7430,6.34144
7440,6.33547
7450,6.35907
7460,6.3594
7470,6.37908
7480,6.36192
7490,6.42365
7500,6.37357
7510,6.38461
7520,6.35263
7530,6.37822
7540,6.36096
7550,6.3285
7560,6.37531
7570,6.33563
7580,6.40077
7590,6.32657
7600,6.39394
7610,6.37915
7620,6.35371
7630,6.37902
7640,6.3654
7650,6.33561
7660,6.30852
7670,6.37103
7680,6.39002
7690,6.33378
7700,6.34199
7710,6.38062
7720,6.36018
7730,6.37193
7740,6.39454
7750,6.38012
7760,6.33776
7770,6.35373
7780,6.36064
7790,6.37287
7800,6.34545
7810,6.31566
7820,6.33786
7830,6.33975
7840,6.39476
7850,6.36677
7860,6.37905
7870,6.3419
7880,6.3375
7890,6.34927
7900,6.35094
7910,6.31634
7920,6.3322
7930,6.31359
7940,6.36245
7950,6.46949
7960,6.34403
7970,6.36803
7980,6.34916
7990,6.37128
8000,6.38433
8010,6.35479
8020,6.3442
8030,6.37098
8040,6.34377
8050,6.39306
8060,6.33667
8070,6.35709
8080,6.3963
8090,6.42916
8100,6.37184
8110,6.38816
8120,6.34404
8130,6.34989
8140,6.37402
8150,6.42775
8160,6.38209
8170,6.38411
8180,6.36435
8190,6.31627
8200,6.34842
8210,6.36439
8220,6.37809
8230,6.38697
8240,6.37346
8250,6.32063
8260,6.38489
8270,6.32069
8280,6.36591
8290,6.36695
8300,6.38837
8310,6.36006
8320,6.4042
8330,6.43158
8340,6.33362
8350,6.38243
8360,6.40586
8370,6.36855
8380,6.36851
8390,6.35972
8400,6.33382
8410,6.36917
8420,6.35162
8430,6.39578
8440,6.36916
8450,6.36961
8460,6.35082
8470,6.36597
8480,6.40623
8490,6.42045
8500,6.34369
8510,6.33978
8520,6.3713
8530,6.40592
8540,6.31654
8550,6.37568
8560,6.32532
8570,6.35159
8580,6.35642
8590,6.40146
8600,6.32158
8610,6.36178
8620,6.31731
8630,6.37386
8640,6.37331
8650,6.34739
8660,6.36571
8670,6.35563
8680,6.36437
8690,6.38087
8700,6.38141
8710,6.37751
8720,6.347
8730,6.36278
8740,6.35422
8750,6.4112
8760,6.36514
8770,6.35811
8780,6.34114
8790,6.35038
8800,6.34415
8810,6.39366
8820,6.39295
8830,6.38441
8840,6.37382
8850,6.37667
8860,6.40052
8870,6.34266
8880,6.33941
8890,6.37633
8900,6.34975
8910,6.33905
8920,6.39787
8930,6.31792
8940,6.39506
8950,6.38518
8960,6.40324
8970,6.3628
8980,6.38952
8990,6.3791
9000,6.37538
