ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.985729,0.0175991,null,null,null
0.00978076,null,0.810693,null,null
-0.0892164,null,null,0.512081,null
-0.00278151,null,null,null,-0.00401781
0.986487,0.0174341,null,null,null
-0.043219,null,0.813608,null,null
0.0428289,null,null,0.591351,null
-0.00418958,null,null,null,-0.00185811
0.986487,0.0174341,null,null,null
-0.043219,null,0.813608,null,null
0.0428289,null,null,0.591351,null
-0.00418958,null,null,null,-0.00185811
0.986487,0.0174341,null,null,null
-0.043219,null,0.813608,null,null
0.0428289,null,null,0.591351,null
-0.00418958,null,null,null,-0.00185811
0.990774,0.0168719,null,null,null
0.000389688,null,0.759121,null,null
-0.0909721,null,null,0.62616,null
-0.00635616,null,null,null,0.0041914
0.990774,0.0168719,null,null,null
0.000389688,null,0.759121,null,null
-0.0909721,null,null,0.62616,null
-0.00635616,null,null,null,0.0041914
0.987684,0.0141754,null,null,null
-0.137456,null,0.633474,null,null
0.0445612,null,null,0.503857,null
-0.0042649,null,null,null,0.000173084
0.982256,0.00989512,null,null,null
-0.0224285,null,0.709294,null,null
-0.0495669,null,null,0.519256,null
-0.00243173,null,null,null,0.00399753
0.981474,0.0098746,null,null,null
-0.140995,null,0.627659,null,null
-0.138666,null,null,0.569291,null
-0.00128164,null,null,null,-0.00169202
0.981885,0.00237161,null,null,null
-0.203393,null,0.65748,null,null
-0.0938531,null,null,0.491159,null
-0.00162449,null,null,null,-0.000439716
0.98046,0.00163759,null,null,null
-0.348125,null,0.517833,null,null
-0.169382,null,null,0.469772,null
0.00333602,null,null,null,0.00506506
0.982925,0.00245906,null,null,null
-0.273628,null,0.54422,null,null
-0.212889,null,null,0.669593,null
-0.00316155,null,null,null,0.0034417
0.984126,0.00344346,null,null,null
-0.27394,null,0.635355,null,null
-0.227605,null,null,0.598264,null
0.00466536,null,null,null,-0.00195102
0.984126,0.00344346,null,null,null
-0.27394,null,0.635355,null,null
-0.227605,null,null,0.598264,null
0.00466536,null,null,null,-0.00195102
0.982457,0.00170325,null,null,null
-0.246101,null,0.520836,null,null
-0.483244,null,null,0.635939,null
0.00247028,null,null,null,1.00138e-05
0.979533,-0.00115983,null,null,null
-0.0929954,null,0.476784,null,null
-0.28681,null,null,0.466534,null
0.00082322,null,null,null,0.00111646
0.979533,-0.00115983,null,null,null
-0.0929954,null,0.476784,null,null
-0.28681,null,null,0.466534,null
0.00082322,null,null,null,0.00111646
0.984135,0.00349321,null,null,null
-0.219091,null,0.365371,null,null
-0.234802,null,null,0.657525,null
-0.000347056,null,null,null,-0.00184924
0.980764,0.00526115,null,null,null
-0.29254,null,0.688181,null,null
-0.241102,null,null,0.625125,null
-0.000252851,null,null,null,-0.00275879
0.982951,0.00568355,null,null,null
-0.106821,null,0.538294,null,null
-0.238567,null,null,0.638584,null
-0.00101113,null,null,null,-0.000601829
0.982951,0.00568355,null,null,null
-0.106821,null,0.538294,null,null
-0.238567,null,null,0.638584,null
-0.00101113,null,null,null,-0.000601829
0.982951,0.00568355,null,null,null
-0.106821,null,0.538294,null,null
-0.238567,null,null,0.638584,null
-0.00101113,null,null,null,-0.000601829
0.982951,0.00568355,null,null,null
-0.106821,null,0.538294,null,null
-0.238567,null,null,0.638584,null
-0.00101113,null,null,null,-0.000601829
0.978363,0.00185283,null,null,null
0.129189,null,0.571019,null,null
-0.302281,null,null,0.527367,null
-0.00555105,null,null,null,-0.00281044
