MDTU,S_B
652,1.00039
653,0.999929
654,0.999929
655,0.999929
656,0.999998
657,0.99779
658,0.998905
659,0.998905
660,0.998905
661,0.998798
662,0.998798
663,0.996584
664,0.999068
665,0.999068
666,0.998839
667,0.99925
668,0.998085
669,0.998085
670,0.99873
671,0.998523
672,0.999492
673,0.999032
674,0.999032
675,0.999032
676,0.998496
677,0.998101
678,0.999958
679,0.999958
680,1.00027
681,0.999784
682,1.00029
683,0.99872
684,1.00092
685,0.999261
686,0.999668
687,0.999668
688,0.999668
689,0.999668
690,1.00138
691,0.999981
692,0.998777
693,0.99829
694,0.99829
695,0.99829
696,0.998251
697,0.998251
698,0.998251
699,0.998748
700,0.998613
701,0.998613
702,1.00015
703,0.997958
704,0.998939
705,0.999666
706,0.999464
707,0.998548
708,0.998274
709,0.998656
