MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
227,0.992918,0.399749,0.179567,0.00412782
228,0.992874,0.354706,0.170462,0.00155727
229,0.992874,0.354706,0.170462,0.00155727
230,0.992914,0.381253,0.192947,0.00622661
231,0.992733,0.37326,0.216117,0.00233901
232,0.992752,0.35602,0.202373,0.00445931
233,0.992752,0.35602,0.202373,0.00445931
234,0.992735,0.352863,0.23071,0.0085255
235,0.992735,0.352863,0.23071,0.0085255
236,0.992735,0.352863,0.23071,0.0085255
237,0.992675,0.378462,0.177839,0.00556954
238,0.992686,0.335398,0.222382,0.00327993
239,0.992811,0.306362,0.176704,0.00458739
240,0.9928,0.296315,0.198215,0.00416372
241,0.992732,0.33189,0.207401,0.00485484
242,0.992793,0.383044,0.173402,0.000592527
243,0.992786,0.399638,0.111875,0.00608552
244,0.992786,0.399638,0.111875,0.00608552
245,0.992788,0.330616,0.119441,0.00609627
246,0.992773,0.294197,0.120567,0.00620464
247,0.992753,0.299101,0.135198,0.00470611
248,0.992924,0.329712,0.17639,0.00148096
249,0.992924,0.329712,0.17639,0.00148096
250,0.992937,0.347581,0.12927,0.00395332
251,0.992805,0.267884,0.0821077,0.00378188
252,0.992817,0.322409,0.177528,0.00570276
253,0.992845,0.341104,0.14688,0.00303968
254,0.992875,0.310092,0.169213,0.00189444
255,0.992856,0.338842,0.14643,0.0038371
256,0.992856,0.338842,0.14643,0.0038371
257,0.992856,0.338842,0.14643,0.0038371
258,0.992856,0.338842,0.14643,0.0038371
259,0.992769,0.322766,0.134689,0.0077232
260,0.992836,0.334661,0.183307,0.00420762
261,0.992822,0.349252,0.177628,0.00190945
262,0.992818,0.349652,0.167956,0.00702918
263,0.992721,0.278647,0.177699,0.00580922
264,0.992782,0.288179,0.218481,0.00277383
265,0.992782,0.288179,0.218481,0.00277383
266,0.992862,0.256332,0.202559,0.00451052
267,0.992862,0.256332,0.202559,0.00451052
268,0.992797,0.304108,0.195134,0.000322556
269,0.992777,0.279489,0.229066,0.00318052
270,0.992821,0.285789,0.190571,0.00215749
271,0.992805,0.254276,0.247355,0.00419917
272,0.992877,0.282062,0.2694,0.0040897
273,0.992877,0.282062,0.2694,0.0040897
274,0.992868,0.284928,0.274466,0.00513074
275,0.992868,0.284928,0.274466,0.00513074
276,0.992837,0.265458,0.293356,0.00292667
277,0.992837,0.265458,0.293356,0.00292667
278,0.992844,0.25687,0.309018,0.00500548
279,0.992844,0.25687,0.309018,0.00500548
280,0.992844,0.25687,0.309018,0.00500548
281,0.992916,0.305122,0.306082,0.00417261
282,0.992784,0.260915,0.296048,0.00326506
283,0.99278,0.255927,0.341033,0.00642432
284,0.992836,0.281273,0.31741,0.00552606
285,0.992882,0.238405,0.315165,0.00486461
286,0.99288,0.247023,0.353857,0.00237139
287,0.992952,0.250481,0.30172,0.00902666
288,0.992952,0.250481,0.30172,0.00902666
289,0.992961,0.257436,0.331147,0.00194107
290,0.992912,0.255085,0.257737,0.0041416
291,0.992878,0.246366,0.302579,0.00397439
292,0.992861,0.255161,0.312909,0.00460412
293,0.992841,0.26658,0.35402,0.00432459
294,0.992849,0.263758,0.260639,0.00206797
295,0.992872,0.223838,0.27953,0.00435438
296,0.992872,0.223838,0.27953,0.00435438
297,0.992803,0.23326,0.292505,0.00455419
298,0.992864,0.228618,0.316135,0.0001359
299,0.992812,0.156096,0.293303,0.00512566
300,0.992812,0.156096,0.293303,0.00512566
301,0.992812,0.156096,0.293303,0.00512566
302,0.992802,0.145094,0.285134,0.00105221
303,0.992951,0.138445,0.262937,0.00434486
