t,deltaS
1122,0.2764
1123,-0.543
1124,-0.4726
1125,0.1383
1126,-0.3245
1127,0.2487
1128,0.05668
1129,-0.3755
1130,-0.01085
1131,0.1575
1132,-0.4173
1133,0.1766
1134,0.1932
1135,0.1329
1136,-0.1252
1137,-0.2406
1138,0.1771
1139,0.02538
1140,0.5116
1141,0.06845
1142,0.3148
1143,-0.3474
1144,1.104
1145,0.2533
1146,-0.1312
1147,0.5742
1148,0.219
1149,0.4587
1150,0.299
1151,0.3108
1152,0.4232
1153,0.4173
1154,0.3106
1155,0.07152
1156,-0.07142
1157,0.5205
1158,0.0867
1159,0.5561
1160,-0.06371
1161,0.5606
1162,0.2269
1163,-0.4979
1164,-0.007066
1165,0.3693
1166,0.1404
1167,-0.5284
1168,0.05814
1169,0.03436
1170,0.2992
1171,-0.228
1172,0.9292
1173,0.6885
1174,0.3039
1175,0.5883
1176,-0.06868
1177,0.6183
1178,0.07487
1179,-0.4337
1180,0.5179
1181,-0.02723
1182,0.5393
1183,0.0545
1184,0.04856
1185,0.9735
1186,-0.6888
1187,0.3966
1188,0.3277
1189,0.1098
1190,0.07158
1191,0.1938
1192,0.6837
1193,0.6323
1194,-0.2286
1195,-0.09776
1196,0.8675
1197,0.4665
1198,-0.654
1199,0.01091
1200,0.1557
1201,0.3702
1202,-0.7727
1203,-0.6032
1204,0.3179
1205,0.02281
1206,0.007142
1207,-0.5765
1208,-0.5343
1209,0.5526
1210,0.2861
1211,1.175
1212,0.7269
1213,-0.5096
1214,-0.3226
1215,-0.07245
1216,0.6597
1217,0.1659
1218,-0.03516
1219,1.218
1220,-0.2789
1221,0.2496
1222,-0.2562
1223,-0.4183
1224,0.04537
1225,-0.1192
1226,0.8
1227,-0.3195
1228,-0.02109
1229,-0.4222
1230,-0.1595
1231,-0.3786
1232,0.7811
1233,0.4271
1234,-0.1888
1235,0.3047
1236,0.4685
1237,0.1818
1238,-0.0841
1239,-0.6408
1240,0.567
1241,-0.5472
1242,-0.1561
1243,-0.7467
1244,-0.3934
1245,0.4207
1246,0.9025
1247,-1.373
1248,0.4039
1249,0.05399
1250,-0.2926
1251,-0.1487
1252,-0.4414
1253,0.2421
1254,0.608
1255,-0.6798
1256,-0.3677
1257,0.7887
1258,-0.1046
1259,0.4313
1260,-0.8462
1261,0.5104
1262,-0.6391
1263,0.7326
1264,-0.3007
1265,0.08465
1266,0.5101
1267,0.01018
1268,-0.3032
1269,-0.1437
1270,-0.05305
1271,0.04542
1272,1.088
1273,-0.1508
1274,0.2566
1275,-0.6015
1276,-0.3926
1277,0.6001
1278,-0.2223
1279,0.8281
1280,0.5642
1281,-0.1746
1282,0.177
1283,-0.6162
1284,1.667
1285,0.8036
1286,-0.3339
1287,0.4835
1288,-0.3367
1289,0.1726
1290,-0.1737
1291,0.405
1292,0.4299
1293,-0.009595
1294,0.9216
1295,-0.3281
1296,0.4569
1297,0.1914
1298,-0.4459
1299,-0.09261
1300,-0.4351
1301,0.04296
1302,-0.1091
1303,0.05402
1304,0.08888
1305,0.3012
1306,0.9444
1307,-0.1073
1308,0.07563
1309,0.003168
1310,0.2526
1311,-0.0404
1312,0.2653
1313,0.0664
1314,-0.006871
1315,0.1523
1316,0.1982
1317,-0.8772
1318,-0.2855
1319,0.007781
1320,-0.1537
1321,0.5494
1322,-0.1207
1323,0.1537
1324,0.02904
1325,0.4639
1326,0.656
1327,-0.1473
1328,0.5835
1329,-0.2842
1330,-0.2267
1331,-0.3034
1332,0.4153
1333,0.6377
1334,0.1607
1335,-0.3087
1336,-0.4819
1337,-0.3303
1338,0.1362
1339,0.5258
1340,0.1871
1341,-0.3754
1342,-0.3306
1343,-0.5344
1344,-0.9319
1345,0.2145
1346,0.1076
1347,-0.2543
1348,-0.5276
1349,0.4656
1350,-0.3092
1351,-0.0006335
1352,0.3523
1353,-0.0009279
1354,-0.5844
1355,0.2159
1356,-0.08989
1357,-0.05969
1358,-0.02313
1359,0.4461
1360,-0.01602
1361,-0.03786
1362,-0.1625
1363,-0.1995
1364,-0.6403
1365,0.1936
1366,-0.7492
1367,0.05085
1368,0.03279
1369,0.004636
1370,0.4016
1371,0.4149
1372,0.06779
1373,0.5416
1374,-0.5604
1375,-0.5537
1376,-0.115
1377,0.9477
1378,0.08201
1379,0.2505
1380,-0.7697
1381,-0.1254
1382,-0.04758
1383,0.3694
1384,0.3436
1385,0.8519
1386,-0.6169
1387,0.2142
1388,0.8446
1389,-0.06444
1390,1.156
1391,0.7087
1392,0.4634
1393,0.1969
1394,-0.5254
1395,-0.07583
1396,0.3525
1397,0.05759
1398,-0.1532
1399,0.7425
1400,0.2243
1401,0.49
1402,-0.4369
1403,-0.01945
1404,0.1972
1405,-0.2039
1406,-0.1075
1407,0.3633
1408,0.3635
1409,-0.1685
1410,0.2802
1411,-0.5957
1412,0.4851
1413,-0.1531
1414,-0.02719
1415,0.637
1416,0.2086
1417,0.108
1418,0.01859
1419,0.1249
1420,0.5104
1421,0.136
1422,0.6759
1423,-0.2338
1424,0.3045
1425,0.3422
1426,0.2916
1427,0.3192
1428,0.394
1429,-0.376
1430,0.172
1431,-0.0323
1432,-0.304
1433,-0.3445
1434,0.5112
1435,0.04948
1436,-0.1171
1437,0.4186
1438,0.2426
1439,0.4262
1440,-0.1327
1441,-0.2822
1442,-0.226
1443,-0.5149
1444,0.4193
1445,0.0831
1446,-0.2027
1447,-0.2008
1448,-0.1241
1449,0.07347
1450,-0.4993
1451,-0.5343
1452,0.4941
1453,0.234
1454,-0.179
1455,-0.04305
1456,0.3297
1457,0.04864
1458,-0.4525
1459,0.6796
1460,0.2513
1461,0.291
1462,0.1027
1463,-0.1598
1464,-0.3025
1465,0.04973
1466,-0.09939
1467,-0.5306
1468,0.2028
1469,-0.1651
1470,0.37
1471,-0.3188
1472,0.484
1473,0.1191
1474,0.102
1475,0.2395
1476,0.538
1477,0.5161
1478,0.7809
1479,0.3896
1480,-0.1199
1481,0.467
1482,-0.413
1483,-0.2679
1484,0.6064
1485,0.2013
1486,-0.6505
1487,-0.4411
1488,0.2683
1489,0.6047
1490,-0.1198
1491,0.1654
1492,0.2678
1493,0.1106
1494,0.2134
1495,-0.04062
1496,0.7238
1497,0.06182
1498,1.311
1499,0.4809
1500,-0.04982
1501,0.03222
1502,0.5289
1503,0.1995
1504,-0.892
1505,0.2092
1506,-0.4364
1507,-0.07649
1508,-0.02546
1509,0.05055
1510,-0.66
1511,-0.2863
1512,0.302
1513,0.03228
1514,0.3455
1515,0.5331
1516,-0.2619
1517,-0.7194
1518,0.2266
1519,-0.1947
1520,0.09764
1521,0.1382
1522,-0.2261
1523,0.5112
1524,-0.3919
1525,-0.846
1526,0.4538
1527,0.5868
1528,0.4072
1529,-0.4833
1530,-0.5496
1531,0.03027
1532,0.4461
1533,-0.9539
1534,-0.2102
1535,0.1504
1536,0.4907
1537,-0.1395
1538,-0.1397
1539,0.7147
1540,-0.5806
1541,0.8377
1542,0.2905
1543,-0.238
1544,0.9382
1545,0.1916
1546,-0.0196
1547,-0.7021
1548,1.749
1549,0.01003
1550,0.5176
1551,-0.08481
1552,-0.1089
1553,0.05368
1554,0.2736
1555,-0.5135
1556,0.2562
1557,-0.2098
1558,0.1259
1559,-0.1922
1560,-0.9354
1561,0.04277
1562,0.02153
1563,0.3505
1564,0.1843
1565,-0.00392
1566,0.1786
1567,0.2191
1568,-0.1439
1569,-0.6576
1570,-0.6625
1571,0.1054
1572,0.8662
1573,0.9964
1574,-0.6714
1575,-0.2428
1576,0.7624
1577,0.3826
1578,-0.5211
1579,-0.3104
1580,-0.1592
1581,-0.3234
1582,-0.1185
1583,0.07914
1584,0.1556
1585,0.04807
1586,0.3935
1587,0.1001
1588,0.9801
1589,0.663
1590,0.04433
1591,0.2368
1592,-0.1506
1593,-0.8184
1594,0.4003
1595,0.7302
1596,-0.6574
1597,0.4934
1598,-0.0411
1599,1.114
1600,-0.7787
1601,0.1406
1602,0.09066
1603,-0.06022
1604,0.8561
1605,0.328
1606,0.1059
1607,-0.01967
1608,0.3944
1609,-0.05989
1610,-0.2095
1611,0.3814
1612,0.00441
1613,-0.6282
1614,-0.4927
1615,0.2873
1616,0.1396
1617,-0.4949
1618,-0.07271
1619,-0.1691
1620,-0.326
1621,0.09369
1622,-0.5246
1623,0.1003
1624,-0.06689
1625,0.396
1626,-0.5864
1627,-0.1119
1628,0.1142
1629,0.009953
1630,-0.2146
1631,-0.167
1632,0.1889
1633,1.156
1634,0.08975
1635,0.1283
1636,0.6769
1637,-0.06548
1638,-0.8883
1639,0.1908
1640,-0.08411
1641,0.4343
1642,-0.3511
1643,-0.09463
1644,-0.5273
1645,0.03839
1646,0.6471
1647,-0.3371
1648,-0.8306
1649,0.0519
1650,0.3143
1651,0.462
1652,0.755
1653,-0.5084
1654,0.2722
1655,0.9183
1656,0.1494
1657,0.03241
1658,0.3156
1659,-0.1062
1660,-1
1661,-0.2524
1662,-0.05125
1663,0.2628
1664,-0.2474
1665,0.5918
1666,-0.4071
1667,0.4702
1668,-0.5828
1669,0.685
1670,0.0852
1671,0.5822
1672,-0.7088
1673,-0.1723
1674,-0.1186
1675,0.6801
1676,-0.09483
1677,0.02994
1678,-0.027
1679,0.9103
1680,0.5636
1681,0.6936
1682,-0.3309
1683,-0.2608
1684,-0.4552
1685,-0.174
1686,0.01575
1687,-0.202
1688,0.564
1689,-0.2405
1690,0.04332
1691,0.2426
1692,-0.4058
1693,0.2272
1694,-0.879
1695,0.1358
1696,1.02
1697,0.392
1698,-0.04702
1699,0.4224
1700,0.2207
1701,-0.03412
1702,0.3672
1703,-0.3599
1704,0.5395
1705,-0.2433
1706,-0.7039
1707,-0.2108
1708,-0.4148
1709,0.2959
1710,0.5904
1711,0.1213
1712,-0.3478
1713,1.039
1714,-0.2499
1715,0.5876
1716,-0.04557
1717,-0.1085
1718,0.6154
1719,1.13
1720,-0.4419
1721,0.5219
1722,-0.2278
1723,0.4449
1724,0.2769
1725,0.5276
1726,-0.1277
1727,0.6652
1728,-0.7248
1729,0.7014
1730,0.3734
1731,0.6569
1732,0.5569
1733,0.5589
1734,-0.4108
1735,-0.02103
1736,0.1733
1737,-0.3463
1738,0.5901
1739,-0.02867
1740,0.5079
1741,-0.3362
1742,0.3517
1743,-0.02797
1744,0.1755
1745,-0.008736
1746,0.2451
1747,-0.6919
1748,-0.2744
1749,0.3307
1750,0.2544
1751,-0.4295
1752,-0.5356
1753,0.7541
1754,0.8205
1755,-0.07214
1756,0.0431
1757,-0.2513
1758,0.05977
1759,0.06645
1760,0.5555
1761,-0.7352
1762,-0.006688
1763,-0.01317
1764,-1.097
1765,0.2464
1766,-0.05589
1767,0.07899
1768,-0.1749
1769,0.5541
1770,-0.2956
1771,0.9468
1772,0.6089
1773,0.7754
1774,0.4744
1775,-0.1847
1776,0.7716
1777,-0.0263
1778,-0.02746
1779,-0.259
1780,0.02555
1781,0.4982
1782,0.6837
1783,0.3754
1784,0.8216
1785,0.6852
1786,-0.3553
1787,-0.0176
1788,-0.7034
1789,0.4265
1790,-1.026
1791,-0.4008
1792,-0.7573
1793,-0.1705
1794,-0.9979
1795,0.1347
1796,0.4174
1797,-0.9373
1798,0.08094
1799,0.09381
1800,-0.1769
