MDTU,|det-1|^2,1-Re(det),Im(det)
268,0.318634,0.411021,-0.000255788
269,0.325682,0.408475,5.30015e-05
270,0.345524,0.406132,0.000592598
271,0.346245,0.432035,0.000732675
272,0.313336,0.393189,-0.000314638
273,0.330645,0.401931,-0.000254681
274,0.330645,0.401931,-0.000254681
275,0.330645,0.401931,-0.000254681
276,0.330645,0.401931,-0.000254681
277,0.333121,0.389108,-0.000314333
278,0.354094,0.432775,-5.23083e-05
279,0.348702,0.418876,2.10166e-05
280,0.352719,0.416371,0.00023511
281,0.352719,0.416371,0.00023511
282,0.354283,0.40428,-0.000241801
283,0.354283,0.40428,-0.000241801
284,0.350857,0.41095,-0.000147061
285,0.350857,0.41095,-0.000147061
286,0.350857,0.41095,-0.000147061
287,0.356899,0.406419,-0.000524418
288,0.356899,0.406419,-0.000524418
289,0.356899,0.406419,-0.000524418
290,0.378638,0.413762,-5.1375e-05
291,0.369232,0.385902,-0.000146519
292,0.361898,0.379369,-0.000175545
293,0.361898,0.379369,-0.000175545
294,0.38878,0.345034,-4.73132e-05
295,0.403375,0.347017,-7.09254e-05
296,0.37807,0.390527,0.00013163
297,0.37807,0.390527,0.00013163
298,0.37807,0.390527,0.00013163
299,0.367449,0.384574,0.000117796
300,0.367449,0.384574,0.000117796
301,0.367449,0.384574,0.000117796
302,0.380612,0.416537,0.0004126
303,0.380612,0.416537,0.0004126
304,0.365706,0.395653,7.01747e-05
305,0.375853,0.377593,-0.00012731
306,0.375853,0.377593,-0.00012731
307,0.369064,0.384309,-0.000550936
308,0.351727,0.397863,0.000670396
309,0.351727,0.397863,0.000670396
310,0.338833,0.405693,0.000467961
311,0.349049,0.415805,0.000235569
312,0.349049,0.415805,0.000235569
313,0.33921,0.377021,0.000853454
314,0.351728,0.382137,0.000710299
315,0.326475,0.375394,4.93935e-05
316,0.3509,0.397397,0.000435582
317,0.3509,0.397397,0.000435582
318,0.3509,0.397397,0.000435582
319,0.36092,0.413978,0.0004535
320,0.36092,0.413978,0.0004535
321,0.328125,0.403775,-6.49611e-05
322,0.329628,0.386415,-0.000171308
323,0.329628,0.386415,-0.000171308
324,0.329628,0.386415,-0.000171308
325,0.310702,0.365874,-0.000185339
326,0.310702,0.365874,-0.000185339
327,0.310702,0.365874,-0.000185339
328,0.310702,0.365874,-0.000185339
329,0.307799,0.385084,0.000452772
330,0.313821,0.366193,1.73937e-05
331,0.313821,0.366193,1.73936e-05
332,0.304279,0.361629,0.000124386
333,0.304279,0.361629,0.000124386
334,0.303474,0.386782,-0.000363526
335,0.297861,0.33784,-5.83199e-05
336,0.297861,0.33784,-5.83199e-05
337,0.288003,0.37644,0.000154855
338,0.288003,0.37644,0.000154855
339,0.294808,0.353599,0.000145068
340,0.294808,0.353599,0.000145068
341,0.294808,0.353599,0.000145068
342,0.291191,0.366485,0.000507342
343,0.291191,0.366485,0.000507342
344,0.291191,0.366485,0.000507342
345,0.302568,0.400514,-0.000289232
346,0.304967,0.378732,-0.000201087
347,0.302722,0.376395,8.73727e-05
348,0.316728,0.399366,6.66634e-05
349,0.310303,0.383406,0.000145328
350,0.33375,0.40923,-0.000482221
351,0.330798,0.419501,3.94025e-05
352,0.325316,0.411524,0.000480749
353,0.325316,0.411524,0.000480749
354,0.325316,0.411524,0.000480749
