t,walltime
14160,4688
14170,5127
14180,5176
14190,5172
14200,5163
14210,5289
14220,5282
14230,5122
14240,4888
14250,5062
14260,5017
14270,4630
14280,4912
14290,4947
14300,5177
14310,4970
14320,4456
14330,4539
14340,4605
14350,4662
14360,4665
14370,4847
14380,4821
14390,4994
14400,5284
14410,5102
14420,5000
14430,4663
14440,4751
14450,4705
14460,5071
14470,4975
14480,4896
14490,4660
14500,4828
14510,4851
14520,5127
14530,4937
14540,5176
14550,4840
14560,5019
14570,4950
14580,4882
14590,5162
14600,5198
14610,4976
14620,5102
14630,5050
14640,5028
14650,4832
14660,4904
14670,4927
14680,4868
14690,5103
14700,5104
14710,4827
14720,5015
14730,4950
14740,4995
14750,5245
14760,5242
14770,5112
14780,5398
14790,4999
14800,4814
14810,4804
14820,4668
14830,4565
14840,4602
14850,4470
14860,4549
14870,4435
14880,4518
14890,4953
14900,5141
14910,4971
14920,4833
14930,5219
14940,5272
14950,4896
14960,4863
14970,5235
14980,5134
14990,4963
15000,4965
15010,5089
15020,4984
15030,4932
15040,4865
15050,4999
15060,4792
15070,4687
15080,4764
15090,5001
15100,5029
15110,4799
15120,5205
15130,4904
15140,4847
15150,4865
15160,4945
15170,4961
15180,5190
15190,4754
15200,5110
15210,4870
15220,5071
15230,4944
15240,5225
15250,5050
15260,4647
15270,4725
15280,5189
15290,5066
15300,4859
15310,4837
15320,5040
15330,4979
15340,4870
15350,4740
15360,4790
15370,4698
15380,4988
15390,4816
15400,4951
15410,5080
15420,4822
15430,4899
15440,5070
15450,4852
15460,5239
15470,5182
15480,4924
15490,5235
15500,4953
15510,5353
15520,5312
15530,4999
15540,7028
15550,4080
15560,4204
15570,4119
15580,4088
15590,4558
15600,4657
15610,4958
15620,4298
15630,4170
15640,4615
15650,4657
15660,4428
15670,4442
15680,4402
15690,4416
15700,4378
15710,4198
15720,4221
15730,3988
15740,3987
15750,3834
15760,3838
15770,4310
15780,4307
15790,3709
15800,3765
15810,3741
15820,3756
15830,3819
15840,3949
15850,4077
15860,4088
15870,3918
15880,3985
15890,3927
15900,4083
15910,4125
15920,4290
15930,4296
15940,4070
15950,4104
15960,4021
15970,3896
15980,3983
15990,3985
16000,3953
16010,3889
16020,3920
16030,4017
16040,4171
16050,4087
16060,4315
16070,4413
16080,4339
16090,4251
16100,3861
16110,3981
16120,3529
16130,3557
16140,3784
16150,3543
16160,3685
16170,3912
16180,3969
16190,3847
16200,4350
16210,4401
16220,4125
16230,4448
16240,4215
16250,4158
16260,4061
16270,4364
16280,3910
16290,3972
16300,4454
16310,4193
16320,3854
16330,3974
16340,4367
16350,4159
16360,3792
16370,4037
16380,4121
16390,4129
16400,4161
16410,4145
16420,4171
16430,4136
16440,4155
16450,4116
16460,3886
16470,4126
16480,3962
16490,3791
16500,3869
16510,3931
16520,4045
16530,4072
16540,3778
16550,3898
16560,3865
16570,3973
16580,3777
16590,4047
16600,3911
16610,4182
16620,4354
16630,4105
16640,4256
16650,4169
