t,|deltaS|
648,0.4736
649,0.5506
650,0.08696
651,1.298
652,0.1519
653,0.6538
654,0.2647
655,0.2194
656,0.3834
657,0.8107
658,0.3121
659,0.4537
660,0.1585
661,0.9422
662,0.3503
663,0.7247
664,0.4838
665,0.2071
666,0.3277
667,1.372
668,0.2594
669,0.3159
670,0.26
671,0.6732
672,0.3833
673,0.0103
674,0.1975
675,0.236
676,0.1365
677,0.906
678,0.06712
679,0.2814
680,1.116
681,0.09904
682,1.497
683,1.01
684,0.4082
685,0.5076
686,0.3248
687,0.2172
688,0.1854
689,0.08048
690,0.4122
691,0.797
692,0.5356
693,0.01301
694,0.1576
695,0.2981
696,1.575
697,0.8524
698,0.1811
699,0.2945
700,0.1416
701,0.206
702,0.3658
703,0.6777
704,0.7536
705,0.294
706,0.2237
707,0.3815
708,0.2851
709,0.3915
710,1.416
711,0.07321
712,1.733
713,0.8597
714,1.194
715,0.3043
716,1.375
717,0.741
718,0.01072
719,0.6889
720,0.8973
721,0.142
722,0.09486
723,0.0373
724,0.9311
725,0.02548
726,0.5277
727,0.01633
728,0.1223
729,0.6251
730,0.1089
731,0.847
732,0.2701
733,0.2981
734,0.6078
735,0.8329
736,0.6288
737,0.566
738,0.684
739,0.2645
740,0.5337
741,0.2448
742,0.565
743,0.3987
744,0.8721
745,0.2874
746,0.3245
747,0.2521
748,0.2143
749,0.009944
750,0.06514
751,0.106
752,0.8014
753,1.586
754,0.3096
755,0.2872
756,0.05468
757,1.094
758,1.065
759,0.3747
760,1.18
761,0.003476
762,0.198
763,0.2992
764,0.5212
765,0.4604
766,0.07259
767,0.2748
768,0.428
769,0.1111
770,0.7979
771,0.1397
772,0.9839
773,0.6656
774,0.9102
775,0.02465
776,0.003539
777,0.02493
778,0.1306
779,0.2385
780,0.5608
781,0.073
782,1.113
783,0.3016
784,0.1124
785,0.4782
786,1.302
787,0.4753
788,1.043
789,0.4476
790,0.1447
791,0.2869
792,0.2165
793,0.04332
794,0.2056
795,0.1592
796,0.6097
797,1.642
798,0.3641
799,0.09132
800,0.5596
801,0.8527
802,0.1969
803,0.2348
804,0.7182
805,0.3927
806,0.7275
807,0.4429
808,0.4678
809,0.9482
810,0.3799
811,1.661
812,0.4524
813,0.7495
814,0.3982
815,0.09766
816,0.8627
817,0.1161
818,0.675
819,0.3255
820,0.9295
821,0.06843
822,0.4694
823,0.239
824,1.854
825,0.786
826,0.4598
827,0.1086
828,0.2918
829,0.3445
830,0.5858
831,0.12
832,0.66
833,1.018
834,0.3644
835,0.4773
836,0.01717
837,0.6737
838,0.005658
839,0.5129
840,0.1554
841,0.5283
842,0.1855
843,0.04302
844,0.5078
845,1.504
846,0.6584
847,0.5987
848,0.2814
849,0.9964
850,0.2195
851,0.4362
852,0.4446
853,0.6184
854,0.1354
855,0.57
856,0.3873
857,0.6207
858,0.1996
859,0.07253
860,0.2565
861,0.3513
862,0.05188
863,0.4359
864,0.8861
865,0.1401
866,0.1056
867,1.177
868,0.01722
869,0.6574
870,0.8259
871,0.2466
872,0.8939
873,0.1713
874,0.3847
875,0.524
876,0.8611
877,0.7297
878,0.498
879,0.1818
880,1.02
881,1.568
882,0.4313
883,0.4768
884,1.61
885,1.957
886,0.2921
887,1.261
888,0.9352
889,0.9048
890,0.8707
891,0.301
892,2.071
893,0.1875
894,0.9023
895,0.4796
896,0.03062
897,0.1561
898,0.0008809
899,0.768
900,0.06513
901,0.4997
902,1.421
903,1.336
904,1.03
905,1.573
906,0.5573
907,0.8111
908,0.209
909,0.9581
910,0.5286
911,1.284
912,0.01884
913,0.1432
914,0.5529
915,1.43
916,0.2529
917,0.1196
918,0.1001
919,0.5191
920,0.01958
921,0.1148
922,0.2316
923,0.5474
924,0.8072
925,0.852
926,0.9301
927,0.3646
928,0.5061
929,0.01397
930,0.5676
931,0.7712
932,0.2784
933,0.8784
934,0.4171
935,0.2487
936,0.3283
937,0.07251
938,0.08262
939,0.06766
940,0.0112
941,0.07094
942,0.4301
943,1.324
944,1.046
945,0.4055
946,0.0202
947,0.2003
948,0.3441
949,0.5429
950,0.4171
951,0.3491
952,0.05317
953,0.1464
954,0.1815
955,0.9885
956,0.4298
957,0.01255
958,0.2681
959,0.07252
960,0.9132
961,0.06022
962,0.6332
963,0.3236
964,0.2836
965,0.08788
966,0.6776
967,0.914
968,1.39
969,0.5424
970,0.02638
971,0.09099
972,0.2296
973,0.327
974,0.1534
975,0.313
976,0.271
977,0.2056
978,0.351
979,0.4964
980,0.4322
981,0.1729
982,0.5524
983,0.7005
984,0.6104
985,0.9227
986,0.369
987,0.6791
988,1.414
989,0.5107
990,0.7568
991,0.4779
992,0.7405
993,1.481
994,1.343
995,0.5925
996,0.7551
997,0.5114
998,1.24
999,0.6718
1000,0.5542
1001,0.9394
1002,0.101
1003,0.4396
1004,1.202
1005,0.4822
1006,0.3312
1007,0.2196
1008,0.1191
1009,0.107
1010,0.349
1011,0.2475
1012,1.673
1013,0.9531
1014,1.264
1015,1.029
1016,0.5175
1017,0.4779
1018,0.04174
1019,0.5723
1020,0.09983
1021,0.03667
1022,1.458
1023,0.3337
1024,0.04276
1025,0.4121
1026,0.3024
1027,0.6308
1028,0.03773
1029,0.1949
1030,0.0255
1031,0.2086
1032,0.03256
1033,0.1766
1034,0.7762
1035,0.7139
1036,0.3573
1037,0.1549
1038,0.04995
1039,0.6536
1040,0.8065
1041,0.915
1042,0.8865
1043,0.5925
1044,0.4791
1045,0.07132
1046,1.519
1047,0.2565
1048,0.6585
1049,0.6533
1050,0.4089
1051,0.3381
1052,1.451
1053,0.7542
1054,0.06529
1055,1.072
1056,0.02738
1057,0.3271
1058,0.3439
1059,0.3162
1060,0.6754
1061,0.4899
1062,0.6974
1063,0.2331
1064,1.45
1065,0.8231
1066,0.4677
1067,0.6424
1068,0.1121
1069,0.3177
1070,0.3923
1071,0.963
1072,0.5526
1073,0.4109
1074,0.1982
1075,0.0254
1076,0.2545
1077,0.9411
1078,0.5
1079,0.5395
1080,0.1323
1081,0.06734
1082,0.0302
1083,0.02939
1084,0.4899
1085,0.7367
1086,0.4859
1087,0.04676
1088,0.1127
1089,0.2528
1090,0.9099
1091,1.275
1092,0.6191
1093,0.2804
1094,0.2419
1095,0.1771
1096,0.3594
1097,0.3002
1098,1.104
1099,0.9486
1100,0.5794
1101,0.747
1102,0.8957
1103,0.4853
1104,0.8543
1105,0.6195
1106,0.1855
1107,0.46
1108,1.239
1109,0.8993
1110,0.01408
1111,0.04188
1112,0.3007
1113,0.3259
1114,1.302
1115,0.3126
1116,0.4591
1117,0.5268
1118,0.6057
1119,0.2462
1120,0.1589
1121,0.3936
1122,1.204
1123,0.6008
1124,1.246
1125,0.2171
1126,0.9096
1127,0.2131
1128,0.1201
1129,0.07536
1130,0.19
1131,0.08598
1132,0.686
1133,0.9531
1134,0.7581
1135,0.2836
1136,0.6495
1137,0.3983
1138,0.1506
1139,0.211
1140,0.1226
1141,0.08945
1142,1.175
1143,0.2732
1144,0.004814
1145,0.7021
1146,0.3375
1147,0.6392
1148,0.6689
1149,1.097
1150,0.3059
1151,0.1993
1152,0.1911
1153,0.2351
1154,0.007965
1155,0.3038
1156,0.0269
1157,0.2598
1158,0.4429
1159,0.5728
1160,0.1193
1161,0.3579
1162,0.1989
1163,1.226
1164,0.5067
1165,0.35
1166,0.6929
1167,0.6541
1168,0.6058
1169,0.7955
1170,0.3287
1171,0.1637
1172,0.7347
1173,0.5405
1174,0.4892
1175,0.4781
1176,0.019
1177,0.7228
1178,0.4205
1179,0.3804
1180,0.02987
1181,0.06496
1182,0.2583
1183,0.5408
1184,0.5811
1185,0.2848
1186,0.01974
1187,0.853
1188,0.1034
1189,0.6991
1190,0.5544
1191,0.4055
1192,0.1412
1193,0.6852
1194,0.00629
1195,0.401
1196,0.2317
1197,1.069
1198,1.263
1199,0.1891
1200,0.7463
1201,1.846
1202,1.091
1203,1.094
1204,0.259
1205,0.4941
1206,1.047
1207,1.097
1208,0.09017
1209,0.5192
1210,0.5906
1211,0.336
1212,0.8622
1213,0.8013
1214,0.3646
1215,0.6004
1216,0.6295
1217,0.04455
1218,0.5714
1219,1.093
1220,1.037
1221,0.3355
1222,0.6896
1223,0.7005
1224,0.1348
1225,0.1542
1226,0.09186
1227,0.4236
1228,0.4313
1229,0.8517
1230,0.0952
1231,0.3035
1232,0.3453
1233,0.3656
1234,0.01325
1235,0.2989
1236,0.2084
1237,0.09901
1238,0.4381
1239,0.2432
1240,0.151
1241,0.2734
1242,0.3315
1243,0.3521
1244,0.9572
1245,0.9813
1246,0.1552
1247,0.6225
1248,1.027
1249,0.453
1250,0.8835
1251,0.5803
1252,0.5804
1253,0.7029
1254,0.3671
1255,0.5452
1256,0.06279
1257,0.9126
1258,0.1943
1259,0.7687
1260,0.3613
1261,0.1395
1262,0.57
1263,0.3729
1264,0.5108
1265,0.465
1266,0.7374
1267,0.07222
1268,0.1043
1269,0.3528
1270,0.5144
1271,0.017
1272,0.0886
1273,0.5643
1274,0.804
1275,0.9374
1276,1.351
1277,0.09048
1278,0.4385
1279,0.3444
1280,0.6505
1281,0.8574
1282,0.3625
1283,0.2311
1284,0.2939
1285,0.2032
1286,0.4152
1287,0.1387
1288,0.01305
1289,0.1025
1290,0.3047
1291,0.4699
1292,0.2403
1293,0.07314
1294,0.8356
1295,0.001942
1296,0.5517
1297,0.1973
1298,0.6194
1299,1.105
1300,0.9178
1301,1.13
1302,0.8241
1303,1.842
1304,0.4541
1305,0.4158
1306,0.2229
1307,0.2739
1308,0.3789
1309,0.5485
1310,1.355
1311,1.142
1312,0.324
1313,0.3874
1314,0.0166
1315,0.5675
1316,0.3938
1317,1.037
1318,0.9703
1319,0.8588
1320,1.905
1321,1.04
1322,0.6259
1323,0.2069
1324,0.4768
1325,0.5647
1326,1.415
1327,0.3235
1328,0.8728
1329,0.2757
1330,0.2827
1331,0.08327
1332,1.986
1333,0.6805
1334,0.2487
1335,1.523
1336,0.8403
1337,0.338
1338,0.3733
1339,0.1124
1340,1.177
1341,0.4143
1342,0.238
1343,0.6274
1344,1.102
1345,0.8692
1346,0.3013
1347,0.03204
1348,0.4547
1349,0.1152
1350,0.9254
1351,0.8118
1352,0.6009
1353,0.5096
1354,0.1592
1355,0.3156
1356,0.2994
1357,0.6138
1358,0.3776
1359,0.3162
1360,0.2386
1361,0.5634
1362,0.4563
1363,0.3462
1364,0.7671
1365,0.4345
1366,0.2973
1367,0.3347
1368,0.007073
1369,0.8709
1370,0.02646
1371,0.4625
1372,0.7083
1373,0.5749
1374,0.2254
1375,0.5253
1376,0.8807
1377,0.5608
1378,0.1076
1379,0.3042
1380,0.1809
1381,0.5744
1382,0.2481
1383,0.7402
1384,0.4985
1385,0.4495
1386,0.6759
1387,0.04631
1388,0.02686
1389,0.2423
1390,0.1284
1391,0.03909
1392,0.3644
1393,1.022
1394,0.4828
1395,0.1723
1396,0.4038
1397,0.1758
1398,0.1391
1399,0.2307
1400,0.4423
1401,0.02141
1402,0.8754
1403,0.3979
1404,0.4032
1405,0.161
1406,0.2548
1407,0.902
1408,0.03212
1409,0.445
1410,0.3788
1411,0.02124
1412,0.6826
1413,0.4425
1414,0.108
1415,0.8341
1416,0.3232
1417,0.1639
1418,0.53
1419,0.1728
1420,0.1193
1421,0.2494
1422,0.07807
1423,0.7615
1424,0.2076
1425,0.6891
1426,1.502
1427,0.2456
1428,0.525
1429,0.266
1430,0.2819
1431,0.3425
1432,0.3664
1433,0.9187
1434,1.105
1435,0.1627
1436,0.005959
1437,0.07796
1438,0.1543
1439,0.5986
1440,0.07441
1441,0.6323
1442,0.5218
1443,0.6961
1444,0.6733
1445,0.3146
1446,1.253
1447,0.3901
1448,1.548
1449,0.5906
1450,0.3415
1451,0.2
1452,0.896
1453,0.03651
1454,0.04285
1455,0.5183
1456,0.1097
1457,0.3351
1458,0.3096
1459,0.2375
1460,0.5699
1461,0.2292
1462,0.517
1463,0.7297
1464,1.513
1465,0.2177
1466,0.8712
1467,0.169
1468,0.3464
1469,0.6408
1470,0.5274
1471,0.3076
1472,0.346
1473,0.4115
1474,0.2936
1475,0.4769
1476,0.4911
1477,0.1691
1478,0.07938
1479,1.009
1480,0.5707
1481,0.3273
1482,1.183
1483,0.5101
1484,0.5819
1485,0.09771
1486,0.362
1487,0.3089
1488,0.4037
1489,0.9848
1490,1.364
1491,0.7944
1492,0.2914
1493,0.4592
1494,0.6936
1495,0.4937
1496,0.02224
1497,0.0001456
1498,0.9112
1499,0.07598
1500,0.5201
1501,1.135
1502,0.000854
1503,1.134
1504,1.149
1505,0.1692
1506,0.01523
1507,1.645
1508,0.1289
1509,0.07721
1510,0.1715
1511,0.1334
1512,0.576
1513,0.3698
1514,0.1228
1515,0.9061
1516,0.533
1517,0.8236
1518,0.4596
1519,0.3006
1520,0.8667
1521,0.5304
1522,0.222
1523,0.01647
1524,0.04223
1525,0.3997
1526,0.2581
1527,0.8921
1528,1.021
1529,0.4833
1530,0.4468
1531,0.09471
1532,1.109
1533,0.2552
1534,1.207
1535,0.01245
1536,0.5473
1537,0.4678
1538,0.7094
1539,0.8831
1540,0.04749
1541,0.7991
1542,0.9061
1543,1.071
1544,0.4386
1545,0.8504
1546,0.2318
1547,0.282
1548,0.484
1549,0.3361
1550,0.3132
1551,0.7578
1552,0.2966
1553,0.9133
1554,0.004788
1555,0.2376
1556,0.148
1557,1.154
1558,0.5005
1559,0.2501
1560,0.5929
1561,0.2405
1562,1.325
1563,0.7598
1564,0.2101
1565,0.7454
1566,0.4929
1567,0.5021
1568,0.5455
1569,0.5049
1570,0.5255
1571,0.0688
1572,0.7596
1573,0.4246
1574,0.9902
1575,0.7241
1576,0.3225
1577,0.7952
1578,0.134
1579,0.4634
1580,0.7754
1581,1.117
1582,0.3666
1583,0.08269
1584,0.3299
1585,0.5179
1586,0.2209
1587,0.1195
1588,0.6871
1589,0.4297
1590,0.8471
1591,0.2106
1592,0.1498
1593,0.3655
1594,0.52
1595,0.5778
1596,0.5649
1597,0.8172
1598,0.4428
1599,1.137
1600,1.449
1601,0.5901
1602,0.9457
1603,0.1211
1604,0.03852
1605,0.3216
1606,0.4196
1607,0.3456
1608,0.171
1609,0.6107
1610,0.5459
1611,0.552
1612,0.4765
1613,0.9807
1614,0.4984
1615,0.9502
1616,1.839
1617,0.9357
