MDTU,0,2,4,6,8,10
1480,34.9025,29.8011,29.301,29.2971,29.0685,29.0608
1485,35.3107,32.4394,30.6726,29.713,29.5941,29.4892
1490,33.6698,33.5051,30.5584,30.5035,30.1684,29.3009
1495,33.2071,29.7613,29.6437,29.4131,29.194,29.0623
1500,31.4637,31.2981,31.0145,30.6477,29.7646,29.2944
1505,34.5729,33.7788,32.7689,31.3914,30.6832,30.009
1510,39.2453,29.8274,29.2904,29.2532,29.0653,28.8344
1515,37.1165,34.3738,33.2145,30.2758,30.04,29.9373
1520,34.1343,31.5508,31.2131,29.8822,29.1084,29.0684
1525,34.2139,32.3077,31.626,31.2221,30.0709,29.9427
1530,33.9966,32.1191,30.9929,30.6929,30.3068,30.132
1535,32.6385,30.5814,30.2622,29.9971,29.9147,29.9098
1540,31.2034,30.2329,30.0896,29.5567,29.3633,29.0081
1545,32.0284,31.6892,31.597,31.2216,30.3463,30.2332
1550,31.9932,31.2708,30.1336,30.1274,29.2653,29.097
1555,33.9031,33.8919,31.0454,31.0275,30.0345,29.7862
1560,30.1849,29.2824,29.1861,29.0276,28.9267,28.8711
1565,34.7306,31.661,30.5746,30.3772,30.3502,30.1619
1570,32.925,31.1136,30.1991,29.8352,29.6525,29.4078
1575,36.3466,32.3543,31.9168,31.8885,30.6116,30.0141
1580,40.0825,34.299,34.2323,31.9665,31.9634,31.4422
1585,32.9293,32.4895,30.297,30.0206,29.858,29.3087
1590,33.6482,30.7841,30.7126,29.9112,29.6516,29.5409
1595,35.0515,34.8587,32.8846,32.2627,31.2294,30.5178
1600,30.6159,29.909,29.746,29.7446,29.6254,29.3554
1605,33.2104,31.8963,31.7316,31.1297,30.4418,30.4047
1610,30.8959,30.709,30.6243,30.4735,30.0775,29.9642
1615,48.0263,35.6422,31.9005,30.0526,29.9069,29.8146
1620,31.7187,31.4363,30.5393,29.864,29.4908,29.3754
1625,31.7787,30.3158,30.2799,29.9296,28.9948,28.9601
1630,30.627,30.4778,29.8579,29.7631,29.3309,29.0529
1635,35.7573,33.328,31.4838,31.2209,31.0753,31.0546
