ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.72349,null,null,0.742642,null
0.0706403,null,null,null,-0.851625
0.84179,-0.502325,null,null,null
0.938747,null,-0.328128,null,null
0.649317,null,null,0.81551,null
0.00537915,null,null,null,-0.55259
0.84179,-0.502325,null,null,null
0.938747,null,-0.328128,null,null
0.649317,null,null,0.81551,null
0.00537915,null,null,null,-0.55259
0.883345,-0.54342,null,null,null
0.938917,null,-0.347432,null,null
0.715685,null,null,0.76283,null
0.213863,null,null,null,-1.05277
0.894563,-0.518565,null,null,null
0.968555,null,-0.35104,null,null
0.698658,null,null,0.76256,null
0.151678,null,null,null,-0.800303
0.894563,-0.518565,null,null,null
0.968555,null,-0.35104,null,null
0.698658,null,null,0.76256,null
0.151678,null,null,null,-0.800303
0.892057,-0.537968,null,null,null
0.905772,null,-0.309968,null,null
0.7393,null,null,0.74818,null
0.13615,null,null,null,-0.84861
0.892057,-0.537968,null,null,null
0.905772,null,-0.309968,null,null
0.7393,null,null,0.74818,null
0.13615,null,null,null,-0.84861
0.921543,-0.492965,null,null,null
0.928802,null,-0.345973,null,null
0.672068,null,null,0.700385,null
0.101872,null,null,null,-0.88548
0.86352,-0.541122,null,null,null
0.930928,null,-0.35578,null,null
0.640035,null,null,0.692665,null
-0.145362,null,null,null,-0.72186
0.876372,-0.474143,null,null,null
0.970557,null,-0.345778,null,null
0.65996,null,null,0.698348,null
-0.154914,null,null,null,-0.933312
0.890402,-0.493405,null,null,null
0.928623,null,-0.386578,null,null
0.637033,null,null,0.667567,null
0.492432,null,null,null,-0.846333
0.857097,-0.49209,null,null,null
0.88168,null,-0.371978,null,null
0.660455,null,null,0.729903,null
-0.211141,null,null,null,-0.574635
0.874047,-0.464925,null,null,null
0.95296,null,-0.420825,null,null
0.67566,null,null,0.654118,null
0.380543,null,null,null,-0.756245
0.85232,-0.489598,null,null,null
0.946615,null,-0.408365,null,null
0.675092,null,null,0.665095,null
-0.270485,null,null,null,-1.14521
0.85551,-0.488985,null,null,null
0.93451,null,-0.414017,null,null
0.664062,null,null,0.65698,null
0.115349,null,null,null,-1.63588
0.804802,-0.472718,null,null,null
0.916585,null,-0.425638,null,null
0.62457,null,null,0.700497,null
-0.25021,null,null,null,-0.956013
0.876193,-0.456008,null,null,null
0.882862,null,-0.427465,null,null
0.649698,null,null,0.63631,null
-0.069677,null,null,null,-0.973255
0.89801,-0.463593,null,null,null
0.928723,null,-0.410375,null,null
0.653258,null,null,0.676148,null
0.261145,null,null,null,-1.03578
0.921558,-0.475445,null,null,null
0.903613,null,-0.366418,null,null
0.694438,null,null,0.663655,null
0.0790612,null,null,null,-1.58315
0.878857,-0.50503,null,null,null
0.897335,null,-0.402342,null,null
0.683338,null,null,0.697202,null
0.137518,null,null,null,-1.00851
0.856475,-0.49107,null,null,null
0.890092,null,-0.43566,null,null
0.654282,null,null,0.676277,null
-0.0853478,null,null,null,-1.13275
0.928685,-0.491878,null,null,null
0.91435,null,-0.417005,null,null
0.696788,null,null,0.655305,null
0.0453037,null,null,null,-0.87383
0.901005,-0.516225,null,null,null
0.939025,null,-0.43539,null,null
0.671663,null,null,0.642232,null
0.082834,null,null,null,-1.1962
0.8609,-0.43966,null,null,null
0.917822,null,-0.457058,null,null
0.648635,null,null,0.619275,null
-0.129453,null,null,null,-1.18543
0.815203,-0.467495,null,null,null
0.936917,null,-0.3821,null,null
0.721095,null,null,0.584205,null
-0.047609,null,null,null,-0.948773
0.8645,-0.468705,null,null,null
0.946485,null,-0.455713,null,null
0.665885,null,null,0.609648,null
-0.43596,null,null,null,-1.01843
0.80874,-0.514265,null,null,null
0.898127,null,-0.420565,null,null
0.671438,null,null,0.618792,null
0.35647,null,null,null,-0.7823
0.866603,-0.500343,null,null,null
0.90097,null,-0.410992,null,null
0.693187,null,null,0.648267,null
-0.581963,null,null,null,-0.874742
0.833113,-0.552385,null,null,null
0.893675,null,-0.45063,null,null
0.680175,null,null,0.633182,null
-0.310767,null,null,null,-0.657035
0.86154,-0.5364,null,null,null
0.86211,null,-0.48064,null,null
0.672552,null,null,0.613905,null
-0.073456,null,null,null,-1.26429
0.86154,-0.5364,null,null,null
0.86211,null,-0.48064,null,null
0.672552,null,null,0.613905,null
-0.073456,null,null,null,-1.26429
0.86899,-0.568542,null,null,null
0.86275,null,-0.45001,null,null
0.665253,null,null,0.593078,null
-0.161948,null,null,null,-1.25444
0.86899,-0.568542,null,null,null
0.86275,null,-0.45001,null,null
0.665253,null,null,0.593078,null
-0.161948,null,null,null,-1.25444
0.86899,-0.568542,null,null,null
0.86275,null,-0.45001,null,null
0.665253,null,null,0.593078,null
-0.161948,null,null,null,-1.25444
0.86258,-0.600215,null,null,null
0.863583,null,-0.501753,null,null
0.681795,null,null,0.595293,null
0.0883488,null,null,null,-0.859873
0.87117,-0.607017,null,null,null
0.879243,null,-0.445458,null,null
0.683612,null,null,0.58172,null
-0.242253,null,null,null,-0.712738
0.892408,-0.61863,null,null,null
0.86514,null,-0.45833,null,null
0.65477,null,null,0.583523,null
-0.0661988,null,null,null,-0.9466
0.836122,-0.623542,null,null,null
0.850385,null,-0.440733,null,null
0.638112,null,null,0.604302,null
-0.27456,null,null,null,-1.12955
0.845775,-0.631655,null,null,null
0.856315,null,-0.401902,null,null
0.671898,null,null,0.60939,null
0.0616585,null,null,null,-0.638217
0.845775,-0.631655,null,null,null
0.856315,null,-0.401902,null,null
0.671898,null,null,0.60939,null
0.0616585,null,null,null,-0.638217
0.816305,-0.604715,null,null,null
0.903478,null,-0.441055,null,null
0.694298,null,null,0.548758,null
-0.350212,null,null,null,-1.19374
0.79852,-0.575017,null,null,null
0.885555,null,-0.511968,null,null
0.706327,null,null,0.61849,null
-0.240137,null,null,null,-0.836575
0.79852,-0.575017,null,null,null
0.885555,null,-0.511968,null,null
0.706327,null,null,0.61849,null
-0.240137,null,null,null,-0.836575
0.835082,-0.615282,null,null,null
0.849395,null,-0.518312,null,null
0.736237,null,null,0.64324,null
0.0851902,null,null,null,-0.533537
0.82799,-0.583612,null,null,null
0.811695,null,-0.469405,null,null
0.715137,null,null,0.653408,null
-0.0185804,null,null,null,-0.466517
0.841615,-0.641018,null,null,null
0.818545,null,-0.471952,null,null
0.746668,null,null,0.662495,null
-0.178841,null,null,null,-0.675002
0.814442,-0.664752,null,null,null
0.861827,null,-0.476843,null,null
0.725823,null,null,0.681577,null
-0.0849137,null,null,null,-0.650905
0.838627,-0.634898,null,null,null
0.834342,null,-0.406307,null,null
0.690017,null,null,0.648405,null
-0.278037,null,null,null,-0.537922
0.838985,-0.669755,null,null,null
0.829072,null,-0.420945,null,null
0.700407,null,null,0.644243,null
-0.448997,null,null,null,-0.448172
0.831395,-0.645338,null,null,null
0.806863,null,-0.40095,null,null
0.706743,null,null,0.59483,null
0.039317,null,null,null,-0.62972
0.841747,-0.67679,null,null,null
0.783147,null,-0.39377,null,null
0.682943,null,null,0.588917,null
0.117643,null,null,null,-0.694697
0.881698,-0.64747,null,null,null
0.800553,null,-0.3988,null,null
0.679083,null,null,0.605145,null
-0.127879,null,null,null,-0.33116
0.96387,-0.620182,null,null,null
0.781255,null,-0.375117,null,null
