t,eps_f,eps_g
5440,0.04,0.005
5450,0.04,0.005
5460,0.04,0.005
5470,0.04,0.005
5480,0.04,0.005
5490,0.04,0.005
5500,0.04,0.005
5510,0.04,0.005
5520,0.04,0.005
5530,0.04,0.005
5540,0.04,0.005
5550,0.04,0.005
5560,0.04,0.005
5570,0.04,0.005
5580,0.04,0.005
5590,0.04,0.005
5600,0.04,0.005
5610,0.04,0.005
5620,0.04,0.005
5630,0.04,0.005
5640,0.04,0.005
5650,0.04,0.005
5660,0.04,0.005
5670,0.04,0.005
5680,0.04,0.005
5690,0.04,0.005
5700,0.04,0.005
5710,0.04,0.005
5720,0.04,0.005
5730,0.04,0.005
5740,0.04,0.005
5750,0.04,0.005
5760,0.04,0.005
5770,0.04,0.005
5780,0.04,0.005
5790,0.04,0.005
5800,0.04,0.005
5810,0.04,0.005
5820,0.04,0.005
5830,0.04,0.005
5840,0.04,0.005
5850,0.04,0.005
5860,0.04,0.005
5870,0.04,0.005
5880,0.04,0.005
5890,0.04,0.005
5900,0.04,0.005
5910,0.04,0.005
5920,0.04,0.005
5930,0.04,0.005
5940,0.04,0.005
5950,0.04,0.005
5960,0.04,0.005
5970,0.04,0.005
5980,0.04,0.005
5990,0.04,0.005
6000,0.04,0.005
6010,0.04,0.005
6020,0.04,0.005
6030,0.04,0.005
6040,0.04,0.005
6050,0.04,0.005
6060,0.04,0.005
6070,0.04,0.005
6080,0.04,0.005
6090,0.04,0.005
6100,0.04,0.005
6110,0.04,0.005
6120,0.04,0.005
6130,0.04,0.005
6140,0.04,0.005
6150,0.04,0.005
6160,0.04,0.005
6170,0.04,0.005
6180,0.04,0.005
6190,0.04,0.005
6200,0.04,0.005
6210,0.04,0.005
6220,0.04,0.005
6230,0.04,0.005
6240,0.04,0.005
6250,0.04,0.005
6260,0.04,0.005
6270,0.04,0.005
6280,0.04,0.005
6290,0.04,0.005
6300,0.04,0.005
6310,0.04,0.005
6320,0.04,0.005
6330,0.04,0.005
6340,0.04,0.005
6350,0.04,0.005
6360,0.04,0.005
6370,0.04,0.005
6380,0.04,0.005
6390,0.04,0.005
6400,0.04,0.005
6410,0.04,0.005
6420,0.04,0.005
6430,0.04,0.005
6440,0.04,0.005
6450,0.04,0.005
6460,0.04,0.005
6470,0.04,0.005
6480,0.04,0.005
6490,0.04,0.005
6500,0.04,0.005
6510,0.04,0.005
6520,0.04,0.005
6530,0.04,0.005
6540,0.04,0.005
6550,0.04,0.005
6560,0.04,0.005
6570,0.04,0.005
6580,0.04,0.005
6590,0.04,0.005
6600,0.04,0.005
6610,0.04,0.005
6620,0.04,0.005
6630,0.04,0.005
6640,0.04,0.005
6650,0.04,0.005
6660,0.04,0.005
6670,0.04,0.005
6680,0.04,0.005
6690,0.04,0.005
6700,0.04,0.005
6710,0.04,0.005
6720,0.04,0.005
6730,0.04,0.005
6740,0.04,0.005
6750,0.04,0.005
6760,0.04,0.005
6770,0.04,0.005
6780,0.04,0.005
6790,0.04,0.005
6800,0.04,0.005
6810,0.04,0.005
6820,0.04,0.005
6830,0.04,0.005
6840,0.04,0.005
6850,0.04,0.005
6860,0.04,0.005
6870,0.04,0.005
6880,0.04,0.005
6890,0.04,0.005
6900,0.04,0.005
6910,0.04,0.005
6920,0.04,0.005
6930,0.04,0.005
6940,0.04,0.005
6950,0.04,0.005
6960,0.04,0.005
6970,0.04,0.005
6980,0.04,0.005
6990,0.04,0.005
7000,0.04,0.005
7010,0.04,0.005
7020,0.04,0.005
7030,0.04,0.005
7040,0.04,0.005
7050,0.04,0.005
7060,0.04,0.005
7070,0.04,0.005
7080,0.04,0.005
7090,0.04,0.005
7100,0.04,0.005
7110,0.04,0.005
7120,0.04,0.005
7130,0.04,0.005
7140,0.04,0.005
7150,0.04,0.005
7160,0.04,0.005
7170,0.04,0.005
7180,0.04,0.005
7190,0.04,0.005
7200,0.04,0.005
7210,0.04,0.005
7220,0.04,0.005
7230,0.04,0.005
7240,0.04,0.005
7250,0.04,0.005
7260,0.04,0.005
7270,0.04,0.005
7280,0.04,0.005
7290,0.04,0.005
7300,0.04,0.005
7310,0.04,0.005
7320,0.04,0.005
7330,0.04,0.005
7340,0.04,0.005
7350,0.04,0.005
7360,0.04,0.005
7370,0.04,0.005
7380,0.04,0.005
7390,0.04,0.005
7400,0.04,0.005
7410,0.04,0.005
7420,0.04,0.005
7430,0.04,0.005
7440,0.04,0.005
7450,0.04,0.005
7460,0.04,0.005
7470,0.04,0.005
7480,0.04,0.005
7490,0.04,0.005
7500,0.04,0.005
7510,0.04,0.005
7520,0.04,0.005
7530,0.04,0.005
7540,0.04,0.005
7550,0.04,0.005
7560,0.04,0.005
7570,0.04,0.005
7580,0.04,0.005
7590,0.04,0.005
7600,0.04,0.005
7610,0.04,0.005
7620,0.04,0.005
7630,0.04,0.005
7640,0.04,0.005
7650,0.04,0.005
7660,0.04,0.005
7670,0.04,0.005
7680,0.04,0.005
7690,0.04,0.005
7700,0.04,0.005
7710,0.04,0.005
7720,0.04,0.005
7730,0.04,0.005
7740,0.04,0.005
7750,0.04,0.005
7760,0.04,0.005
7770,0.04,0.005
7780,0.04,0.005
7790,0.04,0.005
7800,0.04,0.005
7810,0.04,0.005
7820,0.04,0.005
7830,0.04,0.005
7840,0.04,0.005
7850,0.04,0.005
7860,0.04,0.005
7870,0.04,0.005
7880,0.04,0.005
7890,0.04,0.005
7900,0.04,0.005
7910,0.04,0.005
7920,0.04,0.005
7930,0.04,0.005
7940,0.04,0.005
7950,0.04,0.005
7960,0.04,0.005
7970,0.04,0.005
7980,0.04,0.005
7990,0.04,0.005
8000,0.04,0.005
8010,0.04,0.005
8020,0.04,0.005
8030,0.04,0.005
8040,0.04,0.005
8050,0.04,0.005
8060,0.04,0.005
8070,0.04,0.005
8080,0.04,0.005
8090,0.04,0.005
8100,0.04,0.005
8110,0.04,0.005
8120,0.04,0.005
8130,0.04,0.005
8140,0.04,0.005
8150,0.04,0.005
8160,0.04,0.005
8170,0.04,0.005
8180,0.04,0.005
8190,0.04,0.005
8200,0.04,0.005
8210,0.04,0.005
8220,0.04,0.005
8230,0.04,0.005
8240,0.04,0.005
8250,0.04,0.005
8260,0.04,0.005
8270,0.04,0.005
8280,0.04,0.005
8290,0.04,0.005
8300,0.04,0.005
8310,0.04,0.005
8320,0.04,0.005
8330,0.04,0.005
8340,0.04,0.005
8350,0.04,0.005
8360,0.04,0.005
8370,0.04,0.005
8380,0.04,0.005
8390,0.04,0.005
8400,0.04,0.005
8410,0.04,0.005
8420,0.04,0.005
8430,0.04,0.005
8440,0.04,0.005
8450,0.04,0.005
8460,0.04,0.005
8470,0.04,0.005
8480,0.04,0.005
8490,0.04,0.005
8500,0.04,0.005
8510,0.04,0.005
8520,0.04,0.005
8530,0.04,0.005
8540,0.04,0.005
8550,0.04,0.005
8560,0.04,0.005
8570,0.04,0.005
8580,0.04,0.005
8590,0.04,0.005
8600,0.04,0.005
8610,0.04,0.005
8620,0.04,0.005
8630,0.04,0.005
8640,0.04,0.005
8650,0.04,0.005
8660,0.04,0.005
8670,0.04,0.005
8680,0.04,0.005
8690,0.04,0.005
8700,0.04,0.005
8710,0.04,0.005
8720,0.04,0.005
8730,0.04,0.005
8740,0.04,0.005
8750,0.04,0.005
8760,0.04,0.005
8770,0.04,0.005
8780,0.04,0.005
8790,0.04,0.005
8800,0.04,0.005
8810,0.04,0.005
8820,0.04,0.005
8830,0.04,0.005
8840,0.04,0.005
8850,0.04,0.005
8860,0.04,0.005
8870,0.04,0.005
8880,0.04,0.005
8890,0.04,0.005
8900,0.04,0.005
8910,0.04,0.005
8920,0.04,0.005
8930,0.04,0.005
8940,0.04,0.005
8950,0.04,0.005
8960,0.04,0.005
8970,0.04,0.005
8980,0.04,0.005
8990,0.04,0.005
9000,0.04,0.005
9010,0.04,0.005
9020,0.04,0.005
9030,0.04,0.005
9040,0.04,0.005
9050,0.04,0.005
9060,0.04,0.005
9070,0.04,0.005
9080,0.04,0.005
9090,0.04,0.005
9100,0.04,0.005
