ReTr(L),ImTr(L)
0.97995,-1.01454
0.981855,-0.25512
1.03214,-1.03484
1.07898,-0.594311
1.23083,-0.56117
0.925649,-0.886061
1.06945,-0.757882
0.958098,-0.682152
0.827032,-1.14257
1.0966,-1.02062
1.04328,-0.51341
1.04328,-0.51341
0.821971,-0.655114
1.20583,-0.575544
1.20583,-0.575544
1.20583,-0.575544
1.34036,-0.414881
1.05628,-0.563555
1.51808,-0.859502
1.48709,-0.472942
0.793715,-0.63978
0.793715,-0.63978
0.94379,-0.563949
1.1011,-0.637561
1.13367,-0.813979
1.13367,-0.813979
1.41118,-0.703394
0.563518,-0.364671
0.831556,-0.53585
0.831556,-0.53585
0.663935,-0.382605
0.865957,-0.429018
0.704826,-0.318728
0.704826,-0.318728
0.704826,-0.318728
0.704826,-0.318728
1.00992,-0.490453
1.02942,-0.418896
1.29555,-0.184339
1.48838,-0.167209
1.0798,-0.31573
1.23409,-0.601487
1.07477,-0.583327
1.58989,-0.0874846
1.58989,-0.0874846
1.56098,-0.677021
1.66653,-0.533361
1.40454,-0.559701
1.40454,-0.559701
1.40454,-0.559701
1.09997,-0.571716
1.28624,-0.787015
1.4587,-0.469383
1.62803,-0.628077
1.27284,-0.206593
1.76823,-0.594379
1.04745,-0.814449
1.05557,-0.679816
1.05557,-0.679816
1.05557,-0.679816
1.05557,-0.679816
1.05557,-0.679816
1.76127,-0.840927
1.57491,-0.829062
1.61263,-0.25936
1.42071,-0.353059
1.33521,-0.479221
1.33521,-0.479221
1.21232,-0.893734
1.51093,-0.128723
1.14964,-0.562573
1.14964,-0.562573
1.04947,-0.282615
1.50823,-0.290153
1.13671,-0.146929
0.974914,-0.531831
0.813814,-0.482405
1.08016,-0.0123584
1.45806,-0.563104
1.04981,-0.500175
1.43426,0.224641
1.43426,0.224641
1.43426,0.224641
1.82035,-0.621063
0.862396,-0.728736
0.862396,-0.728736
0.862396,-0.728736
1.39798,-0.374348
1.68009,-0.424517
1.97836,-0.945491
1.97836,-0.945491
2.09794,-0.268391
1.6307,-0.37251
1.20574,-0.290055
1.20574,-0.290055
1.66915,0.130455
1.66915,0.130455
1.66915,0.130455
1.76929,-0.217837
1.79235,0.0230274
1.79235,0.0230274
1.79235,0.0230274
1.69571,-0.230625
1.49948,-0.0596803
1.49948,-0.0596803
1.91763,-0.809096
1.81532,-0.319394
1.75184,-0.146613
1.58118,-0.310322
1.58118,-0.310322
1.17066,-0.27508
1.17066,-0.27508
1.21969,0.189855
1.21969,0.189855
1.51429,-0.441418
1.56816,0.029293
1.09085,-0.418836
1.27243,-0.471421
1.7417,-0.55352
1.7417,-0.55352
1.43063,0.168602
1.43063,0.168602
0.887503,-0.499318
0.887503,-0.499318
1.15847,-0.23482
1.47522,-0.627731
1.16504,-0.486801
1.068,0.06059
1.54406,-0.114536
1.21999,-0.234555
1.08969,-0.099875
1.42318,0.104396
1.38684,-0.124593
1.09078,-0.208679
1.13477,-0.113558
1.14694,-0.122018
0.90462,0.000501267
1.03249,0.114228
1.03249,0.114228
1.07568,0.23648
0.628571,0.470527
1.24094,0.252532
1.24094,0.252532
1.07015,-0.0379732
0.907862,0.0794311
0.739909,0.189859
1.52559,-0.278743
1.21247,0.0738643
1.13097,-0.0969335
1.15084,0.112084
0.959968,0.406387
0.985561,0.00324921
0.985561,0.00324921
0.95075,-0.0406707
0.95075,-0.0406707
0.95075,-0.0406707
0.915827,-0.155006
1.2982,-0.15447
1.2982,-0.15447
1.2982,-0.15447
1.00513,-0.0902795
1.44144,-0.184107
1.40605,-0.0177291
1.08591,-0.12814
0.971278,0.366051
0.971278,0.366051
0.724845,0.478822
0.896718,0.0324493
0.947155,0.346461
0.894106,0.23608
0.752474,0.529791
0.768622,-0.0553061
1.4308,0.0461955
1.09613,0.0836388
0.712727,0.441897
0.498294,0.212624
0.498294,0.212624
0.870322,-0.123657
0.584267,0.268736
0.879959,0.594426
0.648686,0.546106
0.771529,-0.0533604
0.923797,0.506187
0.857142,0.0130091
0.724887,0.3917
0.833689,0.57533
0.519931,0.284937
0.519931,0.284937
0.874123,0.0845384
0.874123,0.0845384
0.874123,0.0845384
0.950963,0.192111
0.75137,0.310695
0.75137,0.310695
0.75137,0.310695
0.75137,0.310695
0.986659,0.425253
0.986659,0.425253
0.986659,0.425253
0.986659,0.425253
0.796151,0.0943493
0.779542,0.630211
0.604266,-0.000708941
0.604266,-0.000708941
0.604266,-0.000708931
0.977692,0.15731
1.03238,0.180696
0.706823,0.55362
0.706823,0.55362
0.731567,0.349384
1.21519,0.164612
1.19159,0.462241
1.05547,0.383189
0.73623,0.409314
1.43618,0.556987
1.04354,-0.273101
0.83463,0.464106
0.814263,0.370338
0.768852,-0.267741
0.724821,-0.163689
0.943004,0.235945
1.00346,0.431203
0.587693,0.153215
1.367,0.621444
0.885444,0.395096
0.981222,0.404213
0.507988,0.433715
1.06564,0.233375
0.70972,0.158181
0.70972,0.158181
1.02509,0.339795
0.828099,0.548318
0.900995,0.39155
0.915363,0.287533
0.915363,0.287533
0.958844,-0.239752
0.616184,0.479439
0.950536,0.688977
0.950536,0.688977
0.950536,0.688977
0.987939,0.333168
0.65129,0.461231
0.760571,0.211501
0.822089,-0.118254
0.679317,0.648744
0.711605,0.368199
0.757791,0.257028
0.757791,0.257028
0.757791,0.257028
0.476681,0.231553
1.08722,0.161746
0.965813,0.417008
0.326519,0.419728
0.576116,0.689139
0.702179,0.782167
0.482378,-0.00299277
0.729741,0.553176
0.755907,0.504754
0.58086,0.531025
0.695173,0.633275
0.10323,0.617125
0.669799,0.0627632
0.669799,0.0627632
0.632943,0.222466
0.483846,0.410346
0.670512,0.106038
0.616693,0.227074
0.763466,0.386904
0.824207,0.340274
0.352904,0.203171
0.470427,0.313983
0.35962,0.303002
0.316712,0.44653
-0.116503,0.300895
0.0751969,0.13964
0.0872547,-0.171017
0.514547,0.261993
0.354824,0.739087
0.361933,0.0647614
0.361933,0.0647614
0.361933,0.0647614
0.236471,-0.0359777
0.236471,-0.0359777
0.610399,0.409679
0.475741,0.342974
0.391835,0.564728
0.6772,0.404264
0.424486,0.206414
0.424486,0.206414
0.715822,0.343071
0.522964,0.440203
0.721852,0.096745
0.675256,0.340694
0.306888,0.0717084
0.349534,0.479373
0.60753,0.192806
0.735952,0.418512
0.735952,0.418512
0.728346,0.234372
0.382407,0.584288
0.861233,0.380596
0.261135,0.35013
0.676406,0.104919
0.721068,0.0598032
0.53153,0.281321
0.689702,0.694946
0.366863,0.432131
0.664615,0.466926
0.743021,0.456895
0.923389,0.426166
0.88222,-0.0116623
0.377953,0.0239083
0.377953,0.0239083
0.655552,0.11151
0.677153,0.461092
0.586896,0.429811
0.613108,0.151932
0.613108,0.151932
0.486681,0.779171
0.866002,0.318714
0.58451,0.42118
0.735059,0.344656
0.768338,0.624434
0.944956,0.442435
0.751745,0.142883
0.560327,0.145122
0.56739,0.463028
0.707603,0.272522
0.707603,0.272522
0.707603,0.272522
0.707603,0.272522
0.72902,0.16283
0.819709,0.305402
0.673448,0.123697
0.724187,0.0711564
0.78435,0.241863
0.69643,0.395927
0.847406,0.129066
0.657958,0.36126
0.802965,0.703965
0.802965,0.703965
0.640263,0.257852
0.479864,0.242089
0.507257,0.0345363
0.535184,0.428256
0.535184,0.428256
0.776841,0.331624
0.924686,0.29101
0.924686,0.29101
0.727608,0.454786
0.727608,0.454786
0.727608,0.454786
0.656711,0.298084
0.656711,0.298084
0.523963,0.378093
0.735969,0.641636
0.870807,0.168684
0.561805,0.452083
0.904147,0.337505
0.910285,0.252915
0.85206,0.230229
0.762349,0.132969
0.618726,0.0626032
0.618726,0.0626032
0.562407,-0.00243174
0.868108,0.235111
0.525622,0.32061
0.525622,0.32061
0.603722,0.178011
0.422251,0.0687945
0.422251,0.0687945
0.730948,0.193483
0.755339,-0.0367538
0.654546,0.390716
0.654546,0.390716
0.938495,0.023018
0.680316,0.327419
0.792144,-0.0797381
0.730501,0.10349
0.730501,0.10349
0.536134,0.130561
0.499153,0.293276
0.566236,0.120079
0.566236,0.120079
0.56904,0.268317
0.56904,0.268317
0.39096,0.273712
0.659681,0.288198
0.487979,0.0804632
0.487979,0.0804632
0.491694,0.20932
0.491694,0.20932
0.925114,0.238316
0.777166,0.365367
0.382031,0.259754
0.532875,0.237046
0.532875,0.237046
0.532875,0.237046
0.532875,0.237046
0.337587,0.469828
0.337587,0.469828
0.337587,0.469828
0.579614,0.444625
0.38378,0.308072
0.740189,0.307423
0.603804,0.460066
0.603804,0.460066
0.603804,0.460066
0.871956,0.330376
0.496196,0.403563
0.259922,0.494365
0.454634,0.585645
1.03732,0.390631
0.485008,0.120177
0.403907,0.161864
0.577218,0.579958
0.577218,0.579958
0.596607,0.311856
0.278861,0.339618
0.278861,0.339618
0.525377,0.198653
0.786503,0.128575
0.441279,0.160964
0.448704,0.362553
0.543841,0.345442
0.543841,0.345442
0.822839,0.41172
0.822839,0.41172
0.822839,0.41172
0.63342,0.336429
0.63342,0.336429
0.427782,0.375074
0.733789,0.405483
0.733789,0.405483
0.504295,0.735972
0.504295,0.735972
0.735117,0.303328
0.735117,0.303328
0.616502,0.230765
0.532507,0.421495
0.568188,0.239032
0.568188,0.239032
0.572962,0.0714131
0.760568,0.300372
0.423787,0.443971
0.423787,0.443971
0.423787,0.443971
0.552212,0.164075
0.584256,0.478632
0.790435,0.255524
0.819493,0.418959
0.29608,0.426423
0.852917,0.0796786
0.406197,0.0797399
0.177467,0.456693
0.599392,0.321502
0.8732,0.195693
0.8732,0.195693
1.20843,0.159303
0.845333,0.358866
0.695176,0.239467
0.653198,0.00574326
0.653198,0.00574326
1.17486,-0.135758
0.98676,0.141312
0.823007,0.363767
0.878509,0.375757
0.878509,0.375757
0.803547,0.293098
0.570744,0.346286
0.682546,0.0683177
0.635515,0.349578
1.01382,0.261146
1.33198,0.545387
0.9022,0.0647148
1.10579,0.430933
1.009,0.293714
0.746744,0.478739
0.746744,0.478739
0.74182,0.708887
0.912567,0.582034
0.652004,0.584703
0.962731,0.715922
0.56639,0.934132
1.08271,0.554331
0.931018,0.65503
0.795285,0.246364
0.454064,0.481385
0.454064,0.481385
0.914323,0.378298
0.75956,0.5271
0.785449,0.168871
0.82003,0.246783
0.618863,0.497018
0.618863,0.497018
0.59642,0.507745
0.497776,0.593422
0.384991,0.57643
0.302207,0.534155
0.650787,0.512351
0.790192,0.446931
0.632454,0.234601
0.632454,0.234601
0.55172,0.502293
0.645295,0.541101
0.59731,0.378529
0.474334,0.521286
0.548661,0.153331
0.215422,0.285184
0.329384,0.104669
0.509961,0.116766
0.509961,0.116766
0.398433,-0.0855229
0.609891,0.290452
0.609891,0.290452
0.609891,0.290452
0.380405,0.252615
0.383095,0.0529385
0.427271,0.0572324
0.338361,-0.189395
0.547547,0.043008
0.547547,0.043008
0.650353,-0.0874391
0.697141,0.165001
0.29263,0.301098
0.685756,0.176205
0.387484,0.236413
0.808275,0.102516
0.51441,-0.0464405
0.381036,0.080093
0.305083,-0.0948235
0.623876,0.154149
0.770521,-0.103961
0.649046,0.371182
0.581566,0.0886341
0.687261,0.113682
0.44582,0.366094
0.739093,0.365086
0.736348,0.322445
0.498344,0.268617
0.498344,0.268617
0.471973,0.523664
0.471973,0.523664
0.551883,0.0877796
0.392711,0.286139
0.390885,0.236984
0.466463,0.138904
0.460287,0.153816
0.460287,0.153816
0.453113,0.0703547
0.866564,0.200315
0.551966,0.380767
0.551966,0.380767
0.524588,0.414268
0.524588,0.414268
0.635306,0.289333
0.778311,0.375443
0.778311,0.375443
0.778311,0.375443
0.778311,0.375443
0.499556,0.271637
0.768551,0.344868
0.943468,0.521504
0.725042,0.223118
0.485303,0.330105
0.478467,0.567064
0.480233,0.0556126
0.254844,0.245921
0.555607,0.449069
0.562878,0.0144323
0.562878,0.0144323
0.509681,0.0953457
0.14301,0.0664574
0.540192,0.186788
0.514122,0.194968
0.514122,0.194968
0.514122,0.194968
0.142789,0.413443
0.453835,0.127101
0.561773,0.287522
0.439267,0.245112
0.564556,0.0517086
0.389284,0.100837
0.389284,0.100837
0.264288,0.431992
0.361583,0.131723
0.471331,0.0646329
0.647578,0.127531
0.368256,0.452348
0.368256,0.452348
0.368256,0.452348
0.465405,0.089969
0.177211,0.216459
0.661245,0.0928492
0.457836,0.0760889
0.644166,0.304207
0.406478,0.241629
0.406478,0.241629
0.406478,0.241629
0.475677,0.496955
0.360264,0.175711
0.740017,0.44816
0.412665,0.182553
0.412665,0.182553
0.402475,-0.0116052
0.402475,-0.0116052
0.402475,-0.0116052
0.402475,-0.0116052
0.6389,0.418563
0.6389,0.418563
0.666333,-0.0916242
0.51681,0.235143
0.321301,0.252882
0.70211,0.509597
0.465732,0.273729
0.395804,-0.0275181
0.451254,0.0633016
0.451254,0.0633016
0.542988,0.269271
0.604356,-0.0985549
0.398852,0.207504
0.266271,0.256824
0.266271,0.256824
0.359315,0.163118
0.444168,-0.171097
0.444168,-0.171097
0.577315,0.15024
0.482048,0.234553
0.482048,0.234553
0.55898,0.294816
0.55898,0.294816
0.598771,0.311764
0.733411,0.379261
0.524701,0.453762
0.573196,0.238343
0.573196,0.238343
0.642653,0.0202191
