t,N_f,N_g
9350,25,200
9360,25,200
9370,25,200
9380,25,200
9390,25,200
9400,25,200
9410,25,200
9420,25,200
9430,25,200
9440,25,200
9450,25,200
9460,25,200
9470,25,200
9480,25,200
9490,25,200
9500,25,200
9510,25,200
9520,25,200
9530,25,200
9540,25,200
9550,25,200
9560,25,200
9570,25,200
9580,25,200
9590,25,200
9600,25,200
9610,25,200
9620,25,200
9630,25,200
9640,25,200
9650,25,200
9660,25,200
9670,25,200
9680,25,200
9690,25,200
9700,25,200
9710,25,200
9720,25,200
9730,25,200
9740,25,200
9750,25,200
9760,25,200
9770,25,200
9780,25,200
9790,25,200
9800,25,200
9810,25,200
9820,25,200
9830,25,200
9840,25,200
9850,25,200
9860,25,200
9870,25,200
9880,25,200
9890,25,200
9900,25,200
9910,25,200
9920,25,200
9930,25,200
9940,25,200
9950,25,200
9960,25,200
9970,25,200
9980,25,200
9990,25,200
10000,25,200
10010,25,200
10020,25,200
10030,25,200
10040,25,200
10050,25,200
10060,25,200
10070,25,200
10080,25,200
10090,25,200
10100,25,200
10110,25,200
10120,25,200
10130,25,200
10140,25,200
10150,25,200
10160,25,200
10170,25,200
10180,25,200
10190,25,200
10200,25,200
10210,25,200
10220,25,200
10230,25,200
10240,25,200
10250,25,200
10260,25,200
10270,25,200
10280,25,200
10290,25,200
10300,25,200
10310,25,200
10320,25,200
10330,25,200
10340,25,200
10350,25,200
10360,25,200
10370,25,200
10380,25,200
10390,25,200
10400,25,200
10410,25,200
10420,25,200
10430,25,200
10440,25,200
10450,25,200
10460,25,200
10470,25,200
10480,25,200
10490,25,200
10500,25,200
10510,25,200
10520,25,200
10530,25,200
10540,25,200
10550,25,200
10560,25,200
10570,25,200
10580,25,200
10590,25,200
10600,25,200
10610,25,200
10620,25,200
10630,25,200
10640,25,200
10650,25,200
10660,25,200
10670,25,200
10680,25,200
10690,25,200
10700,25,200
10710,25,200
10720,25,200
10730,25,200
10740,25,200
10750,25,200
10760,25,200
10770,25,200
10780,25,200
10790,25,200
10800,25,200
10810,25,200
10820,25,200
10830,25,200
10840,25,200
10850,25,200
10860,25,200
10870,25,200
10880,25,200
10890,25,200
10900,25,200
10910,25,200
10920,25,200
10930,25,200
10940,25,200
10950,25,200
10960,25,200
10970,25,200
10980,25,200
10990,25,200
11000,25,200
11010,25,200
11020,25,200
11030,25,200
11040,25,200
11050,25,200
11060,25,200
11070,25,200
11080,25,200
11090,25,200
11100,25,200
11110,25,200
11120,25,200
11130,25,200
11140,25,200
11150,25,200
11160,25,200
11170,25,200
11180,25,200
11190,25,200
11200,25,200
11210,25,200
11220,25,200
11230,25,200
11240,25,200
11250,25,200
11260,25,200
11270,25,200
11280,25,200
11290,25,200
11300,25,200
11310,25,200
11320,25,200
11330,25,200
11340,25,200
11350,25,200
11360,25,200
11370,25,200
11380,25,200
11390,25,200
11400,25,200
11410,25,200
11420,25,200
11430,25,200
11440,25,200
11450,25,200
11460,25,200
11470,25,200
11480,25,200
11490,25,200
11500,25,200
11510,25,200
11520,25,200
11530,25,200
11540,25,200
11550,25,200
11560,25,200
11570,25,200
11580,25,200
11590,25,200
11600,25,200
11610,25,200
11620,25,200
11630,25,200
11640,25,200
11650,25,200
11660,25,200
11670,25,200
11680,25,200
11690,25,200
11700,25,200
11710,25,200
11720,25,200
11730,25,200
11740,25,200
11750,25,200
11760,25,200
11770,25,200
11780,25,200
11790,25,200
11800,25,200
11810,25,200
11820,25,200
11830,25,200
11840,25,200
11850,25,200
11860,25,200
11870,25,200
11880,25,200
11890,25,200
11900,25,200
11910,25,200
11920,25,200
11930,25,200
11940,25,200
11950,25,200
11960,25,200
11970,25,200
11980,25,200
11990,25,200
12000,25,200
12010,25,200
12020,25,200
12030,25,200
12040,25,200
12050,25,200
12060,25,200
12070,25,200
12080,25,200
12090,25,200
12100,25,200
12110,25,200
12120,25,200
12130,25,200
12140,25,200
12150,25,200
12160,25,200
12170,25,200
12180,25,200
12190,25,200
12200,25,200
12210,25,200
12220,25,200
12230,25,200
12240,25,200
12250,25,200
12260,25,200
12270,25,200
12280,25,200
12290,25,200
12300,25,200
12310,25,200
12320,25,200
12330,25,200
12340,25,200
12350,25,200
12360,25,200
12370,25,200
12380,25,200
12390,25,200
12400,25,200
12410,25,200
12420,25,200
12430,25,200
12440,25,200
12450,25,200
12460,25,200
12470,25,200
12480,25,200
12490,25,200
12500,25,200
12510,25,200
12520,25,200
12530,25,200
12540,25,200
12550,25,200
12560,25,200
12570,25,200
12580,25,200
12590,25,200
12600,25,200
12610,25,200
12620,25,200
12630,25,200
12640,25,200
12650,25,200
12660,25,200
12670,25,200
12680,25,200
12690,25,200
12700,25,200
12710,25,200
12720,25,200
12730,25,200
12740,25,200
12750,25,200
12760,25,200
12770,25,200
12780,25,200
12790,25,200
12800,25,200
12810,25,200
12820,25,200
12830,25,200
12840,25,200
12850,25,200
12860,25,200
12870,25,200
12880,25,200
12890,25,200
12900,25,200
12910,25,200
12920,25,200
12930,25,200
12940,25,200
12950,25,200
12960,25,200
12970,25,200
12980,25,200
12990,25,200
13000,25,200
13010,25,200
13020,25,200
13030,25,200
13040,25,200
13050,25,200
13060,25,200
13070,25,200
13080,25,200
13090,25,200
13100,25,200
13110,25,200
13120,25,200
13130,25,200
13140,25,200
13150,25,200
13160,25,200
13170,25,200
13180,25,200
13190,25,200
13200,25,200
13210,25,200
13220,25,200
13230,25,200
13240,25,200
13250,25,200
13260,25,200
13270,25,200
13280,25,200
13290,25,200
13300,25,200
13310,25,200
13320,25,200
13330,25,200
13340,25,200
13350,25,200
13360,25,200
13370,25,200
13380,25,200
13390,25,200
13400,25,200
13410,25,200
13420,25,200
13430,25,200
13440,25,200
13450,25,200
13460,25,200
13470,25,200
13480,25,200
13490,25,200
13500,25,200
13510,25,200
13520,25,200
13530,25,200
13540,25,200
13550,25,200
13560,25,200
13570,25,200
13580,25,200
13590,25,200
13600,25,200
13610,25,200
13620,25,200
13630,25,200
13640,25,200
13650,25,200
13660,25,200
13670,25,200
13680,25,200
13690,25,200
13700,25,200
13710,25,200
13720,25,200
13730,25,200
13740,25,200
13750,25,200
13760,25,200
13770,25,200
13780,25,200
13790,25,200
13800,25,200
13810,25,200
13820,25,200
13830,25,200
13840,25,200
13850,25,200
13860,25,200
13870,25,200
13880,25,200
13890,25,200
13900,25,200
13910,25,200
13920,25,200
13930,25,200
13940,25,200
13950,25,200
13960,25,200
13970,25,200
13980,25,200
13990,25,200
14000,25,200
14010,25,200
14020,25,200
14030,25,200
14040,25,200
14050,25,200
14060,25,200
14070,25,200
14080,25,200
14090,25,200
14100,25,200
14110,25,200
14120,25,200
14130,25,200
14140,25,200
14150,25,200
14160,25,200
14170,25,200
14180,25,200
14190,25,200
