t,e^(-dS)
776,1.00355
777,0.975378
778,1.13951
779,0.787809
780,0.570752
781,0.929601
782,3.04348
783,1.35202
784,1.11896
785,0.619898
786,0.271987
787,1.6085
788,0.352396
789,0.63916
790,1.15569
791,1.33229
792,0.805333
793,0.957605
794,1.22826
795,1.17257
796,0.543514
797,5.16549
798,0.694822
799,1.09562
800,0.571438
801,2.34597
802,0.821273
803,1.26466
804,0.487629
805,1.48097
806,0.483115
807,0.642171
808,0.626379
809,0.387438
810,0.68393
811,5.26457
812,0.6361
813,2.11594
814,0.671528
815,1.10259
816,0.422021
817,1.12311
818,0.509156
819,1.38472
820,0.394751
821,0.933859
822,1.59903
823,1.26998
824,0.156609
825,0.455664
826,1.58376
827,1.11472
828,1.33884
829,1.41128
830,1.79643
831,0.88692
832,0.516851
833,2.76765
834,0.694613
835,0.620456
836,1.01732
837,0.509819
838,0.994358
839,0.598757
840,1.16813
841,0.589606
842,0.830689
843,0.957892
844,0.601818
845,4.49965
846,1.9317
847,0.549526
848,0.754726
849,0.369206
850,1.24545
851,0.646488
852,0.641081
853,1.85596
854,1.14499
855,0.565525
856,0.678887
857,1.86023
858,1.22091
859,1.07523
860,1.2924
861,0.703773
862,0.949443
863,0.646682
864,2.42565
865,0.869271
866,0.899784
867,3.24463
868,0.982927
869,0.518197
870,0.437841
871,1.27967
872,0.409057
873,1.18685
874,1.46917
875,0.592147
876,0.422697
877,2.07446
878,0.607745
879,1.19937
880,2.77319
881,0.208462
882,0.649664
883,0.620767
884,5.00281
885,0.141282
886,0.746694
887,0.283371
888,0.392507
889,0.404623
890,0.418658
891,0.740078
892,0.12606
893,0.829029
894,0.405636
895,0.619031
896,0.969844
897,1.16894
898,0.999119
899,0.46394
900,1.0673
901,0.606713
902,0.241472
903,0.262895
904,0.357007
905,4.82109
906,0.572753
907,0.444369
908,1.23244
909,2.60674
910,0.58943
911,0.276927
912,1.01902
913,0.866581
914,0.575279
915,4.1787
916,0.776546
917,1.12705
918,1.10528
919,1.68051
920,0.98061
921,0.891544
922,1.26062
923,0.578452
924,2.24162
925,0.426561
926,0.394514
