ReTr(L),ImTr(L)
0.048228,-0.0229839
0.0467788,-0.0228577
0.0517673,-0.0267607
0.04963,-0.0243178
0.056444,-0.02034
0.056444,-0.02034
0.054482,-0.0181007
0.0477415,-0.016505
0.0477415,-0.016505
0.0477415,-0.016505
0.053899,-0.0103978
0.0576615,-0.0139923
0.0599558,-0.0129718
0.058659,-0.0133145
0.0592758,-0.0121104
0.0592758,-0.0121104
0.0567117,-0.0129913
0.0573647,-0.0162037
0.0554962,-0.010367
0.0554962,-0.010367
0.0599543,-0.017208
0.055889,-0.00856128
0.056224,-0.008863
0.056224,-0.008863
0.0592878,-0.00687188
0.0565075,-0.00482205
0.0548187,-0.00278972
0.0548187,-0.00278972
0.0548187,-0.00278972
0.0548187,-0.00278972
0.0595545,-0.0068223
0.0549015,-0.0052339
0.0530212,-0.00565537
0.0580135,-0.0037948
0.0544427,-0.0109514
0.0598817,-0.0072811
0.0532058,-0.0131767
0.0641265,-0.0102737
0.0641265,-0.0102737
0.0580688,-0.0134047
0.0604345,-0.0142354
0.0596228,-0.0084074
0.0596228,-0.0084074
0.0596228,-0.0084074
0.0625322,-0.0159352
0.0690282,-0.0113636
0.0709017,-0.018915
0.0669607,-0.0153602
0.0593067,-0.0141972
0.0590455,-0.0164824
0.0574815,-0.0147461
0.0645638,-0.0175695
0.0645638,-0.0175695
0.0645638,-0.0175695
0.0645638,-0.0175695
0.0645638,-0.0175695
0.0603117,-0.0200308
0.0612422,-0.0201136
0.063546,-0.0196209
0.0651545,-0.0268938
0.060157,-0.0196133
0.060157,-0.0196133
0.059524,-0.0162649
0.0637575,-0.0149135
0.0529172,-0.0113957
0.0529172,-0.0113957
0.060613,-0.0115657
0.0616845,-0.0113669
0.057436,-0.0154062
0.056598,-0.0081334
0.0616765,-0.0114294
0.0588313,-0.00978027
0.0657883,-0.0101731
0.0582605,-0.0143527
0.0666242,-0.0130271
0.0666242,-0.0130271
0.0666242,-0.0130271
0.0581665,-0.00926247
0.0660857,-0.0138159
0.0660857,-0.0138159
0.0660857,-0.0138159
0.067125,-0.0177145
0.0643975,-0.00865323
0.070024,-0.0067743
0.070024,-0.0067743
0.06343,-0.00657598
0.0637957,-0.00944582
0.0692658,-0.0062206
0.0692658,-0.0062206
0.0636733,-0.00376607
0.0636733,-0.00376607
0.0636733,-0.00376607
0.0635385,-0.00325508
0.0670277,-0.00326485
0.0670277,-0.00326485
0.0670277,-0.00326485
0.066648,-0.000552197
0.0603035,-0.00207783
0.0603035,-0.00207783
0.0673808,-0.0066479
0.0625693,-0.00715752
0.0614992,-0.00494777
0.06841,-0.0046181
0.06841,-0.0046181
0.06048,-0.00830957
0.06048,-0.00830957
0.063922,-0.00644022
0.063922,-0.00644022
0.0578482,-0.00713007
0.063389,-0.00596613
0.0586983,-0.00554412
0.0578815,-0.00496788
0.0523402,-0.0052887
0.0523402,-0.0052887
0.0651755,-0.00748715
0.0651755,-0.00748715
0.0641022,-0.00294722
0.0641022,-0.00294722
0.0523192,-0.0100181
0.05425,-0.0081749
0.056081,-0.00931327
0.0515808,-0.00710093
0.0502392,-0.00142467
0.0578975,0.00209084
0.053531,0.00162258
0.052819,0.00228242
0.051942,0.00357115
0.0484005,0.00597085
0.0471367,0.00300395
0.051958,-0.00127834
0.0479842,0.0033745
0.049441,0.00189372
0.049441,0.00189372
0.046027,0.0038517
0.0515055,0.00537207
0.0523075,0.0083602
0.0523075,0.0083602
0.054335,0.0169963
0.0524255,0.0157972
0.0541712,0.0157262
0.0503135,0.015291
0.0518332,0.0123763
0.0486205,0.0107564
0.0525878,0.0119887
0.0478338,0.0125942
0.0547217,0.018006
0.0547217,0.018006
0.047351,0.0185889
0.047351,0.0185889
0.047351,0.0185889
0.0523855,0.0148448
0.0472262,0.0136819
0.0472262,0.0136819
0.0472262,0.0136819
0.0540117,0.0116474
0.05919,0.0133593
0.048412,0.0114219
0.0502607,0.0129703
0.0577405,0.0246652
0.0577405,0.0246652
0.045757,0.0199351
0.0557612,0.015776
0.0562337,0.0182591
0.050281,0.012244
0.0480125,0.0141992
0.052376,0.0146823
0.0474798,0.0175479
0.0456615,0.0111564
0.0490457,0.00800213
0.0465757,0.015596
0.0465757,0.015596
0.05165,0.0143991
0.0524107,0.0187846
0.050166,0.0184091
0.0457543,0.0195976
0.048337,0.013689
0.0405005,0.0170037
0.0425138,0.0107143
0.0442577,0.0177492
0.0445248,0.0241589
0.041137,0.0212502
0.041137,0.0212502
0.042737,0.0205539
0.042737,0.0205539
0.042737,0.0205539
0.039504,0.0143847
0.0475845,0.0213014
0.0475845,0.0213014
0.0475845,0.0213014
0.0475845,0.0213014
0.044159,0.0222921
0.044159,0.0222921
0.044159,0.0222921
0.044159,0.0222921
0.0437623,0.0154883
0.035244,0.0166516
0.0391565,0.0181592
0.0391565,0.0181592
0.0391565,0.0181592
0.04448,0.0167965
0.038204,0.0171731
0.0458525,0.0211627
0.0458525,0.0211627
0.03981,0.0247627
0.0434192,0.0225679
0.0419383,0.0195757
0.037515,0.0202447
0.042796,0.0166346
0.0404373,0.012714
0.0374507,0.00858032
0.0379533,0.0152933
0.039317,0.0090201
0.0425782,0.013393
0.0363933,0.00977308
0.0367735,0.00752995
0.0373445,0.0117679
0.0336697,0.0132486
0.0333697,0.00925228
0.0357245,0.0118906
0.0367665,0.00656042
0.038204,0.00828163
0.0374483,0.00804105
0.038414,0.0148574
0.038414,0.0148574
0.0365163,0.01226
0.0360777,0.0097609
0.030579,0.00654443
0.0337828,0.0132589
0.0337828,0.0132589
0.0369203,0.00382967
0.0365725,0.00814358
0.0339315,0.0115863
0.0339315,0.0115863
0.0339315,0.0115863
0.033342,0.0113206
0.0338333,0.0179397
0.041278,0.01396
0.0406943,0.00884175
0.0403483,0.0154093
0.0322433,0.0116738
