t,cg_iters
1084,70070
1085,71179
1086,71553
1087,72895
1088,74053
1089,72846
1090,71027
1091,71679
1092,70691
1093,69486
1094,69467
1095,69768
1096,69310
1097,67907
1098,69532
1099,68753
1100,69824
1101,68640
1102,68802
1103,69123
1104,69717
1105,68427
1106,70526
1107,72571
1108,73364
1109,74164
1110,77686
1111,73662
1112,74796
1113,72744
1114,71616
1115,74758
1116,74541
1117,73756
1118,72288
1119,70291
1120,70593
1121,71741
1122,71339
1123,72457
1124,69669
1125,71204
1126,70999
1127,70762
1128,70806
1129,70087
1130,70090
1131,72024
1132,71504
1133,68644
1134,68687
1135,69842
1136,69992
1137,68738
1138,69767
1139,67540
1140,66871
1141,66542
1142,66314
1143,66259
1144,66545
1145,67206
1146,67332
1147,67255
1148,65926
1149,66786
1150,67152
1151,68170
1152,67593
1153,67555
1154,66806
1155,67863
1156,68478
1157,69952
1158,70058
1159,72202
1160,73065
1161,71795
1162,68993
1163,68792
1164,68511
1165,69204
1166,68628
1167,69147
1168,67455
1169,67138
1170,67209
1171,67807
1172,67333
1173,66702
1174,65697
1175,65995
1176,67214
1177,66513
1178,66511
1179,65718
1180,64561
1181,64882
1182,64428
1183,65580
1184,64773
1185,65697
1186,65434
1187,63895
1188,64786
1189,64813
1190,65342
1191,64844
1192,66089
1193,66575
1194,66760
1195,67558
1196,66115
1197,65586
1198,64402
1199,65541
1200,66011
1201,66745
1202,68442
1203,67386
1204,68001
1205,68325
1206,67552
1207,67071
1208,66799
1209,67880
1210,67245
1211,69126
1212,71191
1213,72684
1214,73720
1215,74185
1216,76173
1217,74070
1218,74196
1219,78164
1220,77922
1221,76782
1222,74450
1223,71032
1224,71684
1225,73885
1226,71774
1227,71254
1228,72524
1229,71512
1230,71684
1231,74373
1232,72862
1233,75190
1234,74638
1235,72793
1236,73917
1237,70830
1238,72548
1239,71374
1240,72952
1241,71319
1242,71452
1243,72799
1244,71784
1245,70334
1246,70428
1247,70454
1248,71229
1249,70165
1250,71164
1251,69947
1252,69469
1253,69503
1254,70265
1255,70494
1256,72032
1257,71340
1258,70272
1259,70718
1260,72167
1261,73471
1262,70354
1263,69803
1264,69917
1265,71083
1266,71409
1267,71169
1268,71103
1269,71010
1270,71552
1271,73226
1272,72969
1273,72660
1274,74195
1275,74518
1276,74149
1277,74142
1278,74112
1279,75258
1280,75626
1281,73861
1282,75531
1283,75470
1284,75189
1285,75685
1286,75957
1287,76648
1288,76784
1289,75058
1290,75469
1291,74558
1292,74045
1293,74144
1294,73717
1295,72999
1296,72594
1297,73084
1298,74699
1299,74496
1300,76153
1301,75557
1302,76084
1303,77309
1304,75138
1305,76152
1306,76021
1307,76117
1308,75119
1309,75564
1310,75450
1311,74927
1312,74121
1313,74973
1314,73860
1315,72871
1316,74606
1317,74287
1318,74883
1319,73828
1320,74007
1321,75501
1322,75321
1323,73895
1324,72641
1325,70355
1326,69660
1327,70463
1328,68738
1329,68482
1330,68042
1331,67130
1332,67614
1333,67436
1334,67314
1335,67219
1336,67808
1337,67712
1338,68652
1339,70541
1340,69492
1341,70280
1342,69579
1343,69350
1344,69293
1345,69134
1346,68134
1347,68842
1348,69949
1349,70638
1350,70575
1351,69998
1352,71303
1353,70963
1354,67772
1355,70303
1356,69439
1357,69475
1358,68341
1359,69082
1360,68324
1361,67814
1362,67394
1363,65796
1364,64061
1365,62264
1366,62429
1367,61502
1368,63432
1369,63998
1370,62895
1371,63760
1372,65198
1373,67058
1374,67578
1375,68731
1376,68097
1377,68610
1378,68500
1379,67688
1380,66451
1381,69761
1382,70200
1383,68490
1384,67979
1385,67954
1386,66882
1387,67998
1388,67521
1389,65331
1390,66760
1391,64780
1392,63693
1393,66284
1394,64563
1395,64070
1396,63815
1397,63068
1398,63714
1399,64030
1400,62866
1401,64122
1402,64123
1403,63762
1404,63965
1405,62830
1406,64769
1407,64619
1408,64703
1409,64133
1410,65858
1411,64521
1412,63756
1413,64321
1414,63675
1415,62478
1416,64127
1417,63723
1418,63640
1419,64778
1420,64872
1421,64289
1422,63861
1423,62228
1424,62199
1425,62658
1426,63974
1427,63110
1428,63271
1429,62579
1430,62396
1431,63329
1432,61642
1433,62238
1434,62889
1435,62342
1436,61662
1437,62416
1438,61218
1439,61726
1440,62719
1441,63120
1442,62637
1443,62738
1444,63539
1445,63294
1446,63773
1447,62655
1448,62285
1449,62105
1450,61887
1451,62290
1452,61412
1453,60927
1454,62388
1455,62654
1456,63456
1457,63437
1458,62839
1459,62856
1460,63400
1461,64353
1462,65325
1463,64562
1464,63840
1465,65104
1466,65892
1467,65129
1468,65172
1469,65659
1470,66668
1471,67128
1472,66657
1473,66125
1474,65498
1475,65570
1476,64735
1477,67133
1478,66485
1479,66009
1480,66735
1481,65929
1482,65378
1483,65756
1484,66359
1485,66506
1486,65857
1487,67274
1488,66248
1489,66687
1490,66808
1491,66829
1492,66672
1493,66461
1494,66657
1495,68404
1496,66541
1497,65705
1498,65905
1499,65574
1500,65572
1501,65553
1502,63947
1503,63474
1504,63432
1505,64259
1506,65852
1507,66343
1508,67501
1509,67803
1510,66209
1511,65454
1512,65537
1513,67680
1514,65462
1515,64043
1516,64242
1517,64757
1518,66354
1519,67261
1520,67357
1521,67709
1522,67215
1523,65397
1524,65648
1525,66147
1526,67269
1527,67462
1528,69164
1529,68348
1530,67359
1531,68437
1532,67146
1533,67376
1534,67221
1535,66560
1536,66667
1537,64722
1538,64745
1539,64981
1540,65644
1541,65361
1542,65674
1543,65564
1544,66379
1545,67533
1546,67773
1547,66329
1548,65500
1549,66721
1550,65871
1551,66081
1552,66717
1553,66519
1554,66480
1555,66272
1556,66105
1557,65091
1558,65529
1559,66570
1560,66483
1561,67830
1562,67441
1563,65942
1564,65412
1565,66162
1566,65282
1567,66188
1568,65691
1569,65242
1570,66423
1571,66478
1572,67340
1573,66412
1574,66724
1575,67413
1576,66370
1577,66426
1578,67198
1579,66932
1580,66389
1581,67591
1582,67112
1583,67123
1584,67383
1585,67399
1586,66626
1587,66186
1588,66277
1589,68241
1590,70101
1591,68100
1592,67721
1593,68419
1594,70156
1595,68166
1596,69026
1597,68931
1598,69052
1599,68345
1600,66206
1601,65583
1602,67538
1603,65883
1604,65730
1605,64738
1606,64303
1607,64630
1608,64510
1609,63955
1610,64512
1611,64518
1612,65490
1613,67057
1614,67896
1615,66782
1616,66213
1617,65728
1618,66678
1619,66414
1620,67068
1621,65769
1622,65526
1623,64346
1624,65517
1625,66053
1626,65979
1627,65953
1628,65434
1629,65493
1630,65630
1631,64977
1632,65016
1633,65713
1634,66266
1635,67072
1636,67098
1637,66460
1638,68757
1639,66034
1640,66691
1641,65523
1642,65206
1643,65952
1644,66578
1645,65631
1646,65774
1647,65538
1648,64333
1649,63362
1650,62938
1651,61908
1652,62397
1653,62945
1654,62737
1655,63737
1656,64487
1657,65278
1658,63861
1659,63620
1660,64635
1661,62742
1662,62571
1663,62448
1664,62211
1665,63634
1666,64476
1667,64657
1668,65639
1669,65745
1670,69259
1671,72274
1672,73984
1673,72042
1674,70876
1675,67389
1676,67839
1677,70538
1678,66646
1679,68160
1680,72412
1681,72250
1682,67502
1683,65236
1684,66651
1685,66542
1686,66306
1687,64385
1688,65174
1689,66351
1690,66843
1691,67357
1692,65810
1693,65904
1694,67768
1695,66495
1696,66091
1697,66856
1698,65842
1699,64910
1700,64338
1701,64004
1702,65091
1703,66094
1704,67129
1705,66224
1706,65316
1707,65794
1708,65577
1709,66332
1710,66294
1711,66770
1712,67408
1713,66852
1714,66377
1715,65990
1716,67333
1717,67911
1718,67182
1719,65969
1720,66943
1721,65630
1722,66256
1723,66313
1724,65855
1725,67150
1726,66396
1727,66261
1728,65312
1729,66325
1730,68071
1731,70739
1732,69227
1733,69102
1734,70493
1735,71945
1736,67910
1737,71569
1738,71015
1739,70739
1740,69715
1741,69116
1742,68779
1743,70609
1744,69530
1745,69532
1746,68962
1747,69298
1748,71695
1749,70310
1750,69046
1751,69459
1752,67625
1753,66574
1754,68987
1755,66593
1756,67150
1757,66052
1758,67425
1759,67741
