ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.0199036,null,null,null,-0.05129
0.214254,-0.128446,null,null,null
0.210532,null,-0.093788,null,null
0.172217,null,null,0.152035,null
0.0126804,null,null,null,-0.0450847
0.208476,-0.131722,null,null,null
0.21019,null,-0.0960615,null,null
0.164169,null,null,0.156954,null
0.0155056,null,null,null,-0.048832
0.211399,-0.125719,null,null,null
0.209025,null,-0.0944943,null,null
0.165658,null,null,0.160824,null
0.013325,null,null,null,-0.0518547
0.214556,-0.115849,null,null,null
0.207737,null,-0.101966,null,null
0.162888,null,null,0.155501,null
0.0190912,null,null,null,-0.050707
0.210749,-0.121172,null,null,null
0.205456,null,-0.0967983,null,null
0.168628,null,null,0.15874,null
0.0153738,null,null,null,-0.0497172
0.212615,-0.119656,null,null,null
0.209332,null,-0.106172,null,null
0.170186,null,null,0.154069,null
0.0109653,null,null,null,-0.0416953
0.209878,-0.127454,null,null,null
0.212417,null,-0.104127,null,null
0.170301,null,null,0.152041,null
0.0144966,null,null,null,-0.052468
0.207279,-0.123799,null,null,null
0.203769,null,-0.102815,null,null
0.172224,null,null,0.159111,null
0.0202335,null,null,null,-0.0536312
0.206156,-0.12066,null,null,null
0.205636,null,-0.107827,null,null
0.164642,null,null,0.164065,null
0.0206792,null,null,null,-0.0473882
0.209784,-0.118378,null,null,null
0.20683,null,-0.10663,null,null
0.167241,null,null,0.156555,null
0.016736,null,null,null,-0.0445658
0.207743,-0.116884,null,null,null
0.209112,null,-0.108653,null,null
0.163489,null,null,0.158156,null
0.0196712,null,null,null,-0.0522265
0.205685,-0.120953,null,null,null
0.210052,null,-0.10708,null,null
0.165275,null,null,0.157107,null
0.0157046,null,null,null,-0.0492273
0.211688,-0.124639,null,null,null
0.209623,null,-0.104633,null,null
0.169265,null,null,0.152057,null
0.0169316,null,null,null,-0.0458047
0.205319,-0.122213,null,null,null
0.211353,null,-0.110697,null,null
0.17284,null,null,0.153864,null
0.0121722,null,null,null,-0.0492843
0.205994,-0.1261,null,null,null
0.210922,null,-0.107007,null,null
0.171883,null,null,0.150106,null
0.0100502,null,null,null,-0.045835
0.200333,-0.130908,null,null,null
0.211812,null,-0.107644,null,null
0.176341,null,null,0.146851,null
0.00505032,null,null,null,-0.0451652
0.201704,-0.123227,null,null,null
0.210363,null,-0.11102,null,null
0.173916,null,null,0.14606,null
0.0144149,null,null,null,-0.0470822
0.194068,-0.124154,null,null,null
0.216366,null,-0.107707,null,null
0.182317,null,null,0.14417,null
0.00859372,null,null,null,-0.047136
0.200411,-0.130945,null,null,null
0.212255,null,-0.115229,null,null
0.179979,null,null,0.148795,null
0.0125133,null,null,null,-0.043127
0.194907,-0.129245,null,null,null
0.211541,null,-0.11858,null,null
0.176974,null,null,0.151377,null
0.0178126,null,null,null,-0.0406798
0.201838,-0.128714,null,null,null
0.211363,null,-0.11528,null,null
0.176714,null,null,0.149595,null
0.00817957,null,null,null,-0.039281
0.198196,-0.135096,null,null,null
0.213775,null,-0.120613,null,null
0.176924,null,null,0.146826,null
0.0036404,null,null,null,-0.0471603
0.198215,-0.129028,null,null,null
0.207263,null,-0.124586,null,null
0.180486,null,null,0.14376,null
0.00439605,null,null,null,-0.0434295
0.198215,-0.129028,null,null,null
0.207263,null,-0.124586,null,null
0.180486,null,null,0.14376,null
0.00439605,null,null,null,-0.0434295
0.195644,-0.133013,null,null,null
0.206493,null,-0.126655,null,null
0.179297,null,null,0.143544,null
0.0043057,null,null,null,-0.0413837
0.195644,-0.133013,null,null,null
0.206493,null,-0.126655,null,null
0.179297,null,null,0.143544,null
0.0043057,null,null,null,-0.0413837
0.195644,-0.133013,null,null,null
0.206493,null,-0.126655,null,null
0.179297,null,null,0.143544,null
0.0043057,null,null,null,-0.0413837
0.190287,-0.130503,null,null,null
0.210002,null,-0.126512,null,null
0.179716,null,null,0.144255,null
0.0100706,null,null,null,-0.0418092
0.193945,-0.132155,null,null,null
0.212938,null,-0.118351,null,null
0.176887,null,null,0.153278,null
0.0155327,null,null,null,-0.0371428
0.198687,-0.13222,null,null,null
0.213067,null,-0.123109,null,null
0.173536,null,null,0.150306,null
0.0116938,null,null,null,-0.0409117
0.192844,-0.138507,null,null,null
0.217989,null,-0.119759,null,null
0.177279,null,null,0.152959,null
0.0107616,null,null,null,-0.0345598
0.19084,-0.135225,null,null,null
0.212767,null,-0.120129,null,null
0.177368,null,null,0.152347,null
0.00649408,null,null,null,-0.0300963
0.19084,-0.135225,null,null,null
0.212767,null,-0.120129,null,null
0.177368,null,null,0.152347,null
0.00649408,null,null,null,-0.0300963
0.190679,-0.143517,null,null,null
0.214293,null,-0.12048,null,null
0.179759,null,null,0.144051,null
0.0041211,null,null,null,-0.0344765
0.190863,-0.137864,null,null,null
0.209435,null,-0.12717,null,null
0.182391,null,null,0.147863,null
0.00559335,null,null,null,-0.038986
0.190863,-0.137864,null,null,null
0.209435,null,-0.12717,null,null
0.182391,null,null,0.147863,null
0.00559335,null,null,null,-0.038986
0.193901,-0.142514,null,null,null
0.205757,null,-0.126936,null,null
0.178943,null,null,0.154741,null
0.0065107,null,null,null,-0.0281125
0.187167,-0.140367,null,null,null
0.20643,null,-0.124152,null,null
0.17776,null,null,0.154034,null
0.006007,null,null,null,-0.0370255
0.190137,-0.142081,null,null,null
0.202342,null,-0.117484,null,null
0.180482,null,null,0.162374,null
0.00967945,null,null,null,-0.0388815
0.188184,-0.142884,null,null,null
0.211113,null,-0.118234,null,null
0.180713,null,null,0.163066,null
0.00553515,null,null,null,-0.0381125
0.184369,-0.144561,null,null,null
0.21037,null,-0.11324,null,null
0.172814,null,null,0.16288,null
0.00329078,null,null,null,-0.0303033
0.185489,-0.144406,null,null,null
0.209887,null,-0.116328,null,null
0.177194,null,null,0.163225,null
0.0118647,null,null,null,-0.0369927
0.183051,-0.145043,null,null,null
0.20758,null,-0.115813,null,null
0.177062,null,null,0.159279,null
0.0089331,null,null,null,-0.033662
0.186064,-0.141566,null,null,null
0.207753,null,-0.110699,null,null
0.174354,null,null,0.163596,null
0.00875297,null,null,null,-0.0309305
0.188964,-0.140574,null,null,null
0.212878,null,-0.117864,null,null
0.174375,null,null,0.158241,null
0.0046132,null,null,null,-0.0285658
0.193072,-0.137239,null,null,null
0.20862,null,-0.115105,null,null
0.171039,null,null,0.159835,null
0.00727733,null,null,null,-0.0284155
0.18595,-0.137298,null,null,null
0.207834,null,-0.117239,null,null
0.170599,null,null,0.161151,null
0.0104554,null,null,null,-0.0292585
0.18595,-0.137298,null,null,null
0.207834,null,-0.117239,null,null
0.170599,null,null,0.161151,null
0.0104554,null,null,null,-0.0292585
0.193125,-0.136119,null,null,null
