MDTU,0,2,4,6,8,10
1000,4.28125e-06,1.14798e-05,0.00214327,0.00235806,0.00243422,0.00260561
1010,1.17432e-06,1.57617e-05,0.00173867,0.00230148,0.00245819,0.00257458
1020,3.85906e-07,1.3903e-05,0.00218015,0.00232337,0.00252489,0.00265808
1030,6.55755e-07,1.56571e-05,0.00222264,0.00250822,0.0026304,0.00278251
1040,3.72379e-07,1.58885e-05,0.00224242,0.00239797,0.00247338,0.00266808
1050,1.46498e-06,1.29135e-05,0.00217639,0.00245669,0.00256384,0.00279235
1060,1.59011e-06,1.53008e-05,0.0023346,0.00241587,0.00253787,0.00263628
1070,5.1676e-07,1.38244e-05,0.00235982,0.00241561,0.00255096,0.00261774
1075,7.04231e-07,1.07576e-05,0.00243012,0.00247704,0.00268054,0.00272005
1080,8.88993e-07,1.04451e-05,0.0023517,0.00243013,0.00250904,0.00268932
1085,4.6608e-07,1.08931e-05,0.0021864,0.00237054,0.00247363,0.00256114
1090,4.08666e-07,1.03297e-05,0.00217582,0.00239739,0.00258225,0.00265532
1100,1.18929e-06,5.53259e-06,0.00235406,0.00241271,0.00257084,0.00264886
1110,1.35688e-07,1.36127e-05,0.00213997,0.00242673,0.00266846,0.00283505
1120,9.05543e-07,6.47795e-06,0.00214667,0.002299,0.00257385,0.00272858
1130,3.42982e-07,8.58595e-06,0.00231532,0.00253402,0.00268725,0.00278857
1140,8.21238e-07,1.3678e-05,0.00238508,0.0027251,0.00279062,0.00284465
1150,6.68443e-07,1.87476e-05,0.00232618,0.00247526,0.00262977,0.00273752
1160,4.80113e-07,2.14639e-05,0.00217418,0.0023301,0.00254113,0.00265318
1170,8.47581e-07,1.25979e-05,0.00227018,0.00235766,0.00259441,0.00265978
1180,3.87929e-06,8.00849e-06,0.00229605,0.00248432,0.00254873,0.00266508
1190,4.55263e-06,5.90322e-06,0.00234012,0.00239389,0.00254779,0.00263469
1200,1.41038e-06,1.12801e-05,0.00237382,0.0023978,0.00245865,0.00257231
1210,3.03145e-06,9.55907e-06,0.00220609,0.00234604,0.00239561,0.00245063
1220,1.34142e-07,1.70817e-05,0.00226263,0.00235897,0.00241798,0.00258439
1230,2.13676e-07,1.33476e-05,0.00205618,0.00228937,0.00238699,0.00248435
1240,1.31959e-06,8.64957e-06,0.00194302,0.00223471,0.00244088,0.00262683
1250,1.68395e-06,4.88815e-06,0.00196877,0.00231307,0.00248751,0.0026225
1255,1.67342e-06,4.07251e-06,0.00185491,0.00229095,0.00237438,0.00256693
1260,1.32147e-06,5.51918e-06,0.00191211,0.00222359,0.00238008,0.00241427
1265,1.29941e-06,5.01638e-06,0.00202233,0.00223265,0.00246981,0.00258493
1270,2.59906e-06,4.05821e-06,0.00193963,0.0020948,0.0023987,0.0024909
1275,2.65028e-06,4.79097e-06,0.00194732,0.00206247,0.00213002,0.00223599
1280,1.90346e-06,4.87688e-06,0.0018436,0.00198148,0.00213895,0.00217221
1285,7.13811e-07,6.279e-06,0.00174025,0.00194891,0.00218832,0.00225678
1290,9.47583e-07,1.08775e-05,0.00165156,0.00196437,0.00216671,0.00229577
1295,2.68154e-06,8.21805e-06,0.00177583,0.0019756,0.0021902,0.00231607
1300,3.29509e-06,7.28234e-06,0.00147976,0.00171449,0.00200167,0.00222715
1305,3.29509e-06,7.28234e-06,0.00147976,0.00171449,0.00200167,0.00222715
1310,2.87253e-06,6.70848e-06,0.00154237,0.00173013,0.00208298,0.00225743
1315,1.99286e-06,6.42789e-06,0.00176257,0.00197039,0.00228952,0.00236114
1320,2.02162e-06,7.20625e-06,0.00162796,0.00184711,0.00219005,0.00240043
1325,4.1222e-06,7.74303e-06,0.00186051,0.00203881,0.00240537,0.00246313
1330,5.21895e-06,7.71407e-06,0.00191084,0.00214754,0.0024437,0.00249737
1335,3.9751e-06,6.04276e-06,0.00209277,0.00231102,0.00242457,0.00258671
1340,1.16246e-06,6.64217e-06,0.00206526,0.00222736,0.00239067,0.00256405
1345,1.90876e-06,7.09325e-06,0.00209736,0.00232229,0.0025038,0.00261461
1350,8.35588e-07,9.50674e-06,0.00222124,0.00225497,0.00240192,0.0024791
1355,1.29985e-06,1.55301e-05,0.00207554,0.00230472,0.00234687,0.00245687
1360,8.93943e-07,1.92999e-05,0.00218692,0.00235953,0.00240472,0.00247617
1365,2.81496e-06,2.46704e-05,0.0023794,0.00240835,0.00256307,0.00263085
1370,2.02816e-06,1.80056e-05,0.00239515,0.00243355,0.00255198,0.00261206
1375,7.2529e-07,1.64043e-05,0.00228802,0.0024359,0.00245785,0.00252164
1380,6.43532e-07,1.43743e-05,0.00233412,0.00241878,0.00256408,0.00260576
1385,1.08872e-06,1.49944e-05,0.00234672,0.00241332,0.00259514,0.00264428
1390,1.92857e-06,8.80176e-06,0.00235574,0.00244897,0.00250331,0.00262518
1395,3.65897e-06,9.48249e-06,0.00233809,0.00237366,0.00254807,0.00265595
1400,6.34989e-06,1.18344e-05,0.00228797,0.00244854,0.00264157,0.00271807
1405,3.06635e-06,1.58572e-05,0.0023422,0.00239755,0.00258727,0.00271284
1410,1.17065e-06,1.31936e-05,0.00229224,0.00255677,0.0027505,0.00279686
1415,2.45697e-06,1.23903e-05,0.00247284,0.00254804,0.00259091,0.00267513
1420,4.03842e-06,1.3477e-05,0.00227913,0.00248684,0.00259693,0.00270238
1425,2.77522e-06,1.5933e-05,0.00223201,0.00267436,0.00280533,0.00283907
1430,5.44747e-06,1.16922e-05,0.00219263,0.00262653,0.00267219,0.00273086
1435,5.79838e-06,1.16453e-05,0.00220537,0.00266641,0.00273877,0.0027938
1440,3.32687e-06,1.22506e-05,0.00212011,0.00264318,0.00280843,0.00285554
1445,4.01728e-06,1.18754e-05,0.0021058,0.00250224,0.00281991,0.00285893
1450,5.19016e-06,1.12649e-05,0.00215075,0.00272057,0.00281613,0.00290088
1455,4.01938e-06,7.4116e-06,0.00220458,0.00270339,0.00281307,0.00285369
1460,5.06754e-06,7.08113e-06,0.00226544,0.00266515,0.00271104,0.00276842
1465,2.34166e-06,7.99278e-06,0.0022055,0.0026366,0.00271032,0.00276859
1470,2.0235e-06,8.2561e-06,0.00218486,0.00262925,0.00267197,0.0027846
1475,2.4326e-06,6.98245e-06,0.00217906,0.00261107,0.00265314,0.00284091
1480,1.42199e-06,8.41647e-06,0.00232341,0.00251498,0.00283341,0.0028882
1485,2.22087e-06,6.74087e-06,0.00231143,0.00257808,0.00273591,0.00284056
1490,1.84565e-06,5.57332e-06,0.00240274,0.00255534,0.00272258,0.00283519
1495,2.53602e-06,3.86157e-06,0.00232687,0.00246058,0.00249378,0.00267957
1500,5.19112e-06,6.2633e-06,0.00231642,0.00244993,0.00257686,0.00267827
1505,4.74128e-06,9.01897e-06,0.00228311,0.00236281,0.00262965,0.00270466
1510,2.6676e-06,7.74715e-06,0.00226315,0.00236149,0.00261289,0.0027178
1515,6.07729e-06,1.0311e-05,0.00223184,0.00235996,0.00261563,0.00273232
1520,1.79231e-06,1.0404e-05,0.00214061,0.00242225,0.00247818,0.00258214
1525,3.58339e-06,1.15741e-05,0.0021151,0.00228239,0.00234297,0.00256732
1530,1.81001e-06,1.05672e-05,0.00210235,0.00224745,0.00238024,0.00259771
1535,3.14313e-06,9.24635e-06,0.00223069,0.00227681,0.00250662,0.00257372
1540,3.75108e-06,8.61598e-06,0.00226242,0.00245409,0.00256469,0.00267519
1545,2.72614e-06,6.48631e-06,0.00225609,0.00232693,0.00250438,0.00257043
1550,1.0947e-06,1.55411e-05,0.00236432,0.0024201,0.00248679,0.00251692
1555,9.95087e-07,1.38119e-05,0.00243615,0.00247834,0.00252502,0.00263431
1560,6.57324e-07,9.85791e-06,0.00237597,0.00249339,0.00253214,0.00271825
1565,2.08138e-06,8.70319e-06,0.00244219,0.00252105,0.00258697,0.00271288
1570,2.04112e-06,6.93541e-06,0.00235844,0.00246952,0.00264705,0.00271699
1575,2.5928e-06,4.57099e-06,0.00221398,0.00262167,0.00278738,0.00285117
1580,9.85227e-07,8.49997e-06,0.00247304,0.00261608,0.00268554,0.00283705
1585,9.3923e-07,7.64682e-06,0.00244277,0.00265574,0.00271108,0.00280825
1590,4.92249e-07,1.16057e-05,0.00242238,0.00262804,0.00277999,0.00284312
1595,2.3626e-07,1.05018e-05,0.00238041,0.00273145,0.00281934,0.00289267
1600,5.91438e-07,1.07567e-05,0.00220504,0.00282541,0.00292978,0.0029844
1605,2.1578e-06,8.91633e-06,0.00232797,0.00264771,0.00278967,0.00286046
1610,1.77966e-06,9.85901e-06,0.00233068,0.00261135,0.00277817,0.00285971
1615,7.31802e-07,1.09131e-05,0.00227266,0.00272033,0.00277566,0.0028896
1620,9.36025e-07,1.08498e-05,0.00229862,0.0027665,0.00280284,0.00291113
1625,8.6737e-07,9.10518e-06,0.00238747,0.00271714,0.00278492,0.00286038
1630,1.02604e-06,9.66505e-06,0.00223357,0.00279053,0.00288277,0.0029637
1635,1.02223e-06,1.12524e-05,0.00234529,0.00274838,0.00284747,0.00291304
1640,6.21111e-07,1.19472e-05,0.00230722,0.00275975,0.00286078,0.00292414
1645,7.26009e-07,1.18948e-05,0.00223006,0.00272293,0.00278802,0.00292269
1650,2.82143e-06,1.19892e-05,0.00239396,0.00270666,0.00281476,0.00294077
1655,1.58894e-06,1.7529e-05,0.00236313,0.00269879,0.00275469,0.00286907
1660,1.33989e-06,1.56686e-05,0.00236756,0.00263918,0.00287728,0.0029547
1665,7.72101e-07,1.67314e-05,0.00242792,0.00283622,0.00289954,0.00292019
1670,4.64292e-08,2.27293e-05,0.00230709,0.00285622,0.00293561,0.00298334
1675,6.06007e-07,1.63945e-05,0.00224047,0.00280465,0.0028361,0.00296875
1680,3.5236e-08,1.47436e-05,0.00235389,0.0026663,0.00287157,0.00293997
1685,8.43068e-07,1.08467e-05,0.00231187,0.00281311,0.00294281,0.00300666
1690,9.75899e-07,7.44704e-06,0.00233028,0.00260048,0.00286874,0.00305091
1695,1.13168e-06,6.27086e-06,0.00242596,0.0026289,0.00283859,0.00294587
1700,2.06831e-06,7.38875e-06,0.00248916,0.00266398,0.00273567,0.00296414
1705,2.65845e-06,4.22653e-06,0.00241299,0.00265699,0.00278071,0.00292467
1710,1.44828e-06,6.18937e-06,0.00233052,0.00262204,0.00275004,0.00295808
1715,1.12018e-06,6.93692e-06,0.00227998,0.00269736,0.00278419,0.00294934
1720,7.59025e-07,1.09679e-05,0.00226509,0.00276546,0.00280944,0.00292895
1725,1.00567e-06,1.04045e-05,0.00224743,0.00266431,0.00275778,0.00281485
1730,4.0139e-07,1.39284e-05,0.00237157,0.00255775,0.0026914,0.00279057
1735,6.22555e-07,1.51204e-05,0.00232384,0.0025334,0.00265375,0.00274903
1740,3.17367e-07,1.29338e-05,0.00240058,0.00256598,0.00277028,0.00298019
1745,2.86477e-07,1.10127e-05,0.00225829,0.00268991,0.0027346,0.00289285
1750,5.66511e-07,9.04091e-06,0.00248287,0.00254806,0.00274366,0.00291762
1755,9.44116e-07,5.20178e-06,0.00233692,0.0025891,0.00276028,0.00286012
1760,1.7271e-06,4.55147e-06,0.00235258,0.00245949,0.00258179,0.002627
1765,1.60858e-06,6.48413e-06,0.00225496,0.00244942,0.002585,0.00270757
1770,1.79736e-06,6.91807e-06,0.00226146,0.00254731,0.00258877,0.00270944
1775,1.4262e-06,6.88623e-06,0.00225219,0.00253868,0.00258967,0.00279085
1780,6.48536e-07,9.28836e-06,0.00230316,0.00257714,0.00267849,0.0028098
1785,9.83958e-07,8.41252e-06,0.00220005,0.00225395,0.00248357,0.00269408
1790,5.45558e-07,1.09591e-05,0.00218487,0.00228652,0.00252213,0.00264628
1795,4.68871e-07,7.10213e-06,0.00220148,0.00225488,0.00252612,0.00269557
1800,6.30027e-07,7.04561e-06,0.0021779,0.00234197,0.00241887,0.00256345
1805,6.57763e-07,7.90575e-06,0.00234646,0.00242296,0.00251412,0.00268786
1810,1.45068e-06,6.21674e-06,0.0022565,0.00240438,0.00253886,0.00259788
1820,1.43835e-07,1.5219e-05,0.00237235,0.00247869,0.00263505,0.00266816
1830,1.07566e-06,8.9145e-06,0.00236985,0.00241555,0.00244574,0.00267234
1840,2.24072e-07,9.47411e-06,0.00236925,0.00241034,0.00250629,0.00280579
1850,3.13464e-06,7.72252e-06,0.00226006,0.00235074,0.00243546,0.00277613
1860,4.98126e-06,7.9195e-06,0.00232392,0.00248635,0.00265814,0.00273528
1870,2.44213e-06,9.28847e-06,0.00227074,0.00268477,0.00270432,0.00292048
1880,1.39557e-06,1.0773e-05,0.00223733,0.00280698,0.00287626,0.00293135
1890,1.39418e-06,1.183e-05,0.00227302,0.00280523,0.00284639,0.00291385
1900,2.94408e-06,1.18186e-05,0.00220618,0.00260807,0.00282885,0.00288487
1910,6.3659e-06,1.20829e-05,0.00246662,0.00265698,0.00272508,0.00283514
1920,8.08944e-06,1.2107e-05,0.00232645,0.00255738,0.00278027,0.00282765
1930,5.87249e-06,1.36111e-05,0.00226996,0.00259058,0.0028262,0.00291476
1940,7.20583e-06,2.0503e-05,0.00231131,0.00251076,0.00286791,0.00291781
1950,1.26037e-05,2.46636e-05,0.00208068,0.00247985,0.00263477,0.0027141
1960,2.13468e-05,2.60802e-05,0.00245426,0.00258306,0.00274705,0.00279755
1970,1.10606e-05,1.33841e-05,0.00240746,0.0024803,0.00269795,0.00278558
1980,3.488e-06,1.98708e-05,0.0025064,0.0025762,0.00267048,0.00276574
1990,2.80126e-07,1.95748e-05,0.00232913,0.00237219,0.00261839,0.00281754
2000,7.71832e-07,1.47297e-05,0.00210909,0.00232138,0.00236604,0.00264751
2010,8.92009e-07,7.78128e-06,0.00228346,0.00237087,0.00254259,0.00265815
2020,1.11169e-06,5.58548e-06,0.00220041,0.00243932,0.00247528,0.00256741
2030,1.55742e-06,6.40902e-06,0.00228716,0.0024682,0.00253072,0.00278594
2040,1.92627e-06,1.02777e-05,0.00219137,0.00235438,0.00255621,0.00264457
2050,5.58447e-06,1.2074e-05,0.00230029,0.00234561,0.00266291,0.0028333
2060,2.02553e-06,8.69153e-06,0.00192821,0.00240291,0.00257969,0.00266503
2070,2.448e-06,1.06005e-05,0.00197221,0.00232017,0.00240078,0.00265149
2080,4.15195e-06,1.18872e-05,0.00220943,0.00246886,0.00254587,0.00267519
2090,2.61415e-06,8.6928e-06,0.0020149,0.00249271,0.0027186,0.0027822
2100,3.73597e-06,9.81212e-06,0.00198628,0.00251672,0.00255966,0.00266182
2110,1.19975e-06,5.78928e-06,0.00200283,0.00237689,0.0024064,0.00267677
2120,8.30639e-07,5.2522e-06,0.00232223,0.00240547,0.00256867,0.00273719
2130,2.07824e-06,4.56797e-06,0.00215193,0.0022185,0.00246678,0.00274416
2140,4.59724e-06,5.43148e-06,0.00218208,0.00230469,0.00255609,0.00284065
2150,2.93741e-06,3.91426e-06,0.00216446,0.00223254,0.00245169,0.00265026
2160,8.21706e-07,8.58731e-06,0.00216038,0.00225158,0.00235918,0.0026676
2170,1.54581e-06,4.41928e-06,0.00198196,0.00214721,0.00225687,0.00253579
2180,2.06528e-06,7.15242e-06,0.00231013,0.00243709,0.00265616,0.00269493
2190,1.08572e-06,6.89123e-06,0.00211767,0.00253589,0.00269329,0.00291796
2200,4.21896e-07,9.90235e-06,0.00221548,0.00235932,0.00249909,0.00281237
2210,3.89707e-07,1.03454e-05,0.00185527,0.0021529,0.00246694,0.00263943
