MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
236,0.908301,0.901598,0.8848,0.63189
237,0.923601,0.888503,0.864914,0.73547
238,0.93545,0.910153,0.865223,0.954346
239,0.941911,0.918278,0.877074,0.645294
240,0.889139,0.94573,0.858982,0.838898
241,0.937718,0.932864,0.83531,0.560114
242,0.923248,0.941034,0.878361,0.369286
243,0.969614,0.962825,0.84247,0.355652
244,0.968205,0.967859,0.856226,0.488545
245,0.968205,0.967859,0.856226,0.488545
246,0.910314,0.956217,0.853736,0.934291
247,0.932495,0.938474,0.849828,0.113823
248,0.928563,0.966208,0.85308,0.536999
249,0.928563,0.966208,0.85308,0.536999
250,0.948741,0.925187,0.810419,0.542067
251,0.931437,0.941485,0.810624,0.210285
252,0.940109,0.951154,0.787192,0.599048
253,0.953029,0.975496,0.789434,0.636185
254,0.915431,0.909501,0.820344,0.36882
255,0.913892,0.885826,0.802244,0.497118
256,0.936243,0.929392,0.785961,0.433596
257,0.936907,0.921318,0.811136,0.569276
258,0.926694,0.912997,0.787228,0.872599
259,0.926694,0.912997,0.787228,0.872599
260,0.908522,0.937688,0.796274,0.474844
261,0.908522,0.937688,0.796274,0.474844
262,0.908522,0.937688,0.796274,0.474844
263,0.872365,0.917305,0.828329,0.465187
264,0.907944,0.862352,0.822923,0.463091
265,0.907944,0.862352,0.822923,0.463091
266,0.907944,0.862352,0.822923,0.463091
267,0.888493,0.88587,0.803106,0.872675
268,0.877169,0.920409,0.843198,0.620129
269,0.869691,0.894622,0.87571,1.09391
270,0.902293,0.868852,0.839612,0.674726
271,0.918038,0.890174,0.849445,0.238168
272,0.918038,0.890174,0.849445,0.238168
273,0.884675,0.878136,0.843629,0.863814
274,0.944257,0.829359,0.817437,0.385517
275,0.912489,0.8971,0.827228,0.461547
276,0.911709,0.941565,0.865835,0.274411
277,0.919808,0.907196,0.837752,0.71239
278,0.90394,0.938641,0.878824,0.464916
279,0.858553,0.926639,0.884934,0.703121
280,0.852037,0.946318,0.90815,0.617184
281,0.825444,0.958101,0.876935,0.948946
282,0.829158,0.971662,0.904078,0.678022
283,0.829158,0.971662,0.904078,0.678022
284,0.860168,0.957823,0.912583,0.268587
285,0.858564,0.92219,0.917987,0.544786
286,0.84894,0.952624,0.922047,0.628984
287,0.859057,0.942767,0.933064,0.528323
288,0.835898,0.968151,0.912657,0.816583
289,0.865971,0.930115,0.921025,0.363447
290,0.87406,0.995855,0.951713,0.450271
291,0.874361,0.982538,0.953321,0.193639
292,0.87898,0.961544,0.916404,0.574086
293,0.859015,0.989885,0.901117,0.424715
294,0.859015,0.989885,0.901117,0.424715
295,0.889025,0.980838,0.909972,0.456808
296,0.889025,0.980838,0.909972,0.456808
297,0.889025,0.980838,0.909972,0.456808
298,0.899765,0.949566,0.892126,0.499574
299,0.891924,0.936641,0.903934,0.705205
300,0.891924,0.936641,0.903934,0.705205
301,0.891924,0.936641,0.903934,0.705205
302,0.891924,0.936641,0.903934,0.705205
303,0.859476,0.93355,0.913042,0.766681
304,0.859476,0.93355,0.913042,0.766681
305,0.859476,0.93355,0.913042,0.766681
306,0.859476,0.93355,0.913042,0.766681
307,0.902384,0.925342,0.868259,0.64334
308,0.84167,0.940208,0.922904,0.588856
309,0.810306,0.915573,0.866866,0.999747
310,0.810306,0.915573,0.866866,0.999747
311,0.810306,0.915573,0.866866,0.999747
312,0.853009,0.914383,0.905333,1.10651
313,0.85513,0.866575,0.902797,0.661198
314,0.811943,0.875288,0.925373,0.31332
315,0.811943,0.875288,0.925373,0.31332
316,0.824749,0.862755,0.884454,1.00663
317,0.834251,0.841046,0.909941,0.435561
318,0.836833,0.821411,0.903132,1.0576
319,0.860161,0.827357,0.891059,1.07749
320,0.872507,0.820802,0.872669,0.89796
321,0.876578,0.867688,0.889396,0.903838
322,0.933297,0.79661,0.914157,1.0039
323,0.850893,0.842335,0.894101,0.692336
324,0.87531,0.871676,0.895061,0.996203
325,0.837868,0.861776,0.908298,1.07583
326,0.866439,0.852293,0.894961,1.22981
327,0.862359,0.84227,0.864109,0.995662
328,0.832942,0.912784,0.850675,0.883814
329,0.893142,0.839329,0.892544,0.902609
330,0.902105,0.881766,0.839345,1.06334
331,0.853783,0.88774,0.857299,0.933484
332,0.870222,0.892792,0.904312,0.858645
333,0.854239,0.923269,0.892777,1.18526
334,0.851989,0.959903,0.894864,0.868399
335,0.86732,0.959266,0.86946,0.999937
336,0.86732,0.959266,0.86946,0.999937
337,0.819691,0.954066,0.84711,0.890115
338,0.815967,0.942331,0.891074,0.739256
339,0.859671,0.958398,0.86868,1.1916
340,0.869745,0.938716,0.93141,0.816451
341,0.869745,0.938716,0.93141,0.816451
342,0.838432,0.944531,0.88472,0.592153
343,0.854554,0.987554,0.847607,0.827845
344,0.888154,0.96176,0.830709,0.630466
345,0.888154,0.96176,0.830709,0.630466
346,0.888154,0.96176,0.830709,0.630466
347,0.861906,0.913529,0.86786,0.535071
348,0.858948,0.872472,0.861161,0.354952
349,0.876988,0.93191,0.82254,0.950193
350,0.873263,0.956754,0.812726,1.07795
351,0.949719,0.960663,0.798213,0.534489
352,0.950594,0.939436,0.825858,0.93202
353,0.937845,0.980345,0.797674,0.93317
354,0.937845,0.980345,0.797674,0.93317
355,0.937845,0.980345,0.797674,0.93317
356,0.936784,0.941589,0.837765,0.822934
357,0.90997,0.983651,0.851047,0.464086
358,0.959668,0.96299,0.806082,0.918912
359,0.947164,1.00118,0.807559,0.63798
360,0.9684,0.959276,0.824337,0.604817
361,0.930045,0.99555,0.830113,0.879537
362,0.947105,0.973669,0.819806,0.406711
363,0.951606,1.00254,0.845899,1.07794
364,0.965484,1.00017,0.822474,0.913997
365,0.958074,0.997767,0.84714,0.97648
366,0.986319,0.977181,0.809016,0.652979
367,1.02719,0.948847,0.817107,0.727493
368,1.00751,0.957509,0.862469,0.638401
369,1.00751,0.957509,0.862469,0.638401
370,1.02398,0.971857,0.912447,0.757078
371,0.974259,0.954041,0.923275,0.636348
372,0.92732,0.937307,0.923557,0.892511
373,0.919484,0.98066,0.896296,0.34414
374,0.900954,0.955268,0.925819,0.728589
375,0.907666,0.938039,0.965169,0.656172
376,0.877511,0.936993,0.954173,0.766646
377,0.908774,0.95031,0.931316,0.786822
378,0.87656,0.990375,0.924682,0.557556
379,0.888823,1.0145,0.912474,0.825934
380,0.94226,0.929406,0.879463,0.569582
381,0.923662,0.979823,0.960783,0.866662
382,0.901771,0.936558,0.938836,0.379031
383,0.911752,0.917608,0.893659,0.483992
384,0.923961,0.928404,0.916446,0.763519
385,0.901266,0.932285,0.898064,0.62855
386,0.901266,0.932285,0.898064,0.62855
387,0.901266,0.932285,0.898064,0.62855
388,0.892166,0.944423,0.917428,0.667295
389,0.892166,0.944423,0.917428,0.667295
390,0.904185,0.936654,0.947197,0.692803
391,0.894951,0.912091,0.900077,0.588207
392,0.902363,0.866236,0.881515,0.960557
393,0.879874,0.891957,0.944032,0.638656
394,0.86695,0.893596,0.930436,0.56606
395,0.86695,0.893596,0.930436,0.56606
396,0.923304,0.889607,0.916402,0.417435
397,0.877927,0.916608,0.891572,0.554155
398,0.907571,0.914008,0.940717,0.763264
399,0.868282,0.952429,0.974628,0.812971
400,0.84132,0.930792,0.931178,0.694386
401,0.894326,0.930865,0.928733,0.641706
402,0.926306,0.965816,0.893662,0.721102
403,0.907407,0.954726,0.915287,0.55887
404,0.907407,0.954726,0.915287,0.55887
405,0.901969,0.9269,0.865029,0.963886
406,0.897798,0.927671,0.867447,0.759353
407,0.875686,0.941788,0.889177,0.481343
408,0.900146,0.911138,0.893539,0.986349
