t,Norder
13060,18
13070,18
13080,18
13090,18
13100,18
13110,18
13120,18
13130,18
13140,18
13150,18
13160,18
13170,18
13180,18
13190,18
13200,18
13210,18
13220,18
13230,18
13240,18
13250,18
13260,18
13270,18
13280,18
13290,18
13300,18
13310,18
13320,18
13330,18
13340,18
13350,18
13360,18
13370,18
13380,18
13390,18
13400,18
13410,18
13420,18
13430,18
13440,18
13450,18
13460,18
13470,18
13480,18
13490,18
13500,18
13510,18
13520,18
13530,18
13540,18
13550,18
13560,18
13570,18
13580,18
13590,18
13600,18
13610,18
13620,18
13630,18
13640,18
13650,18
13660,18
13670,18
13680,18
13690,18
13700,18
13710,18
13720,18
13730,18
13740,18
13750,18
13760,18
13770,18
13780,18
13790,18
13800,18
13810,18
13820,18
13830,18
13840,18
13850,18
13860,18
13870,18
13880,18
13890,18
13900,18
13910,18
13920,18
13930,18
13940,18
13950,18
13960,18
13970,18
13980,18
13990,18
14000,18
14010,18
14020,18
14030,18
14040,18
14050,18
14060,18
14070,18
14080,18
14090,18
14100,18
14110,18
14120,18
14130,18
14140,18
14150,18
14160,18
14170,18
14180,18
14190,18
14200,18
14210,18
14220,18
14230,18
14240,18
14250,18
14260,18
14270,18
14280,18
14290,18
14300,18
14310,18
14320,18
14330,18
14340,18
14350,18
14360,18
14370,18
14380,18
14390,18
14400,18
14410,18
14420,18
14430,18
14440,18
14450,18
14460,18
14470,18
14480,18
14490,18
14500,18
14510,18
14520,18
14530,18
14540,18
14550,18
14560,18
14570,18
14580,18
14590,18
14600,18
14610,18
14620,18
14630,18
14640,18
14650,18
14660,18
14670,18
14680,18
14690,18
14700,18
14710,18
14720,18
14730,18
14740,18
14750,18
14760,18
14770,18
14780,18
14790,18
14800,18
14810,18
14820,18
14830,18
14840,18
14850,18
14860,18
14870,18
14880,18
14890,18
14900,18
14910,18
14920,18
14930,18
14940,18
14950,18
14960,18
14970,18
14980,18
14990,18
15000,18
15010,18
15020,18
15030,18
15040,18
15050,18
15060,18
15070,18
15080,18
15090,18
15100,18
15110,18
15120,18
15130,18
15140,18
15150,18
15160,18
15170,18
15180,18
15190,18
15200,18
15210,18
15220,18
15230,18
15240,18
15250,18
15260,18
15270,18
15280,18
15290,18
15300,18
15310,18
15320,18
15330,18
15340,18
15350,18
15360,18
15370,18
15380,18
15390,18
15400,18
15410,18
15420,18
15430,18
15440,18
15450,18
15460,18
15470,18
15480,18
15490,18
15500,18
15510,18
15520,18
15530,18
15540,18
15550,18
15560,18
15570,18
15580,18
15590,18
15600,18
15610,18
15620,18
15630,18
15640,18
15650,18
15660,18
15670,18
15680,18
15690,18
15700,18
15710,18
15720,18
15730,18
15740,18
15750,18
15760,18
15770,18
15780,18
15790,18
15800,18
15810,18
15820,18
15830,18
15840,18
15850,18
15860,18
15870,18
15880,18
15890,18
15900,18
15910,18
15920,18
15930,18
15940,18
15950,18
15960,18
15970,18
15980,18
15990,18
16000,18
16010,18
16020,18
16030,18
16040,18
16050,18
16060,18
16070,18
16080,18
16090,18
16100,18
16110,18
16120,18
16130,18
16140,18
16150,18
16160,18
16170,18
16180,18
16190,18
16200,18
16210,18
16220,18
16230,18
16240,18
16250,18
16260,18
16270,18
16280,18
16290,18
16300,18
16310,18
16320,18
16330,18
16340,18
16350,18
16360,18
16370,18
16380,18
16390,18
16400,18
16410,18
16420,18
16430,18
16440,18
16450,18
16460,18
16470,18
16480,18
16490,18
16500,18
16510,18
16520,18
16530,18
16540,18
16550,18
16560,18
16570,18
16580,18
16590,18
16600,18
16610,18
16620,18
16630,18
16640,18
16650,18
16660,18
16670,18
16680,18
16690,18
16700,18
16710,18
16720,18
16730,18
16740,18
16750,18
16760,18
16770,18
16780,18
16790,18
16800,18
16810,18
16820,18
16830,18
16840,18
16850,18
16860,18
16870,18
16880,18
16890,18
16900,18
16910,18
16920,18
16930,18
16940,18
16950,18
16960,18
16970,18
16980,18
16990,18
17000,18
17010,18
17020,18
17030,18
17040,18
17050,18
17060,18
17070,18
17080,18
17090,18
17100,18
17110,18
17120,18
17130,18
17140,18
17150,18
17160,18
17170,18
17180,18
17190,18
17200,18
17210,18
17220,18
17230,18
17240,18
17250,18
17260,18
17270,18
17280,18
17290,18
17300,18
17310,18
17320,18
17330,18
17340,18
17350,18
17360,18
17370,18
17380,18
17390,18
17400,18
17410,18
17420,18
17430,18
17440,18
17450,18
17460,18
17470,18
17480,18
17490,18
17500,18
17510,18
17520,18
17530,18
17540,18
17550,18
17560,18
17570,18
17580,18
17590,18
17600,18
17610,18
17620,18
17630,18
17640,18
17650,18
17660,18
17670,18
17680,18
17690,18
17700,18
17710,18
17720,18
17730,18
17740,18
17750,18
17760,18
17770,18
17780,18
17790,18
17800,18
17810,18
17820,18
17830,18
17840,18
17850,18
17860,18
17870,18
17880,18
17890,18
17900,18
17910,18
17920,18
17930,18
17940,18
17950,18
17960,18
17970,18
17980,18
17990,18
18000,18
18010,18
18020,18
18030,18
18040,18
18050,18
18060,18
18070,18
18080,18
18090,18
18100,18
18110,18
18120,18
18130,18
18140,18
18150,18
18160,18
18170,18
18180,18
18190,18
18200,18
18210,18
18220,18
18230,18
18240,18
18250,18
18260,18
18270,18
18280,18
18290,18
18300,18
18310,18
18320,18
18330,18
18340,18
18350,18
18360,18
18370,18
18380,18
18390,18
18400,18
18410,18
18420,18
18430,18
18440,18
18450,18
18460,18
18470,18
18480,18
18490,18
18500,18
18510,18
18520,18
18530,18
18540,18
18550,18
18560,18
18570,18
18580,18
18590,18
18600,18
18610,18
18620,18
18630,18
18640,18
18650,18
18660,18
18670,18
18680,18
18690,18
18700,18
18710,18
18720,18
18730,18
18740,18
18750,18
18760,18
18770,18
18780,18
18790,18
18800,18
18810,18
18820,18
18830,18
18840,18
18850,18
18860,18
18870,18
18880,18
18890,18
18900,18
18910,18
18920,18
18930,18
18940,18
18950,18
18960,18
18970,18
18980,18
18990,18
19000,18
19010,18
19020,18
19030,18
19040,18
19050,18
19060,18
19070,18
19080,18
19090,18
19100,18
19110,18
19120,18
19130,18
19140,18
19150,18
19160,18
19170,18
19180,18
19190,18
19200,18
