ReTr(L),ImTr(L)
1.8677,0.993976
1.83471,0.992506
1.83471,0.992506
1.76005,1.09789
1.8894,1.04285
1.92286,1.04198
1.92286,1.04198
1.96786,0.924092
1.96786,0.924092
1.96786,0.924092
1.92247,1.09069
1.86779,1.04053
1.8169,1.11823
1.80129,1.059
1.86743,1.01236
1.87383,0.966392
1.92186,1.00336
1.92109,0.959272
1.92109,0.959272
1.92109,0.959272
1.90638,0.86099
1.90638,0.86099
1.99921,0.8742
1.88611,0.84005
1.88611,0.84005
1.88611,0.84005
1.90128,0.913017
1.92879,0.872802
1.87399,0.848353
1.87399,0.848353
1.87399,0.848353
1.90039,0.859995
1.8451,0.92405
1.83299,0.987341
1.83299,0.987341
1.85013,0.980752
1.85013,0.980752
1.8433,0.971909
1.8433,0.971909
1.83416,1.03349
1.84593,0.957361
1.84103,0.940706
1.98137,0.95944
1.93145,1.00544
1.91757,1.00659
1.91757,1.00659
1.89142,0.935867
1.89142,0.935867
1.89142,0.935867
1.87705,0.799029
1.84307,0.802229
1.84307,0.802229
1.86098,0.723377
1.88767,0.707147
1.88767,0.707147
1.93519,0.740654
1.94874,0.821142
1.89341,0.71829
1.89341,0.71829
1.91203,0.795358
1.91203,0.795358
1.86348,0.742502
1.81049,0.75946
1.81049,0.75946
1.91319,0.678332
1.91319,0.678332
1.9282,0.716247
1.9282,0.716247
2.00429,0.686923
2.00429,0.686923
2.00429,0.686923
1.93912,0.680126
1.98191,0.731439
1.86053,0.716854
1.86053,0.716854
1.86312,0.634391
1.87856,0.647403
1.88673,0.635613
1.92898,0.622829
1.92898,0.622829
1.92898,0.622829
1.92898,0.622829
2.01915,0.595127
1.9925,0.601609
1.97158,0.6212
1.9662,0.583267
1.9662,0.583267
1.98695,0.541933
1.98706,0.571274
1.98054,0.515583
1.99027,0.513761
1.99027,0.513761
1.99027,0.513761
1.99979,0.607492
1.99979,0.607492
2.0419,0.588877
2.0419,0.588877
2.0419,0.588877
2.0419,0.588877
1.97319,0.653688
1.87826,0.638791
1.82287,0.757973
1.82287,0.757973
1.75779,0.83577
1.77367,0.899492
1.93748,0.887242
1.92146,0.854065
1.92146,0.854065
1.92146,0.854065
1.97499,0.815348
1.8876,0.715296
1.8876,0.715296
1.8876,0.715296
1.8876,0.715296
1.82966,0.748658
1.82966,0.748658
1.80774,0.784239
1.80415,0.788011
1.75984,0.729582
1.75984,0.729582
1.83625,0.815281
1.79143,0.781039
1.78079,0.791126
1.79959,0.898234
1.80692,0.886896
1.80366,0.90837
1.80801,0.912405
1.79466,0.952826
1.76694,0.915309
1.76694,0.915309
1.76694,0.915309
1.66913,0.954613
1.716,0.925011
1.73477,0.905696
1.71677,0.844552
1.76112,0.859523
1.73633,0.926898
1.73633,0.926898
1.74749,0.977807
1.74165,0.961831
1.74165,0.961831
1.74165,0.961831
1.72165,0.952462
1.72165,0.952462
1.72165,0.952462
1.66936,1.00745
1.7089,1.08219
1.7089,1.08219
1.72228,0.966058
1.78386,1.01727
1.71915,1.01632
1.72572,0.966709
1.70772,0.90658
1.70053,0.883423
1.76403,0.840485
1.82588,0.824779
1.79649,0.874634
1.7912,0.915102
1.64822,1.04185
1.73042,0.956875
1.71773,0.92681
1.82231,0.937755
1.82768,0.960077
1.85006,0.932724
1.84932,0.795997
1.86644,0.846719
1.81489,0.853015
1.8617,0.844757
1.84934,0.79256
1.84934,0.79256
1.81552,0.910939
1.81552,0.910939
1.80762,0.937627
1.74158,0.937612
1.77457,0.855201
1.75394,0.776294
1.75394,0.776294
1.80277,0.816495
1.8511,0.681584
1.80332,0.710177
1.80332,0.710177
1.78289,0.710624
1.8027,0.647275
1.82338,0.672153
1.80071,0.564248
1.79055,0.638431
1.87818,0.532082
1.86689,0.462486
1.89397,0.420144
1.89397,0.420144
1.89397,0.420144
1.86181,0.465881
1.87665,0.422642
1.89141,0.420877
1.84617,0.326861
1.84617,0.326861
1.84617,0.326861
1.77515,0.348866
1.76857,0.31876
1.75424,0.380485
1.75424,0.380485
1.74079,0.422579
1.74079,0.422579
1.70972,0.428027
1.70972,0.428027
1.77931,0.416517
1.77931,0.416517
1.77931,0.416517
